industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
"Arts, Entertainment and Recreation",3004,279,2725,62374,43234,19141,60766,42667,18099,158904040,144184515,14719525,133299047,122286155,11012893,24804550,22614219,2190332,108494497,99671936,8822561,81397663,74379813,7017850,16557441,13787835,2769606,171228,163529,7699,308899,251520,57379,2389682,2389682,0
Concerts and opera or dance production,39,13,26,823,429,394,722,340,382,479926,5073,474853,386109,4172,381937,167617,2751,164866,218492,1421,217071,355490,3928,351562,566,372,194,0,0,0,0,0,0,0,0,0
Live theatrical presentations and other stage productions,5,0,0,92,0,0,88,0,0,136231,0,0,120248,0,0,11871,0,0,108377,0,0,31409,0,0,293,0,0,566,0,0,0,0,0,0,0,0
Individual artists activities,15,0,15,38,0,38,38,0,38,13840,0,13840,13106,0,13106,5646,0,5646,7460,0,7460,7164,0,7164,0,0,0,0,0,0,0,0,0,0,0,0
Ancillary theatrical activities,13,2,0,135,103,0,135,103,0,259835,20092,0,247455,19481,0,10333,6269,0,237122,13212,0,26441,7304,0,2582,0,0,0,0,0,0,0,0,0,0,0
Art galleries,26,0,26,187,0,187,187,0,187,54236,0,54236,99541,0,99541,30179,0,30179,69361,0,69361,13636,0,13636,695,0,695,0,0,0,0,0,0,0,0,0
Operation of concert and theatre halls and other arts facilities,10,0,43,403,0,177,403,0,149,1140041,0,511584,1272285,0,495703,218294,0,36672,1053992,0,459032,216443,0,-10216,31916,0,0,-5521,0,-104,213621,0,0,0,0,0
"Other creative, arts and entertainment activities, n.e.c.",37,2,0,208,65,0,180,65,0,128184,82494,0,135234,95839,0,26303,12765,0,108930,83074,0,30244,3750,0,0,0,0,5205,5308,0,0,0,0,0,0,0
Library and archives activities,4,5,0,66,230,0,66,220,0,194413,818962,0,135762,665129,0,43742,162168,0,92020,502962,0,127642,473988,0,0,155451,0,441,-226,0,0,0,0,0,0,0
Museum activities and preservation of historical sites and buildings,11,0,7,211,0,29,196,0,24,645604,0,3761,550003,0,4943,125171,0,1956,424831,0,2987,355206,0,886,155451,0,0,-427,0,0,0,0,0,0,0,0
Botanical and zoological gardens and nature reserves activities,17,0,8,535,0,82,526,0,80,551046,0,24641,541484,0,30490,91152,0,8288,450332,0,22202,228384,0,11171,1231,0,0,46,0,-88,3114,0,0,0,0,0
Gambling and betting activities,1179,104,1075,36110,31275,4836,35826,31072,4754,140367488,133540019,6827469,116065198,111676106,4389092,20894412,20073189,821223,95170786,91602917,3567869,72744519,69367595,3376924,12160842,12140723,20119,158713,157203,1510,33497,33497,0,2367250,2367250,0
Operation of sports facilities,212,12,200,1620,463,1157,1620,463,1157,2082020,253468,1828552,1712292,263638,1448653,336268,57864,278403,1376024,205774,1170250,1398796,82885,1315911,396620,309920,86700,-141,58,-200,0,0,0,0,0,0
Activities of sports clubs,110,36,74,4218,3822,396,4172,3787,385,4242628,3991839,250789,4656797,4395605,261192,1113947,1043586,70361,3542850,3352019,190831,2166532,2067158,99374,1010754,1006388,4366,14997,14883,115,2947,0,2947,0,0,0
Other sports activities,44,7,37,981,712,269,981,712,269,514963,246842,268121,487632,227459,260173,118281,64400,53880,369351,163059,206292,187874,113626,74247,27650,11544,16106,2472,1397,1075,54432,0,54432,0,0,0
