industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
Education,13819,3574,10245,373336,266045,107291,365690,263989,101701,189907079,156566475,33340604,160845016,133504355,27340660,80938855,69116846,11822008,79906161,64387509,15518652,126356098,105847416,20508682,13262992,11067356,2195636,11842,-7835,19677,1930949,1374629,556320,784,784,0
Private pre-primary/pre-school education for children without special needs,2991,130,2861,28726,4887,23839,27073,4843,22230,7456909,1795260,5661649,6576540,1631529,4945011,3438562,814495,2624066,3137978,817034,2320945,4814931,1138403,3676528,1097311,138702,958609,8480,462,8019,5791,5791,0,0,0,0
Private pre-primary/pre-school education for children with special needs,41,3,38,395,150,245,381,150,231,166068,86682,79386,157696,81916,75780,85675,34356,51318,72021,47559,24462,101000,44408,56593,5537,4293,1244,1112,1113,-1,0,0,0,0,0,0
Private primary/elementary education for children without special needs,2878,422,2456,43936,15419,28517,42845,15381,27464,11975382,6491740,5483643,10494621,5767103,4727518,5454557,2779099,2675459,5040063,2988004,2052059,7775727,4021758,3753968,805513,320906,484606,14761,6916,7845,42916,29249,13667,0,0,0
Private primary/elementary education for children with special needs,58,4,54,554,135,419,542,135,408,176378,96338,80040,142820,67770,75049,83213,31003,52210,59606,36768,22839,121387,60177,61210,231,74,158,4,4,0,680,0,680,0,0,0
Private general secondary education,3093,1527,1566,94308,72496,21812,93500,72117,21384,36116044,31866506,4249539,32096960,28293928,3803033,18514846,16147527,2367319,13582114,12146400,1435714,25421212,22231298,3189915,1897362,1810505,86857,-26955,-21671,-5284,1107020,708765,398255,0,0,0
Private general secondary education for children with special needs,15,5,10,366,268,98,334,268,66,79787,67512,12275,69191,60332,8859,41085,35809,5276,28105,24523,3583,61897,52653,9245,5519,5519,0,0,0,0,108,108,0,0,0,0
Private technical and vocational secondary education for children without special needs,240,22,220,3673,623,3094,3484,609,2907,1223579,197808,1034473,1007986,164382,849758,339946,73809,268873,668041,90573,580885,630647,119212,517704,10038,3091,7500,-157,-408,-13,660,660,0,0,0,0
Private technical and vocational secondary education for children with special needs,21,0,19,196,0,152,174,0,142,39887,0,31184,35991,0,29838,11419,0,8682,24572,0,21155,20698,0,14428,553,0,0,-1645,0,-1381,208,0,208,0,0,0
Private higher education,2372,1253,1119,177138,160843,16295,175100,159295,15804,117869698,109694215,8175483,97161352,91492730,5668623,49233317,46951985,2281332,47928035,44540745,3387291,80684993,75093270,5591722,8733108,8602136,130972,25527,25056,471,603353,459844,143509,0,0,0
Sports and recreation education,44,7,37,310,205,105,310,205,105,386450,213595,172855,324616,194428,130188,69112,56069,13043,255504,138359,117145,158266,81851,76415,486055,2756,483299,2219,2150,69,0,0,0,0,0,0
Cultural education,118,4,114,872,71,800,772,66,706,187211,60186,127026,169052,54669,114383,96360,28275,68085,72692,26394,46298,123404,36102,87303,10332,0,10332,0,0,0,0,0,0,0,0,0
"Other private education, n.e.c.",1934,197,1739,22649,10949,11845,20964,10920,10188,13948994,5996634,8126622,12366587,5695571,6845574,3490882,2164419,1390931,8875705,3531151,5454643,6299259,2968284,3413619,164441,179374,5320,-11522,-21457,9935,170213,170213,0,784,784,0
Private educational support services,14,0,12,214,0,70,210,0,66,280692,0,106429,241604,0,67046,79881,0,15413,161723,0,51634,142676,0,60032,46993,0,26740,18,0,18,0,0,0,0,0,0
