industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,gross_margin_all_employment_sizes_2015,gross_margin_total_employment_of_20_and_over_2015,gross_margin_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,98675,8340,90335,1008210,457108,551102,979250,455808,523442,3813318808,2493931096,1319387711,3604332087,2374224524,1230107563,156033189,89436940,66596248,3448298899,2284787584,1163511315,660015367,407274526,252740841,430570952,253626789,176944163,24786772,17909133,6877639,47769830,30881636,16888194,3774172,3306049,468124,2560527,2521831,38696
Sale of passenger motor vehicles,807,277,530,27863,22692,5171,27803,22632,5171,278315809,258248422,20067387,265477713,245929850,19547863,5425486,4731994,693492,260052228,241197856,18854371,24717253,23129753,1587499,23318594,21508309,1810285,1570930,1570930,0,5019656,5678173,-658517,0,0,0,4629,4629,0
"Sale of lorries, trailers and semi-trailers",192,28,164,2342,1354,988,2342,1354,988,8499892,4013276,4486616,7761301,3761886,3999415,384557,227960,156597,7376744,3533926,3842818,1686359,649305,1037054,1432163,709662,722502,55497,39249,16248,694437,239360,455076,0,0,0,0,0,0
Sale of other motor vehicles,104,18,86,1340,620,720,1340,620,720,4498710,2678546,1820164,4138321,2438510,1699810,171725,100146,71579,3966596,2338364,1628231,663457,423178,240278,579338,374842,204496,11902,1801,10101,241981,27833,214148,0,0,0,0,0,0
"Repair of motor vehicles, including overhauling",1232,97,1135,12858,2262,10597,12546,2256,10289,6274638,2281603,3993035,5771172,2003884,3767287,1173017,363270,809746,4598155,1640614,2957541,0,0,0,2426256,760099,1666157,22454,13235,9218,109685,34000,75684,0,0,0,0,0,0
Repair of batteries for motor vehicles,69,0,67,266,0,217,266,0,217,100107,0,79416,90654,0,70354,22999,0,17770,67655,0,52584,0,0,0,35321,0,28377,461,0,0,-5201,0,-5201,0,0,0,0,0,0
Vulcanizing or preparing of tires for motor vehicles,235,5,230,435,118,317,367,118,249,236464,105866,130598,206820,87217,119603,37732,13302,24429,169088,73915,95174,0,0,0,83699,33525,50173,379,0,379,-1130,-1186,56,0,0,0,0,0,0
"Maintenance of motor vehicles, n.e.c.",529,23,506,3373,675,2698,3164,659,2505,1952438,520106,1432333,1726332,407947,1318385,247002,94601,152401,1479330,313346,1165984,0,0,0,612497,236559,375939,88,88,0,19332,-1857,21189,0,0,0,0,0,0
Wholesale of motor vehicles parts and accessories,248,30,218,3231,1751,1479,3192,1748,1443,6578697,3745482,2833215,6170331,3598735,2571596,527410,340781,186628,5642921,3257954,2384968,1700445,792562,907883,1133632,622246,511387,18774,15640,3133,39497,48992,-9495,0,0,0,0,0,0
Retail sale of motor vehicles parts and accessories,2065,110,1955,19665,3422,16243,18462,3418,15044,27023408,12383949,14639460,26096399,12075521,14020877,2359816,635376,1724440,23736582,11440145,12296437,5507796,1985467,3522329,3953673,1269595,2684077,100257,95849,4408,1098455,161778,936677,0,0,0,0,0,0
Wholesale of motor vehicles tires and batteries,129,27,102,1788,1130,658,1788,1130,658,10363352,7875113,2488239,9625916,7303876,2322039,349206,264090,85116,9276710,7039787,2236923,1654183,1343641,310543,1271243,1007551,263692,62311,62163,148,509731,388495,121236,0,0,0,0,0,0
Retail sale of motor vehicles tires and batteries,776,32,744,5510,942,4568,5067,942,4125,13063583,4034233,9029350,12207844,3703359,8504485,733832,160690,573141,11474012,3542668,7931343,2482691,957998,1524693,1673714,531839,1141875,117223,49070,68154,427295,50660,376635,0,0,0,208940,208940,0
"Sale of motor vehicle parts and ac cessories, n.e.c.",42,5,37,453,282,171,453,282,171,995085,895025,100060,978504,886022,92482,50359,33541,16818,928145,852482,75664,149098,131331,17766,121297,91013,30283,0,0,0,34244,40586,-6342,0,0,0,0,0,0
Sale of motorcycles and their parts and components,5489,161,5328,34244,6834,27410,33540,6829,26711,87208276,19266000,67942276,82620392,17644572,64975820,5826146,952747,4873399,76794246,16691825,60102421,15023147,3723731,11299416,11269672,2836066,8433606,422196,20407,401789,4197035,646764,3550271,0,0,0,0,0,0
Maintenance and repair of motorcycles and their parts and components,98,0,98,416,0,416,416,0,416,514409,0,514409,427644,0,427644,45867,0,45867,381777,0,381777,0,0,0,147294,0,147294,0,0,0,6446,0,6446,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of agricultural raw materials and live animals",85,9,76,1136,316,820,1136,316,820,4168503,229082,3939421,3882389,231306,3651083,168714,62359,106355,3713675,168947,3544728,0,0,0,361650,75823,285827,59859,332,59527,1114,34,1080,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of food, beverages and tobacco",54,6,48,600,273,327,600,273,327,2391558,1102084,1289475,1860711,640683,1220028,123129,46405,76724,1737582,594278,1143304,0,0,0,694936,493465,201470,70371,1588,68783,-60817,-23387,-37431,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of textile, clothing, and footwear",19,3,16,212,95,117,212,95,117,703646,181434,522211,659055,166832,492223,76481,50644,25837,582574,116187,466386,0,0,0,126947,68360,58587,141,141,0,-2212,-2212,0,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of household appliances, articles and equipment",24,6,18,312,175,136,308,171,136,425691,267002,158689,403050,265020,138030,60480,30593,29887,342570,234427,108142,0,0,0,94540,37613,56927,7897,7897,0,1016,919,97,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of miscellaneous consumer goods",54,12,42,934,415,519,934,415,519,763160,295194,467966,570363,253670,316693,134982,63866,71115,435382,189804,245577,0,0,0,364568,121291,243277,0,0,0,-714,-2565,1851,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of construction materials and hardware",22,4,18,261,82,179,261,82,179,1072945,422105,650840,961647,347179,614468,76797,32270,44527,884850,314909,569941,0,0,0,227496,163466,64030,0,0,0,2607,44293,-41685,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of chemical and pharmaceutical products",26,0,26,146,0,146,146,0,146,710272,0,710272,641618,0,641618,52559,0,52559,589059,0,589059,0,0,0,138867,0,138867,0,0,0,-27015,0,-27015,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of machinery, equipment and supplies",45,4,41,588,168,420,588,168,420,3959750,190251,3769499,3772317,152592,3619725,172259,56005,116254,3600058,96587,3503471,0,0,0,256689,98144,158544,214637,-2815,217452,-213249,-8,-213241,0,0,0,0,0,0
"Wholesale on a fee or contract basis, of other products",30,3,27,412,128,284,394,128,266,679373,147044,532328,618445,103975,514470,111982,51628,60354,506463,52347,454115,0,0,0,138465,62809,75656,3545,3244,301,-9437,-183,-9254,1500,1500,0,0,0,0
