industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
"Arts, Entertainment and Recreation",3459,285,3174,66399,45146,21253,65037,44801,20236,259318770,168210147,91108623,207420708,146215900,61204808,28054210,23419919,4634291,179366498,122795981,56570517,120727970,81640316,39087654,70687162,57925415,12761747,1428874,201645,1227228,562141,562141,0,2411102,2410285,817
Concerts and opera or dance production,36,13,23,1078,585,493,1054,561,493,39971,17758,22213,34556,13114,21442,11416,8588,2829,23140,4526,18613,18442,14204,4238,634,440,194,-1,-1,0,0,0,0,0,0,0
Live theatrical presentations and other stage productions,4,0,0,68,0,0,62,0,0,36942,0,0,35875,0,0,6599,0,0,29276,0,0,9190,0,0,0,0,0,1337,0,0,0,0,0,0,0,0
Individual artists activities,14,0,14,70,0,70,70,0,70,33389,0,33389,29442,0,29442,10302,0,10302,19140,0,19140,16692,0,16692,0,0,0,0,0,0,0,0,0,0,0,0
Ancillary theatrical activities,6,0,0,54,0,0,50,0,0,350112,0,0,333359,0,0,5524,0,0,327835,0,0,27238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Art galleries,23,0,23,114,0,114,114,0,114,179599,0,179599,174552,0,174552,29922,0,29922,144629,0,144629,43098,0,43098,0,0,0,-189,0,-189,0,0,0,0,0,0
Operation of concert and theatre halls and other arts facilities,12,0,0,482,0,0,482,0,0,2264613,0,0,2414762,0,0,221550,0,0,2193212,0,0,205388,0,0,80739,0,0,130,0,0,561818,0,0,0,0,0
"Other creative, arts and entertainment activities, n.e.c.",37,0,0,458,0,0,458,0,0,337421,0,0,331228,0,0,118321,0,0,212907,0,0,154211,0,0,8155,0,0,-196,0,0,0,0,0,0,0,0
Museum activities and preservation of historical sites and buildings,13,4,9,144,119,25,144,119,25,427163,420872,6291,299028,294462,4566,77122,74845,2277,221906,219618,2288,274707,270400,4308,395299,395299,0,-406,-406,0,0,0,0,6700,6700,0
Botanical and zoological gardens and nature reserves activities,17,9,8,467,393,74,458,388,70,533444,502977,30467,480807,444934,35873,61279,54179,7099,419528,390755,28773,212258,209564,2694,819,577,242,272,255,16,0,0,0,817,0,817
Gambling and betting activities,1354,103,1251,40476,33389,7087,40456,33369,7087,186730672,157372859,29357813,155220230,136397149,18823081,23869541,21096573,2772967,131350690,115300576,16050114,89778274,76406933,13371341,56439282,56339894,99388,296738,204824,91914,0,0,0,2379271,2379271,0
Operation of sports facilities,302,13,289,2956,627,2329,2450,625,1825,1914525,495340,1419185,1785486,491117,1294369,219137,121615,97521,1566350,369501,1196848,688315,230664,457651,817978,730368,87609,-6121,-61,-6060,0,0,0,0,0,0
Activities of sports clubs,115,36,79,3927,3401,526,3815,3334,481,5214883,4351884,862999,4639923,3939858,700066,994917,924012,70905,3645006,3015846,629160,2805689,2301919,503770,581236,222472,358764,-4721,-1003,-3718,0,0,0,0,0,0
Other sports activities,45,6,39,866,619,247,866,619,247,308399,245125,63273,302101,233528,68574,93562,74408,19154,208539,159120,49419,126997,103640,23357,6811,6811,0,970,513,457,0,0,0,0,0,0
Activities of amusement parks and theme parks,146,9,137,2741,1678,1063,2740,1677,1063,3174716,1643175,1531541,2605675,1433844,1171831,667227,441048,226179,1938448,992796,945652,1703420,956055,747366,70193,70193,0,-4882,-4683,-199,0,0,0,0,0,0
"Operation of ballrooms, discotheques (disco's)",31,0,31,337,0,337,285,0,285,26471,0,26471,21080,0,21080,8642,0,8642,12437,0,12437,16888,0,16888,0,0,0,269,0,269,0,0,0,0,0,0
"Operation of recreation parks, beaches, including renting of facilities such as bathhouses, lockers, chairs etc.;",725,45,680,6786,2461,4325,6209,2288,3921,2597292,1118357,1478936,2632679,864187,1768492,741927,205582,536345,1890752,658604,1232148,938888,562901,375986,19210,19210,0,7949,2334,5615,323,323,0,24314,24314,0
"Other amusement and recreation activities, n.e.c.",579,41,538,5375,1314,4061,5323,1262,4061,55149159,1216688,53932470,36079925,1074832,35005093,917221,192892,724329,35162705,881941,34280764,23708276,441143,23267132,12266806,59411,12207395,1137726,-1134,1138860,0,0,0,0,0,0
