industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Education,14006,3722,10284,387155,276542,110613,375167,273224,101943,189786402,166948510,22837892,161025929,141134203,19921009,82127638,72084866,10042772,78898291,69049337,9878237,127811952,113333439,14482913,13063793,11504268,1559525,12733,-17136,29869,2877373,2495397,381976,0,0,0
Private pre-primary/pre-school education for children without special needs,3084,144,2940,29642,4888,24754,27940,4834,23106,6987711,1997016,4990695,5957612,1750870,4206742,3278962,918146,2360816,2678650,832723,1845926,4588418,1260570,3327848,264088,146589,117499,32832,-1189,34021,4714,4714,0,0,0,0
Private pre-primary/pre-school education for children with special needs,47,5,42,651,186,465,546,186,360,186707,134184,52523,147269,106317,40953,76165,50202,25963,71104,56114,14990,127354,87450,39905,0,0,0,-2367,-2357,-10,0,0,0,0,0,0
Private primary/elementary education for children without special needs,2921,463,2458,46681,16893,29788,43580,16686,26894,10643260,5865617,4777643,9126271,5157457,3968814,5132779,2783572,2349208,3993492,2373885,1619606,7539169,3988385,3550784,977272,294842,682430,-7172,4959,-12132,88271,57043,31228,0,0,0
Private primary/elementary education for children with special needs,63,7,56,708,202,506,632,201,431,202616,113541,89076,161357,87229,74127,89365,47250,42116,71991,39980,32012,141030,78734,62296,1993,1993,0,19,19,0,0,0,0,0,0,0
Private general secondary education,3094,1542,1552,96248,76308,19940,93634,74592,19042,36171850,32554003,3617847,31463658,28181086,3305750,18062646,16236750,1825896,13401012,11944336,1479854,25918730,23487186,2435944,3351054,3005144,345911,-12610,-8968,-3642,1708015,1430135,277880,0,0,0
Private general secondary education for children with special needs,13,5,8,345,231,114,308,231,77,86896,71293,15603,79274,66007,13267,40500,33637,6863,38774,32370,6404,58035,46174,11861,2760,2760,0,-183,3,-186,108,108,0,0,0,0
Private technical and vocational secondary education for children without special needs,252,21,231,2959,578,2381,2770,562,2208,688443,200828,487615,609781,174229,435552,290097,72254,217843,319683,101975,217709,442942,117041,325902,176862,14776,162086,897,190,708,4083,4083,0,0,0,0
Private technical and vocational secondary education for children with special needs,23,0,0,214,0,0,176,0,0,41357,0,0,35329,0,0,16234,0,0,19095,0,0,25011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Private higher education,2380,1294,1086,177307,162675,14632,174880,161420,13460,118112273,114558709,3553564,99251870,96037462,3214408,50197124,48653800,1543324,49054746,47383662,1671084,80550016,78388652,2161364,8029365,7847392,181973,21534,23903,-2369,816369,743501,72868,0,0,0
Sports and recreation education,44,6,38,466,262,204,415,262,153,287362,181961,105401,233856,134725,99130,68610,51929,16681,165246,82796,82449,139931,110813,29118,9388,7025,2363,-1764,-2003,240,0,0,0,0,0,0
Cultural education,130,0,0,872,0,0,872,0,0,337397,0,0,236000,0,0,81563,0,0,154437,0,0,190269,0,0,44337,0,0,0,0,0,0,0,0,0,0,0
"Other private education, n.e.c.",1939,231,1838,30785,14110,17545,29144,14051,15964,15769047,11055284,5051160,13463594,9232018,4473682,4713605,3165287,1629881,8749989,6066731,2843802,7981148,5671117,2500300,183722,162458,65601,-18452,-31692,13240,255813,255813,0,0,0,0
Private educational support services,16,0,0,277,0,0,270,0,0,271482,0,0,260059,0,0,79987,0,0,180072,0,0,109898,0,0,22952,0,0,0,0,0,0,0,0,0,0,0
