industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Financial and insurance activities,7416,1376,6040,443617,326602,117015,441665,326095,115571,1597406149,1464134697,133271451,1047815511,984852252,62963258,215017579,204113801,10903779,832797931,780738452,52059480,954200744,860412996,93787748,14739124,12366315,2372809,-368369,-354191,-14179,6744901,6744901,0,0,0,0
Expanded commercial banking (universal banking),19,19,0,101383,101383,0,101383,101383,0,477691259,477691259,0,326482670,326482670,0,88849918,88849918,0,237632752,237632752,0,299506386,299506386,0,2737836,2737836,0,4572,4572,0,0,0,0,0,0,0
Regular commercial banking,18,0,0,9765,0,0,9765,0,0,52891153,0,0,45153982,0,0,11751310,0,0,33402672,0,0,26203887,0,0,929392,0,0,0,0,0,0,0,0,0,0,0
Savings and mortgage banking,50,42,8,21274,21171,103,21274,21171,103,70826691,70725653,101038,54968846,54868148,100698,11585358,11552836,32523,43383487,43315312,68175,36768651,36721109,47542,916392,916392,0,-157025,-156982,-43,0,0,0,0,0,0
Private development banking,9,9,0,2207,2207,0,2207,2207,0,3813129,3813129,0,2995394,2995394,0,793649,793649,0,2201745,2201745,0,2176566,2176566,0,186933,186933,0,299,299,0,0,0,0,0,0,0
Stock savings and loan activities,4,4,0,150,150,0,150,150,0,238220,238220,0,206449,206449,0,77716,77716,0,128733,128733,0,137054,137054,0,6380,6380,0,-51,-51,0,0,0,0,0,0,0
Regular rural banking,497,246,251,28415,25281,3134,28375,25241,3134,32274565,29863384,2411181,26227454,24381647,1845807,7236680,6674379,562301,18990774,17707269,1283506,19306086,17928199,1377888,2546841,2543880,2961,32041,31213,828,0,0,0,0,0,0
Cooperative rural banking,29,15,14,1618,1266,352,1618,1266,352,1892841,1483462,409379,1666032,1300396,365636,571506,460418,111089,1094526,839978,254548,1032007,819298,212710,3340,3670,-330,-484,-710,227,0,0,0,0,0,0
Specialized government banking,3,0,0,10356,0,0,10356,0,0,68828830,0,0,49737016,0,0,11692154,0,0,38044862,0,0,37235091,0,0,1689131,0,0,-1046,0,0,5829000,0,0,0,0,0
"Banking activities, n.e.c.",3,0,0,107,0,0,107,0,0,1166153,0,0,981595,0,0,135866,0,0,845728,0,0,792878,0,0,6626,0,0,-1873,0,0,101884,0,0,0,0,0
Activities of holding companies,237,49,188,6621,5853,768,6581,5852,729,269724499,184814150,84910349,76671303,57920256,18751047,8731149,7844079,887070,67940154,50076177,17863977,235955396,163096570,72858825,995210,984039,11171,-98027,-720,-97307,0,0,0,0,0,0
Investment company operation,44,7,37,660,315,345,660,315,345,24977355,24064126,913228,10771089,10250005,521084,1457505,1206478,251027,9313584,9043527,270057,19925135,19208295,716840,50350,50058,292,-482,81,-563,0,0,0,0,0,0
