industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
"Professional, Scientific and Technical Activities",7048,811,6237,156559,113122,43437,154549,113017,41532,309199452,257912960,51286492,249331589,199419432,49912157,77533475,64188033,13345442,171798114,135231399,36566715,180823576,160466158,20357418,4969633,4431270,538364,121048,156008,-34960,61130,61130,0,0,0,0
Legal activities,1322,79,1243,9749,3694,6055,9433,3653,5780,13044443,7325389,5719054,9469565,4703830,4765735,3048876,1797247,1251628,6420689,2906583,3514107,7251209,4637580,2613629,250648,178298,72351,0,0,0,0,0,0,0,0,0
"Accounting, bookkeeping and auditing activities; tax consultancy",458,63,395,15510,12252,3258,15342,12224,3118,16518756,15191414,1327342,14095936,13011232,1084705,7949861,7352871,596990,6146075,5658360,487715,10797073,9857183,939890,448141,446317,1825,0,0,0,0,0,0,0,0,0
Activities of head offices,136,35,101,7480,6352,1128,7476,6352,1124,76794131,72110174,4683956,58214693,53545125,4669568,5396626,5232990,163636,52818067,48312135,4505932,45433805,44406592,1027213,1133653,1118314,15339,56566,56566,0,61130,61130,0,0,0,0
Management consultancy activities,777,124,653,27396,20511,6885,26208,20511,5697,82438013,73172917,9265097,65293495,51116414,14177081,23274826,15690785,7584041,42018669,35425629,6593040,47956058,43538557,4417501,1135325,1021266,114059,2220,2220,0,0,0,0,0,0,0
Environmental engineering activities,15,7,8,1046,994,52,1044,992,52,1458293,1360754,97539,1374934,1301232,73703,155973,147244,8729,1218961,1153988,64973,248247,214228,34020,7511,7511,0,6951,11401,-4450,0,0,0,0,0,0
Architectural and other engineering activities,472,147,325,28296,23902,4394,28295,23901,4394,36628412,34769248,1859165,31929070,30314683,1614388,16559392,15829340,730052,15369678,14485342,884336,26847539,25765408,1082130,926932,737338,189595,33327,33327,0,0,0,0,0,0,0
Land surveying services,93,4,89,1293,314,979,1291,312,979,419258,139158,280100,384763,138488,246275,225420,52394,173026,159342,86094,73249,310283,88168,222115,220,220,0,-43,1,-44,0,0,0,0,0,0
Other technical activities related to architectural and engineering,63,21,42,2902,2453,449,2887,2451,436,3204221,2970998,233224,2810127,2614155,195971,1368726,1305187,63539,1441401,1308968,132432,1931945,1829206,102739,229336,221570,7765,12956,3284,9672,0,0,0,0,0,0
Technical testing and analysis,562,30,532,10059,7876,2183,10059,7876,2183,7183832,6461726,722106,6396098,5739518,656580,2948275,2726417,221859,3447823,3013102,434721,4099995,3715881,384114,145356,143784,1572,24240,24209,31,0,0,0,0,0,0
