geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Philippines,Administrative and Support Service Activities,6637,1344447,1342815,127694,951177698,853091517,474701735,378389782,611061993,25410477,202813,32352796,600298
Philippines,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Renting and leasing of personal and household goods,132,1449,1409,134,1613876,1450156,226559,1223597,577007,638400,9357,0,0
Philippines,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",112,4800,4797,178,11814502,10191410,1472981,8718428,5591645,5042348,1083064,0,0
Philippines,"Leasing of intellectual property and  similar products, except copyrighted works",0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Activities of employment placement agencies,1779,89597,89302,54637,42493748,42017322,27869527,14147795,29420115,683136,46580,50064,16586
Philippines,Temporary employment agency activities,585,344274,344224,40171,71866079,69362308,46424770,22937537,50788229,1692493,-25177,1541,3200
Philippines,Other human resources provision,8,7601,7601,0,1722127,1448048,1152936,295112,1447798,224,-290,0,0
Philippines,Travel agency and tour operator activities,764,10696,10541,60,8668488,7734384,2479605,5254779,3831066,148233,1503,96998,0
Philippines,Other reservation service and related activities,303,8725,8703,120,99725415,98898395,2799443,96098951,4654066,124143,-2709,14494,0
Philippines,Private security activities,779,153138,153109,17364,28049448,24510156,14866501,9643655,20045707,647151,3623,0,0
Philippines,Security systems service activities,20,1704,1704,0,583448,364221,193003,171218,424240,3562,0,0,0
Philippines,Investigation activities,9,337,337,0,366846,341596,172198,169399,202519,1752,207,0,0
Philippines,Combined facilities support activities,11,2126,2126,4,1005145,887070,408330,478740,541146,16068,3438,0,0
Philippines,Cleaning activities,216,36412,36389,38,15126612,13485539,9482305,4003234,11354754,192417,21820,0,4978
Philippines,Landscape care and maintenance service activities,19,736,732,0,456486,381987,152350,229637,256152,-19060,-4305,10310,0
Philippines,Office administrative and support activities,412,6365,6360,125,3379901,2753644,1351329,1402315,2229029,109461,-73797,744,0
Philippines,Call centers and other related activities,1110,660380,659467,13400,650127431,568268871,362385037,205883834,472183070,15520227,-854295,32154885,575534
Philippines,Organization of conventions and trade shows,65,1222,1156,47,1708225,1293751,260191,1033560,711432,2587,-248,23070,0
Philippines,"Business support service activities, n.e.c.",297,14080,14056,1415,12053504,9322413,2924128,6398285,6682807,601768,-5314,689,0
National Capital Region,Administrative and Support Service Activities,3719,830018,828850,69144,703481741,636705760,348430183,288275577,448512800,21638941,253207,11776278,340230
National Capital Region,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Renting and leasing of personal and household goods,24,603,603,0,1383710,1266481,138419,1128062,380490,636896,50920,0,0
National Capital Region,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",49,2416,2416,0,7132411,5981371,996808,4984563,3891884,4964392,1049084,0,0
National Capital Region,"Leasing of intellectual property and  similar products, except copyrighted works",14,801,801,0,415742,379427,80229,299198,120942,5566,-651,0,0
National Capital Region,Activities of employment placement agencies,1123,53552,53290,22247,30975184,31373811,20402211,10971600,20847314,567327,8084,30937,0
National Capital Region,Temporary employment agency activities,204,163593,163588,22055,28438971,28098051,15599188,12498863,16921365,783061,2861,0,0
National Capital Region,Other human resources provision,5,1076,1076,0,678603,554848,342049,212798,474228,224,19,0,0
National Capital Region,Travel agency and tour operator activities,538,9105,9099,14,8105594,7203051,2281960,4921091,3536087,84805,1849,78451,0
National Capital Region,Other reservation service and related activities,114,1973,1973,36,94039731,92952427,1611352,91341075,2893430,97537,0,0,0
