geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_2019,subsidies_2019
Philippines,Education,14054,416136,410240,10839,225746530,190217351,99869783,90347568,156484198,20395059,61626,121576,4165168
Philippines,Pre-primary/pre-school education,2910,28845,27142,394,9561066,7606083,4073398,3532685,6629320,492401,-7919,0,48127
Philippines,Primary/elementary education,3047,51158,49651,614,16534882,14425143,7565641,6859502,10675676,1049374,26374,0,174588
Philippines,Secondary/high school education,3346,109015,107439,2362,48428845,40961916,24126612,16835304,35293900,3809838,38199,0,2565009
Philippines,Higher education,2301,190757,189971,7172,129904037,109344436,56965627,52378808,91709690,14433830,18346,0,1155753
Philippines,Other education services,2418,35788,35466,280,20626097,17295628,6944960,10350668,11832854,571661,-13375,121576,221691
Philippines,Educational support services,32,573,571,17,691602,584145,193545,390601,342757,37955,0,0,0
National Capital Region,Education,3225,108137,107198,3316,93083081,78132098,39261860,38870238,62491424,11235500,59548,60462,672785
National Capital Region,Pre-primary/pre-school education,778,8226,7843,29,3858545,2836338,1517200,1319138,2747531,468437,40,0,0
National Capital Region,Primary/elementary education,463,10354,10215,164,5519370,4960472,2100553,2859919,2943788,387439,42116,0,60216
National Capital Region,Secondary/high school education,478,22018,21760,870,16575506,13745411,8402722,5342689,12121811,2195463,11531,0,242755
National Capital Region,Higher education,440,54659,54593,2248,55883267,47060653,23914959,23145694,38861864,8022253,5861,0,152254
National Capital Region,Other education services,1055,12643,12549,5,10814987,9158091,3227742,5930349,5649932,146463,0,60462,217560
National Capital Region,Educational support services,11,237,237,0,431406,371133,98684,272449,166497,15444,0,0,0
Cordillera Administrative Region,Education,315,8977,8901,22,3713306,3086927,1816598,1270328,2695329,132716,1475,0,144627
Cordillera Administrative Region,Pre-primary/pre-school education,31,232,222,6,72429,63110,37874,25236,56058,0,-8,0,0
Cordillera Administrative Region,Primary/elementary education,62,767,767,0,277441,222516,148886,73630,224816,2319,-729,0,0
Cordillera Administrative Region,Secondary/high school education,94,2289,2281,17,833107,743956,426258,317698,598256,51379,1581,0,144627
Cordillera Administrative Region,Higher education,61,3382,3353,0,1892891,1536729,855891,680838,1340126,79018,334,0,0
Cordillera Administrative Region,Other education services,67,2307,2279,0,637438,520616,347690,172926,476072,0,296,0,0
Cordillera Administrative Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Education,621,15521,15321,307,5047822,4495146,2565385,1929761,3592321,217017,3199,0,214055
Ilocos Region,Pre-primary/pre-school education,100,974,948,0,238847,185659,101864,83795,162841,0,0,0,1449
Ilocos Region,Primary/elementary education,171,2848,2794,53,560329,545103,325446,219657,383136,63542,-22,0,44745
Ilocos Region,Secondary/high school education,173,4454,4364,47,1153375,1125919,764113,361806,887960,15199,-3543,0,167861
Ilocos Region,Higher education,117,6476,6445,187,2702743,2333338,1241006,1092332,1943449,102410,87,0,0
Ilocos Region,Other education services,60,769,769,20,392527,305127,132957,172170,214936,35865,6678,0,0
Ilocos Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Education,302,8896,8783,16,3193930,2709332,1536265,1173068,2309602,435899,-2282,0,43686
Cagayan Valley,Pre-primary/pre-school education,83,803,787,0,190078,154662,91085,63577,142738,516,-1556,0,0
Cagayan Valley,Primary/elementary education,58,1108,1091,0,221702,211174,138638,72536,161989,0,-5731,0,0
Cagayan Valley,Secondary/high school education,73,1931,1931,16,480258,428512,275694,152818,361077,216,618,0,43200
Cagayan Valley,Higher education,64,4762,4682,0,2191379,1821142,985092,836049,1572940,435168,5016,0,486
Cagayan Valley,Other education services,24,292,292,0,110514,93843,45755,48088,70858,0,-629,0,0
Cagayan Valley,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Education,1509,41938,41408,635,17422146,14823721,7901037,6922684,12331588,1222128,1986,0,254014
Central Luzon,Pre-primary/pre-school education,288,3182,3050,144,916923,772137,403732,368405,598448,6222,1642,0,0
Central Luzon,Primary/elementary education,398,6319,6122,86,1692486,1394823,802689,592134,1181109,182568,198,0,0
Central Luzon,Secondary/high school education,439,14879,14754,160,5781477,5045648,2713492,2332157,3982874,622057,992,0,212792
Central Luzon,Higher education,240,16163,16087,200,8135633,6805940,3700935,3105005,6043456,227817,-472,0,41222
Central Luzon,Other education services,140,1368,1368,45,889740,801056,276826,524230,520387,183464,-373,0,0
Central Luzon,Educational support services,4,27,26,0,5886,4117,3364,753,5313,0,0,0,0
Calabarzon,Education,2758,72654,71294,1837,33703404,29099495,15609204,13490292,23480993,1420198,34207,0,437542
Calabarzon,Pre-primary/pre-school education,427,3619,3315,0,1030949,854009,441887,412123,677951,10360,59,0,0
Calabarzon,Primary/elementary education,822,14090,13647,17,3719025,3363969,1904566,1459403,2574465,48225,6538,0,21023
Calabarzon,Secondary/high school education,840,25773,25234,446,9830216,8716277,5090974,3625304,7132795,174727,17953,0,401339
Calabarzon,Higher education,353,26590,26514,1354,18045188,15263249,7837304,7425945,12449172,1168620,9979,0,15180
Calabarzon,Other education services,311,2427,2427,6,916574,778885,278693,500192,524581,242,-322,0,0
Calabarzon,Educational support services,5,156,156,14,161452,123105,55780,67325,122029,18023,0,0,0
Mimaropa Region,Education,259,5195,5081,32,1386609,1150421,697782,452639,1052324,699,-7068,0,52234
Mimaropa Region,Pre-primary/pre-school education,50,406,361,0,65340,59642,35825,23818,46049,85,-1466,0,0
Mimaropa Region,Primary/elementary education,61,696,639,13,116974,98468,75939,22529,98964,0,470,0,0
