geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,"Arts, Entertainment and Recreation",1738,47700,47095,2573,67387865,80682403,15204126,65478276,33835413,5806778,79749,31694,3900
Philippines,"Creative, arts and entertainment activities",42,1114,1098,24,140465,137936,88913,49022,101852,18673,-291,0,0
Philippines,"Libraries, archives, museums and other cultural activities",34,1144,1107,138,896837,935064,177259,757805,370184,108961,197826,13294,3900
Philippines,Gambling and betting activities,630,25645,25630,1160,55938830,68073750,12565497,55508252,29126261,4209329,-87666,0,0
Philippines,Sports activities,312,6809,6690,562,5771781,5609150,1148522,4460628,2378426,301981,-3098,0,0
Philippines,Other amusement and recreation activities,719,12989,12571,689,4639952,5926503,1223935,4702568,1858690,1167834,-27022,18400,0
National Capital Region,"Arts, Entertainment and Recreation",315,20793,20574,579,50849588,62962381,10437323,52525058,27285455,3550120,12217,1384,0
National Capital Region,"Creative, arts and entertainment activities",20,447,439,23,133227,128329,85996,42334,98836,0,0,0,0
National Capital Region,"Libraries, archives, museums and other cultural activities",8,184,184,131,376955,493270,90517,402752,128895,26038,32,1384,0
National Capital Region,Gambling and betting activities,124,15136,15136,292,46173173,57901512,9339023,48562489,25122418,3378999,12216,0,0
National Capital Region,Sports activities,78,2489,2463,0,1970303,1730334,467611,1262723,975517,132067,-1612,0,0
National Capital Region,Other amusement and recreation activities,85,2536,2352,134,2195931,2708936,454176,2254760,959789,13016,1581,0,0
Cordillera Administrative Region,"Arts, Entertainment and Recreation",25,279,267,12,209914,213114,25155,187959,37306,16101,1056,0,0
Cordillera Administrative Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Libraries, archives, museums and other cultural activities",3,18,18,0,12393,9914,2479,7436,6397,6759,-145,0,0
Cordillera Administrative Region,Gambling and betting activities,6,81,81,12,105314,108196,4757,103439,12928,114,0,0,0
Cordillera Administrative Region,Sports activities,7,66,66,0,78870,82505,13177,69328,10813,0,1195,0,0
Cordillera Administrative Region,Other amusement and recreation activities,9,115,103,0,13336,12498,4742,7756,7169,9229,5,0,0
Ilocos Region,"Arts, Entertainment and Recreation",90,1232,1222,0,1498119,1128547,325268,803279,1110586,226449,-2289,0,0
Ilocos Region,"Creative, arts and entertainment activities",7,133,128,0,891,727,433,293,728,0,0,0,0
Ilocos Region,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Gambling and betting activities,34,699,699,0,1397563,1020535,309817,710719,1094641,226449,-2141,0,0
Ilocos Region,Sports activities,14,101,96,0,62692,54062,4019,50043,8703,0,0,0,0
Ilocos Region,Other amusement and recreation activities,35,300,299,0,36972,53223,10999,42224,6514,0,-148,0,0
Cagayan Valley,"Arts, Entertainment and Recreation",29,1492,1489,0,723231,744528,480568,263960,499890,0,-351,0,0
Cagayan Valley,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Gambling and betting activities,10,1366,1366,0,691845,723319,467258,256061,474773,0,-351,0,0
Cagayan Valley,Sports activities,6,41,39,0,1053,658,429,229,926,0,0,0,0
Cagayan Valley,Other amusement and recreation activities,13,85,85,0,30334,20550,12881,7669,24191,0,0,0,0
Central Luzon,"Arts, Entertainment and Recreation",197,4082,3965,181,2365492,2645823,540509,2105315,774494,799929,-13592,0,0
Central Luzon,"Creative, arts and entertainment activities",7,161,134,4,10481,12021,6127,5894,6687,18638,-135,0,0
Central Luzon,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Gambling and betting activities,80,1999,1999,60,1611582,1764548,351485,1413063,330968,484395,1391,0,0
Central Luzon,Sports activities,22,513,507,51,357228,391566,84876,306690,227962,122185,-4176,0,0
Central Luzon,Other amusement and recreation activities,89,1410,1325,66,386201,477689,98021,379668,208877,174712,-10671,0,0
Calabarzon,"Arts, Entertainment and Recreation",231,6924,6907,927,5549346,6281222,1782707,4498515,2031006,108941,-113681,16848,0
Calabarzon,"Creative, arts and entertainment activities",6,420,420,0,885,918,591,327,634,0,-3,0,0
Calabarzon,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Gambling and betting activities,68,2788,2788,319,2377099,2729229,1146386,1582844,1013511,5351,-102545,0,0
Calabarzon,Sports activities,52,1675,1675,422,2687891,2714327,404903,2309424,863524,14762,-1144,0,0
Calabarzon,Other amusement and recreation activities,105,2041,2024,185,483471,836749,230828,605920,153337,88827,-9989,16848,0
Mimaropa Region,"Arts, Entertainment and Recreation",49,397,386,12,80593,121707,22822,98885,38714,175037,-1707,1054,900
Mimaropa Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Libraries, archives, museums and other cultural activities",5,24,23,0,3800,3526,1609,1918,2099,160,15,0,900
Mimaropa Region,Gambling and betting activities,15,61,57,0,3953,4130,2110,2020,2028,0,49,0,0
Mimaropa Region,Sports activities,6,44,44,0,20697,22593,6191,16402,7952,0,0,0,0
Mimaropa Region,Other amusement and recreation activities,24,268,262,12,52142,91457,12912,78545,26636,174877,-1770,1054,0
Bicol Region,"Arts, Entertainment and Recreation",73,1241,1211,59,407938,684549,262046,422503,167682,49433,1758,0,0
Bicol Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Gambling and betting activities,28,306,306,0,297973,472144,177938,294206,164130,0,0,0,0
Bicol Region,Sports activities,0,0,0,0,0,0,0,0,0,0,0,0,0
