geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,subsidies_2020,sales_from_e-commerce_transactions_2020
Philippines,Financial and Insurance Activities,36576,388043,386782,28882,1996762595,1487199232,251961724,1235237507,1003354255,40923106,813066,6849385,2056147
Philippines,Monetary intermediation,9042,173753,173752,10463,1058080360,839625401,149210611,690414790,514650346,18386513,798687,60076,357782
Philippines,Activities of holding companies,301,8264,8259,414,208429879,83307678,18711262,64596416,158184478,8813142,-93690,0,0
Philippines,"Trusts, funds and other financial vehicles",193,1586,1577,69,18664012,17716294,3947623,13768671,6380691,39697,-23750,0,0
Philippines,"Other financial service activities, except insurance and pension funding activities",22169,157441,156567,12963,230587602,171718537,48914694,122803843,162997351,8700289,479714,872069,349
Philippines,Insurance,1894,24800,24594,2905,324580806,251187574,19892889,231294685,107545275,3119886,-9450,2214,1132409
Philippines,Reinsurance,14,64,64,8,235030,218881,14522,204358,33761,107,-18,0,0
Philippines,Pension funding,6,112,112,0,598264,320100,59351,260749,426517,428,29,0,0
Philippines,"Activities auxiliary to financial service,  except insurance and pension funding",2334,10164,10025,548,9957896,9505623,4477717,5027906,6271251,231292,-2222,1440,522952
Philippines,Activities auxiliary to insurance and pension funding,616,11439,11413,1496,140389889,109402207,6648408,102753800,45170910,1540280,-336180,5913587,42655
Philippines,Fund management activities,7,421,421,17,5238857,4196936,84647,4112289,1693674,91472,-55,0,0
National Capital Region,Financial and Insurance Activities,7468,171403,171332,15573,1509022664,1102971153,170325147,932646006,752709491,28611914,516898,6725068,1921861
National Capital Region,Monetary intermediation,3037,95235,95235,4784,770257244,614137666,103366046,510771620,367128951,14124668,654699,0,224900
National Capital Region,Activities of holding companies,247,7341,7341,339,195206032,78636468,17950857,60685611,148719365,8618725,-93661,0,0
