geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,Human Health and Social Work Activities,7217,218465,215614,10550,252446272,212481439,53497132,158984307,119592446,25641727,-268785,0,314516
Philippines,Hospital activities,1240,159733,158770,9287,180114937,151471727,41063736,110407991,89417676,20577080,-129083,0,216057
Philippines,Medical and dental practice activities,5146,45153,44309,1108,54276186,46118404,9738323,36380081,22646509,3791398,-130150,0,83605
Philippines,Other human health activities,307,3757,3575,6,2195138,1818386,468881,1349505,1083174,22996,-1893,0,20
Philippines,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,"Residential care activities for mental retardation,  mental health and substance abuse",78,880,774,8,338348,271369,112660,158708,210656,887,-2824,0,0
Philippines,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,"Other residential care activities, n.e.c.",115,2315,2257,9,2007011,1967389,661000,1306389,1004378,557774,-334,0,3991
Philippines,Social work activities without accommodation  for the elderly and disabled,11,78,73,2,101944,91824,28186,63639,43941,0,-888,0,265
Philippines,"Other social work activities without accommodation, n.e.c.",311,6452,5778,117,13378668,10710569,1416321,9294248,5167623,691258,-3613,0,9419
National Capital Region,Human Health and Social Work Activities,2279,70413,69121,3557,112736229,97001339,23779663,73221676,52210936,16666981,118985,0,123951
National Capital Region,Hospital activities,179,41971,41624,2879,73195810,61543130,16367180,45175950,36624538,12809310,132199,0,40376
National Capital Region,Medical and dental practice activities,1778,21271,21000,650,27991943,25550728,5753305,19797423,11338192,2918789,-11827,0,83331
National Capital Region,Other human health activities,136,2341,2341,0,1254044,1089197,286245,802952,535319,0,0,0,0
National Capital Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Residential care activities for mental retardation,  mental health and substance abuse",40,376,307,2,160047,122830,43088,79742,94936,0,0,0,0
National Capital Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Other residential care activities, n.e.c.",41,1531,1526,2,1539838,1585450,526242,1059208,720757,527683,0,0,0
National Capital Region,Social work activities without accommodation  for the elderly and disabled,4,29,29,0,66785,60596,17753,42843,26825,0,-877,0,245
National Capital Region,"Other social work activities without accommodation, n.e.c.",101,2895,2295,25,8527763,7049408,785850,6263558,2870370,411199,-509,0,0
Cordillera Administrative Region,Human Health and Social Work Activities,155,2906,2850,3,2854691,2179974,529313,1650661,1385824,39711,33966,0,187
Cordillera Administrative Region,Hospital activities,14,1981,1959,0,1863781,1278587,367489,911099,1070444,37154,26333,0,0
Cordillera Administrative Region,Medical and dental practice activities,123,771,746,0,916071,829850,131873,697977,268765,1357,9140,0,167
Cordillera Administrative Region,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Residential care activities for mental retardation,  mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other residential care activities, n.e.c.",5,40,40,0,19627,24194,9312,14881,12813,0,-7,0,0
Cordillera Administrative Region,Social work activities without accommodation  for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other social work activities without accommodation, n.e.c.",11,101,92,3,51778,44062,19235,24827,31920,1200,-1500,0,0
Ilocos Region,Human Health and Social Work Activities,309,8176,7788,220,7369303,5677849,1513759,4164090,3639039,92044,64048,0,136587
