geolocation,industry_description,number_of_establishments_2021,total_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Philippines,Education,9506,286225,282859,7874,145246780,128630073,67896931,60733142,102174520,8872320,-70419,74119,5456060
Philippines,Pre-primary/pre-school education,1418,14794,14245,73,3884540,3471636,1821304,1650332,2620078,233370,-7165,0,44777
Philippines,Primary/elementary education,2140,31163,30453,335,9092381,8405985,4547054,3858931,6200262,665325,-19073,0,178006
Philippines,Secondary/High School Education,2795,81643,80551,1576,35733210,31706765,17364800,14341965,25935443,1264038,-8214,0,2784412
Philippines,Higher education,1803,141252,140387,5657,87217392,76306955,40854998,35451956,62945201,6595839,6298,0,2221969
Philippines,Other education services,1331,16972,16826,230,8977910,8435122,3228969,5206152,4340869,108308,-42146,74119,226897
Philippines,Educational support services,19,401,398,4,341347,303610,79806,223804,132668,5440,-118,0,0
National Capital Region,Education,1646,65143,64715,1979,53109588,46441243,22315559,24125684,34660010,3050867,14002,47681,571551
National Capital Region,Pre-primary/pre-school education,302,4534,4436,29,1654481,1435751,666677,769074,1019515,3523,4069,0,0
National Capital Region,Primary/elementary education,302,6495,6413,103,2943405,2651607,1381319,1270288,1925588,132093,-3283,0,0
National Capital Region,Secondary/High School Education,298,13883,13817,444,11864667,10253203,4943660,5309543,7938125,250761,-7280,0,24772
National Capital Region,Higher education,294,32912,32747,1287,31521544,27191055,13583670,13607386,21626641,2599762,19708,0,359352
National Capital Region,Other education services,447,7062,7047,111,4923630,4727081,1679865,3047216,2057702,64728,867,47681,187428
National Capital Region,Educational support services,4,256,256,4,201860,182546,60369,122177,92438,0,-79,0,0
Cordillera Administrative Region,Education,236,5979,5899,94,2543875,2329307,1228139,1101168,1665454,89967,-1364,0,169389
Cordillera Administrative Region,Pre-primary/pre-school education,25,217,207,4,56263,54531,25504,29027,36024,57,496,0,275
Cordillera Administrative Region,Primary/elementary education,50,552,536,0,151072,132703,84165,48538,112626,407,99,0,0
Cordillera Administrative Region,Secondary/High School Education,83,1841,1838,5,659698,636892,271943,364949,386989,32268,-805,0,149834
Cordillera Administrative Region,Higher education,40,2838,2788,85,1559186,1386373,777574,608799,1057647,56195,-1387,0,19280
Cordillera Administrative Region,Other education services,38,531,531,0,117655,118809,68953,49857,72168,1040,233,0,0
Cordillera Administrative Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Education,440,11664,11563,155,3463751,3142587,1722881,1419706,2418151,311276,5460,0,226617
Ilocos Region,Pre-primary/pre-school education,33,401,401,0,48214,46419,32267,14151,38013,0,12,0,6966
Ilocos Region,Primary/elementary education,141,2265,2229,53,352039,349843,208968,140875,253917,477,3442,0,2301
Ilocos Region,Secondary/High School Education,127,3156,3142,33,913971,786736,500444,286292,667172,194,674,0,197766
Ilocos Region,Higher education,96,5513,5462,69,2092574,1903708,962576,941132,1438871,309105,-972,0,5184
Ilocos Region,Other education services,43,329,329,0,56954,55881,18626,37255,20178,1500,2303,0,14400
Ilocos Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Education,245,7929,7848,64,2704138,2448887,1680693,768194,2244771,211615,-10008,0,179084
Cagayan Valley,Pre-primary/pre-school education,64,597,575,0,116929,112145,70850,41295,89426,142,-7066,0,0
Cagayan Valley,Primary/elementary education,42,625,625,0,113359,104959,77148,27811,90523,4760,-1832,0,650
Cagayan Valley,Secondary/High School Education,68,1754,1707,0,551883,486656,342927,143729,467781,41424,-976,0,138060
Cagayan Valley,Higher education,51,4798,4786,64,1884334,1712144,1170166,541978,1566472,165289,-51,0,38688
Cagayan Valley,Other education services,20,155,155,0,37633,32983,19602,13380,30570,0,-84,0,1687
Cagayan Valley,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Education,1196,33146,32758,977,13373002,11975911,6841352,5134559,9983418,1176644,-35690,0,856928
Central Luzon,Pre-primary/pre-school education,143,1677,1640,0,449470,395627,204054,191573,315436,169480,-919,0,6842
Central Luzon,Primary/elementary education,302,5438,5360,29,1340534,1274624,847637,426987,1111915,474319,-12306,0,104302
Central Luzon,Secondary/High School Education,393,12539,12460,486,4660772,4226400,2584337,1642062,3676809,108840,9316,0,324825
Central Luzon,Higher education,214,12607,12495,462,6470093,5693702,3089020,2604682,4581813,412726,9266,0,420959
Central Luzon,Other education services,143,884,804,0,452133,385559,116304,269255,297446,11280,-41046,0,0
Central Luzon,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Education,1590,44699,44180,1338,20794865,18645602,10126248,8519354,15258605,608958,10469,0,977385
Calabarzon,Pre-primary/pre-school education,133,1303,1270,0,331364,310076,153481,156596,207081,0,-33,0,0
Calabarzon,Primary/elementary education,444,5873,5747,45,1334569,1274193,818142,456051,998141,2617,4617,0,14296
Calabarzon,Secondary/High School Education,627,17538,17287,242,6818060,6247703,3500978,2746725,5082186,198497,-2858,0,820073
Calabarzon,Higher education,233,19096,18991,1051,11651859,10246065,5502578,4743487,8690371,407844,8592,0,143017
Calabarzon,Other education services,153,888,885,0,659013,567564,151070,416495,280827,0,152,0,0
Calabarzon,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,Education,232,4573,4547,30,1004667,906329,607063,299266,803712,13756,-1762,0,140486
Mimaropa Region,Pre-primary/pre-school education,39,366,363,7,84778,74563,40609,33954,56939,0,-3739,0,0
Mimaropa Region,Primary/elementary education,56,459,454,0,68823,66796,30872,35924,37671,0,-268,0,970
Mimaropa Region,Secondary/High School Education,69,1324,1307,20,240613,239776,190278,49497,204846,4140,49,0,132604
Mimaropa Region,Higher education,45,2311,2311,0,586709,504659,336857,167802,490284,9616,2260,0,6912
Mimaropa Region,Other education services,23,114,114,3,23744,20535,8446,12089,13971,0,-65,0,0
Mimaropa Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Education,458,13185,13017,171,4945380,4300714,2364542,1936172,3644138,418039,260,0,324874
Bicol Region,Pre-primary/pre-school education,76,632,625,1,84953,75749,42140,33609,60047,400,320,0,0
Bicol Region,Primary/elementary education,108,1458,1445,6,231748,209180,118935,90244,171998,16600,-773,0,20073
Bicol Region,Secondary/High School Education,105,2680,2680,12,807772,706338,405566,300772,657356,108161,0,0,67696
Bicol Region,Higher education,121,8191,8042,152,3775013,3266902,1779778,1487124,2730162,292458,169,0,237105
Bicol Region,Other education services,48,224,224,0,45893,42546,18123,24423,24576,420,544,0,0
Bicol Region,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,Education,739,18892,18580,539,7592495,6584138,3933236,2650902,5917464,620102,8802,0,322402
Western Visayas,Pre-primary/pre-school education,220,2194,2078,6,512576,447151,291242,155909,423677,44021,-610,0,2835
Western Visayas,Primary/elementary education,149,1659,1613,28,336524,315841,205009,110832,256734,15759,-458,0,29409
Western Visayas,Secondary/High School Education,193,5074,4973,61,1441555,1355767,843489,512277,1074228,16352,-2758,0,227340
Western Visayas,Higher education,103,9127,9077,444,5057741,4246992,2518767,1728224,4048409,540339,14094,0,62818
Western Visayas,Other education services,74,840,840,0,244098,218387,74728,143659,114417,3631,-1466,0,0
Western Visayas,Educational support services,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,Education,766,26589,26434,1289,14932974,13360466,6618080,6742385,10078749,570192,-6585,26438,130793
