geolocation,industry_description,number_of_establishments_2021,total_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Philippines,Other Service Activities,9564,64372,62349,659,23251150,20574415,6155756,14418659,10666047,525068,-39613,0,0
Philippines,Repair of computers and communications equipment,311,1880,1796,24,1231532,1002230,276848,725382,595862,7789,39804,0,0
Philippines,Repair of personal and household goods,1121,7386,7085,426,3334804,2827285,796722,2030562,1479479,52145,-32959,0,0
Philippines,"Personal services for wellness, except sports activities",4761,39531,38315,17,8653630,8047154,3300437,4746716,4438866,11548,-17818,0,0
Philippines,Laundry services,1945,6268,6155,75,2894602,2731389,524229,2207160,985557,101135,-19530,0,0
Philippines,Funeral and related activities,1340,8921,8614,117,6918678,5773492,1217567,4555925,3089481,352451,-9090,0,0
Philippines,"Other personal service activities, n.e.c.",85,387,384,0,217905,192866,39952,152914,76803,0,-19,0,0
National Capital Region,Other Service Activities,3146,23654,23293,251,9007786,8412832,2514973,5897859,4153684,64902,34001,0,0
National Capital Region,Repair of computers and communications equipment,88,1006,996,7,681651,570296,184323,385973,346100,6361,36610,0,0
National Capital Region,Repair of personal and household goods,401,1862,1770,227,683735,628556,139206,489350,267044,9304,-19443,0,0
National Capital Region,"Personal services for wellness, except sports activities",1894,16629,16427,17,4773192,4440906,1588619,2852287,2256109,4409,-7989,0,0
National Capital Region,Laundry services,627,2122,2064,0,971485,1007158,188151,819007,320388,44829,-221,0,0
National Capital Region,Funeral and related activities,105,1768,1768,0,1721243,1609780,385987,1223793,908703,0,25045,0,0
National Capital Region,"Other personal service activities, n.e.c.",31,268,268,0,176479,156137,28688,127449,55340,0,0,0,0
Cordillera Administrative Region,Other Service Activities,171,779,734,0,181437,159571,38300,121272,74823,312,-4339,0,0
Cordillera Administrative Region,Repair of computers and communications equipment,6,15,15,0,7547,7506,2292,5214,3295,0,94,0,0
Cordillera Administrative Region,Repair of personal and household goods,17,50,44,0,11068,11945,4788,7157,5096,80,-754,0,0
Cordillera Administrative Region,"Personal services for wellness, except sports activities",99,536,513,0,94987,81096,22318,58777,47021,0,-3756,0,0
Cordillera Administrative Region,Laundry services,27,79,79,0,13879,11316,3966,7350,6965,0,-105,0,0
Cordillera Administrative Region,Funeral and related activities,18,95,79,0,53578,47419,4825,42594,12213,233,182,0,0
Cordillera Administrative Region,"Other personal service activities, n.e.c.",5,5,5,0,377,290,111,179,233,0,0,0,0
Ilocos Region,Other Service Activities,414,2314,2188,37,528902,467004,152333,314671,259850,65,2808,0,0
Ilocos Region,Repair of computers and communications equipment,19,74,67,0,57639,47930,8043,39888,20849,0,216,0,0
Ilocos Region,Repair of personal and household goods,41,245,240,0,73053,56958,28554,28404,50092,16,88,0,0
Ilocos Region,"Personal services for wellness, except sports activities",205,1485,1485,0,166656,165917,76445,89472,82849,0,73,0,0
Ilocos Region,Laundry services,50,74,50,0,38606,23262,2970,20292,24082,0,0,0,0
Ilocos Region,Funeral and related activities,100,435,346,37,192949,172937,36322,136615,81979,49,2431,0,0
Ilocos Region,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Other Service Activities,157,1052,936,18,314132,254281,86907,167374,170420,1322,-3861,0,0
Cagayan Valley,Repair of computers and communications equipment,6,16,12,0,7372,5854,937,4918,3054,0,-410,0,0
Cagayan Valley,Repair of personal and household goods,21,113,113,18,72105,55670,13955,41715,33966,17,-2775,0,0
Cagayan Valley,"Personal services for wellness, except sports activities",73,613,578,0,49512,53239,45940,7300,44749,107,67,0,0
Cagayan Valley,Laundry services,11,23,11,0,6016,4065,675,3390,2894,0,4,0,0
Cagayan Valley,Funeral and related activities,45,287,222,0,179127,135452,25400,110052,85758,1199,-746,0,0
Cagayan Valley,"Other personal service activities, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Other Service Activities,876,5508,5421,75,1636183,1382478,497702,884776,880775,90426,-65844,0,0
Central Luzon,Repair of computers and communications equipment,38,154,139,0,128963,87999,17896,70103,68629,401,-75,0,0
Central Luzon,Repair of personal and household goods,80,396,376,0,172877,133683,29818,103866,98622,773,-18974,0,0
Central Luzon,"Personal services for wellness, except sports activities",421,3498,3471,0,713286,690969,310283,380686,371221,5727,-2139,0,0
Central Luzon,Laundry services,113,549,547,75,248517,201458,49855,151603,107701,51837,-19507,0,0
Central Luzon,Funeral and related activities,220,891,867,0,359660,258431,87072,171359,227404,31688,-25182,0,0
Central Luzon,"Other personal service activities, n.e.c.",5,20,20,0,12881,9938,2779,7159,7198,0,33,0,0
Calabarzon,Other Service Activities,1467,10513,10246,26,3876034,3357489,875927,2481562,1569046,7367,-11625,0,0
Calabarzon,Repair of computers and communications equipment,44,197,186,0,99299,80074,18881,61193,44640,38,-951,0,0
Calabarzon,Repair of personal and household goods,167,1027,913,0,630113,551664,124860,426804,209097,237,9510,0,0
Calabarzon,"Personal services for wellness, except sports activities",710,6701,6559,0,1017234,842896,477618,365278,677764,0,-2632,0,0
Calabarzon,Laundry services,308,1113,1113,0,1068985,977420,93354,884066,237083,0,0,0,0
Calabarzon,Funeral and related activities,223,1460,1460,26,1053709,899671,161028,738643,398697,7092,-17552,0,0
Calabarzon,"Other personal service activities, n.e.c.",16,16,16,0,6695,5765,186,5579,1765,0,0,0,0
Mimaropa Region,Other Service Activities,89,475,468,0,195384,172291,30750,141541,74129,24,921,0,0
