"Summary Statistics for Arts, Entertainment and Recreation Establishments"

"Industry Description","2016 Number of Establishments All Employment Sizes","2016 Number of Establishments Total Employment of 20 and Over","2016 Number of Establishments Total Employment of Less than 20","2016 Total Employment All Employment Sizes","2016 Total Employment Total Employment of 20 and Over","2016 Total Employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total Income All Employment Sizes","2016 Total Income Total Employment of 20 and Over","2016 Total Income Total Employment of Less than 20","2016 Total Expense All Employment Sizes","2016 Total Expense Total Employment of 20 and Over","2016 Total Expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other Expense All Employment Sizes","2016 Other Expense Total Employment of 20 and Over","2016 Other Expense Total Employment of Less than 20","2016 Value Added All Employment Sizes","2016 Value Added Total Employment of 20 and Over","2016 Value Added Total Employment of Less than 20","2016 Gross Additions to Fixed Assets All Employment Sizes","2016 Gross Additions to Fixed Assets Total Employment of 20 and Over","2016 Gross Additions to Fixed Assets Total Employment of Less than 20","2016 Change in Inventories All Employment Sizes","2016 Change in Inventories Total Employment of 20 and Over","2016 Change in Inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce Sales All Employment Sizes","2016 E-Commerce Sales Total Employment of 20 and Over","2016 E-Commerce Sales Total Employment of Less than 20"
"Arts, Entertainment and Recreation",3459,285,3174,66399,45146,21253,65037,44801,20236,259318770,168210147,91108623,207420708,146215900,61204808,28054210,23419919,4634291,179366498,122795981,56570517,120727970,81640316,39087654,70687162,57925415,12761747,1428874,201645,1227228,562141,562141,0,2411102,2410285,817
"..Concerts and opera or dance production",36,13,23,1078,585,493,1054,561,493,39971,17758,22213,34556,13114,21442,11416,8588,2829,23140,4526,18613,18442,14204,4238,634,440,194,-1,-1,0,0,0,0,0,0,0
"..Live theatrical presentations and other stage productions",4,s,s,68,s,s,62,s,s,36942,s,s,35875,s,s,6599,s,s,29276,s,s,9190,s,s,0,s,s,1337,s,s,0,s,s,0,s,s
"..Individual artists activities",14,..,14,70,..,70,70,..,70,33389,..,33389,29442,..,29442,10302,..,10302,19140,..,19140,16692,..,16692,0,..,0,0,..,0,0,..,0,0,..,0
"..Ancillary theatrical activities",6,s,s,54,s,s,50,s,s,350112,s,s,333359,s,s,5524,s,s,327835,s,s,27238,s,s,0,s,s,0,s,s,0,s,s,0,s,s
"..Art galleries",23,..,23,114,..,114,114,..,114,179599,..,179599,174552,..,174552,29922,..,29922,144629,..,144629,43098,..,43098,0,..,0,-189,..,-189,0,..,0,0,..,0
"..Operation of concert and theatre halls and other arts facilities",12,s,s,482,s,s,482,s,s,2264613,s,s,2414762,s,s,221550,s,s,2193212,s,s,205388,s,s,80739,s,s,130,s,s,561818,s,s,0,s,s
"..Other creative, arts and entertainment activities, n.e.c.",37,s,s,458,s,s,458,s,s,337421,s,s,331228,s,s,118321,s,s,212907,s,s,154211,s,s,8155,s,s,-196,s,s,0,s,s,0,s,s
"..Museum activities and preservation of historical sites and buildings",13,4,9,144,119,25,144,119,25,427163,420872,6291,299028,294462,4566,77122,74845,2277,221906,219618,2288,274707,270400,4308,395299,395299,0,-406,-406,0,0,0,0,6700,6700,0
"..Botanical and zoological gardens and nature reserves activities",17,9,8,467,393,74,458,388,70,533444,502977,30467,480807,444934,35873,61279,54179,7099,419528,390755,28773,212258,209564,2694,819,577,242,272,255,16,0,0,0,817,0,817
"..Gambling and betting activities",1354,103,1251,40476,33389,7087,40456,33369,7087,186730672,157372859,29357813,155220230,136397149,18823081,23869541,21096573,2772967,131350690,115300576,16050114,89778274,76406933,13371341,56439282,56339894,99388,296738,204824,91914,0,0,0,2379271,2379271,0
"..Operation of sports facilities",302,13,289,2956,627,2329,2450,625,1825,1914525,495340,1419185,1785486,491117,1294369,219137,121615,97521,1566350,369501,1196848,688315,230664,457651,817978,730368,87609,-6121,-61,-6060,0,0,0,0,0,0
"..Activities of sports clubs",115,36,79,3927,3401,526,3815,3334,481,5214883,4351884,862999,4639923,3939858,700066,994917,924012,70905,3645006,3015846,629160,2805689,2301919,503770,581236,222472,358764,-4721,-1003,-3718,0,0,0,0,0,0
"..Other sports activities",45,6,39,866,619,247,866,619,247,308399,245125,63273,302101,233528,68574,93562,74408,19154,208539,159120,49419,126997,103640,23357,6811,6811,0,970,513,457,0,0,0,0,0,0
