"Summary Statistics for Information and Communication Establishments"

"Industry Description","2016 Number of establishments All Employment Sizes","2016 Number of establishments Total Employment of 20 and Over","2016 Number of establishments Total Employment of Less than 20","2016 Total employment All Employment Sizes","2016 Total employment Total Employment of 20 and Over","2016 Total employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total income All Employment Sizes","2016 Total income Total Employment of 20 and Over","2016 Total income Total Employment of Less than 20","2016 Total expense All Employment Sizes","2016 Total expense Total Employment of 20 and Over","2016 Total expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other expense All Employment Sizes","2016 Other expense Total Employment of 20 and Over","2016 Other expense Total Employment of Less than 20","2016 Value added All Employment Sizes","2016 Value added Total Employment of 20 and Over","2016 Value added Total Employment of Less than 20","2016 Goss additions to fixed assets All Employment Sizes","2016 Goss additions to fixed assets Total Employment of 20 and Over","2016 Goss additions to fixed assets Total Employment of Less than 20","2016 Change in inventories All Employment Sizes","2016 Change in inventories Total Employment of 20 and Over","2016 Change in inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce sales All Employment Sizes","2016 E-Commerce sales Total Employment of 20 and Over","2016 E-Commerce sales Total Employment of Less than 20"
"Information and Communication",4598,846,3752,145324,127561,17763,143565,127332,16233,626619395,577097351,49522044,522550074,479787963,42762111,86855396,83527150,3328245,435694678,396260812,39433865,241019482,222975817,18043665,53375801,52544951,830850,-424262,-653660,229398,37664,37664,0,540069,538529,1540
"..Book publishing",79,34,45,3629,3194,435,3615,3183,432,6193075,5341411,851664,5678947,4926295,752652,911131,797668,113463,4767816,4128627,639189,1846391,1601489,244902,380037,374488,5548,16846,18341,-1495,0,0,0,120838,119448,1390
"..Publishing of directories and mailing lists",3,3,..,1257,1257,..,1257,1257,..,1277829,1277829,..,1236572,1236572,..,669737,669737,..,566835,566835,..,729101,729101,..,5898,5898,..,6174,6174,..,0,0,..,55068,55068,..
"..Publishing of newspapers, journals and periodicals",105,40,65,4945,4509,436,4870,4449,421,10860985,10320221,540764,9528783,9034837,493946,2092482,1994921,97561,7436301,7039916,396385,3800861,3629585,171276,83100,76969,6131,17955,18569,-615,0,0,0,0,0,0
"..Other publishing activities",7,4,3,394,363,31,394,363,31,293457,214814,78643,288926,212361,76564,134906,119987,14919,154020,92374,61645,151093,131809,19284,4882,4472,410,0,0,0,0,0,0,0,0,0
"..Software publishing",5,5,..,1852,1852,..,1852,1852,..,7360285,7360285,..,7187417,7187417,..,2200837,2200837,..,4986581,4986581,..,2540718,2540718,..,48000,48000,..,0,0,..,0,0,..,0,0,..
"..Motion picture, video and television programme activities",33,11,22,1102,888,214,1084,870,214,4052583,3341696,710887,2946675,2314413,632263,574246,505863,68382,2372430,1808549,563882,1715600,1756200,-40599,68906,68716,190,-19320,-19173,-148,0,0,0,0,0,0
"..Motion picture, video and television programme post-production activities",11,s,s,1182,s,s,1182,s,s,859582,s,s,846661,s,s,349112,s,s,497548,s,s,427129,s,s,13902,s,s,0,s,s,0,s,s,0,s,s
"..Motion picture, video and television programme distribution activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Motion picture projection activities",115,36,79,2186,1455,731,2183,1453,730,7491001,4683374,2807627,5485753,3217601,2268152,446170,284019,162151,5039583,2933582,2106000,3676877,2577356,1099521,1898866,1323303,575563,-514,-627,113,0,0,0,0,0,0
