"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments"

"Industry Description","2016 Number of Establishments All Employment Sizes","2016 Number of Establishments Total Employment of 20 and Over","2016 Number of Establishments Total Employment of Less than 20","2016 Total Employment All Employment Sizes","2016 Total Employment Total Employment of 20 and Over","2016 Total Employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total Income All Employment Sizes","2016 Total Income Total Employment of 20 and Over","2016 Total Income Total Employment of Less than 20","2016 Total Expense All Employment Sizes","2016 Total Expense Total Employment of 20 and Over","2016 Total Expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other Expense All Employment Sizes","2016 Other Expense Total Employment of 20 and Over","2016 Other Expense Total Employment of Less than 20","2016 Gross Margin All Employment Sizes","2016 Gross Margin Total Employment of 20 and Over","2016 Gross Margin Total Employment of Less than 20","2016 Value Added All Employment Sizes","2016 Value Added Total Employment of 20 and Over","2016 Value Added Total Employment of Less than 20","2016 Gross Additions to Fixed Assets All Employment Sizes","2016 Gross Additions to Fixed Assets Total Employment of 20 and Over","2016 Gross Additions to Fixed Assets Total Employment of Less than 20","2016 Change in Inventories All Employment Sizes","2016 Change in Inventories Total Employment of 20 and Over","2016 Change in Inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce Sales All Employment Sizes","2016 E-Commerce Sales Total Employment of 20 and Over","2016 E-Commerce Sales Total Employment of Less than 20"
"Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",115998,8523,107475,1114717,496556,618161,1077257,494756,582501,4055445027,2759049254,1296395773,3877691016,2628402673,1249288343,165988820,95010104,70978716,3711702197,2533392569,1178309627,667489728,434973205,232516523,426582356,277125421,149456938,26261344,19192816,7068528,39552317,30159321,9392996,801966,691628,110338,2030548,1812738,217809
"..Sale of passenger motor vehicles",841,287,554,28995,25592,3403,28839,25435,3403,300388705,297006959,3381746,285205919,281880871,3325048,6277713,5778600,499113,278928205,276102271,2825934,24724532,24258054,466478,25933478,25357361,576117,981965,981965,0,2497504,2677160,-179656,0,0,0,0,0,0
"..Sale of lorries, trailers and semi-trailers",214,35,179,3341,1522,1818,3336,1517,1818,9278366,6650353,2628013,8914319,6436666,2477653,712358,394105,318253,8201961,6042561,2159400,1972315,1026442,945873,1546325,1011505,534820,261447,59299,202148,798536,675573,122964,0,0,0,0,0,0
"..Sale of other motor vehicles",116,24,92,1774,999,775,1774,999,775,8415794,5329335,3086458,7987124,4908805,3078319,312151,158813,153339,7674972,4749992,2924980,920123,558537,361586,872218,612885,259333,128811,15800,113010,188521,161258,27263,0,0,0,0,0,0
"..Repair of motor vehicles, including overhauling",1418,95,1323,11117,2780,8337,10003,2769,7234,9570439,3385146,6185293,8430038,2708783,5721256,1384006,551102,832904,7046033,2157681,4888352,0,0,0,2973327,1305046,1668281,11630,7301,4329,79263,76,79187,0,0,0,0,0,0
"..Repair of batteries for motor vehicles",86,c,84,286,c,247,248,c,209,83055,c,36528,76471,c,32768,28386,c,16607,48085,c,16161,0,c,0,38598,c,23122,0,c,0,166,c,0,0,c,0,0,c,0
"..Vulcanizing or preparing of tires for motor vehicles",351,7,346,1517,196,1360,1412,196,1255,267350,180623,133254,240781,158834,125650,105349,45062,72066,135432,113772,53584,0,0,0,140069,68946,86599,0,0,0,-3614,-3195,-254,0,0,0,0,0,0
"..Maintenance of motor vehicles, n.e.c.",738,24,714,5817,1017,4800,5427,1017,4410,3016278,738302,2277977,2580912,614182,1966730,591892,182603,409289,1989020,431579,1557441,0,0,0,1340766,353483,987283,63206,10808,52398,878,878,0,0,0,0,0,0,0
"..Wholesale of motor vehicles parts and accessories",257,31,226,3172,1310,1862,3172,1310,1862,8537173,5997513,2539660,7856806,5573791,2283015,656975,344145,312829,7199832,5229646,1970186,2164431,1228385,936046,1604749,924510,680239,23352,19527,3826,91183,105452,-14269,0,0,0,0,0,0
"..Retail sale of motor vehicles parts and accessories",2611,107,2504,14742,3845,10897,13980,3843,10138,30580100,11501809,19078292,26731084,10936804,15776984,3253304,833541,2419763,23477780,10103263,13357221,7577443,2319879,5257564,7759865,1716510,6043355,45824,83788,-37964,-856901,210866,-1067767,0,0,0,0,0,0
"..Wholesale of motor vehicles tires and batteries",140,31,109,2166,1454,712,2166,1454,712,13342017,11528955,1813062,13071129,11283413,1787716,535946,393404,142541,12535183,10890008,1645175,1753879,1439692,314187,944047,706200,237846,45307,40843,4464,69482,16758,52724,0,0,0,0,0,0
"..Retail sale of motor vehicles tires and batteries",942,33,909,5344,1137,4207,5344,1137,4207,13730593,4429417,9301176,12750807,4200556,8550251,986108,186044,800064,11764699,4014512,7750187,2804013,809873,1994141,2141671,503135,1638536,7553,7553,0,192753,90498,102255,0,0,0,0,0,0
"..Sale of motor vehicle parts and ac cessories, n.e.c.",56,5,51,607,280,327,566,278,288,1760190,999631,760559,1590280,891241,699039,53838,27339,26498,1536443,863901,672541,440722,249180,191541,361647,227873,133774,837,837,0,-90319,37506,-127825,0,0,0,0,0,0
"..Sale of motorcycles and their parts and components",6334,c,6177,45983,c,38374,43713,c,36137,91670966,c,71778946,88452402,c,69661196,6670071,c,5542804,81782331,c,64118392,13790619,c,10648788,12420071,c,9758200,351818,c,331724,-314680,c,-1055483,0,c,0,0,c,0
"..Maintenance and repair of motorcycles and their parts and components",152,158,151,602,7630,581,493,7597,472,358762,19965519,285263,354530,18861631,284105,55381,1131515,51134,299149,17730117,232971,0,3141830,0,62507,2671131,53247,0,20094,0,-568,740803,-568,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of agricultural raw materials and live animals",110,12,98,1343,553,790,1338,548,790,2494924,862490,1632434,2357901,839225,1518676,199957,76976,122980,2157945,762249,1395696,0,0,0,350463,119555,230908,-6481,1236,-7717,-24042,11,-24053,688,0,688,0,0,0
"..Wholesale on a fee or contract basis, of food, beverages and tobacco",50,4,46,508,110,398,508,110,398,1747928,277589,1470339,1682106,244415,1437691,101339,24557,76782,1580767,219858,1360909,0,0,0,234990,64518,170471,6185,0,6185,12922,-4122,17044,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of textile, clothing, and footwear",17,3,14,187,78,109,187,78,109,306633,172414,134219,275165,145219,129946,73544,44904,28640,201621,100315,101306,0,0,0,104903,70112,34791,131,131,0,-7351,-7351,0,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of household appliances, articles and equipment",23,7,16,292,175,117,292,175,117,667277,333723,333554,607721,325403,282318,44929,26406,18523,562792,298997,263795,0,0,0,119519,40555,78963,588,0,588,2735,2025,710,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of miscellaneous consumer goods",47,12,35,588,324,264,588,324,264,917887,755664,162223,876770,718745,158026,76513,44504,32009,800257,674240,126017,0,0,0,134162,93712,40449,0,0,0,1805,1825,-19,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of construction materials and hardware",23,4,19,224,122,102,224,122,102,334643,223270,111373,299680,191221,108459,48239,28473,19765,251442,162748,88694,0,0,0,107384,70417,36967,0,0,0,12637,0,12637,0,0,0,0,0,0
"..Wholesale on a fee or contract basis, of chemical and pharmaceutical products",25,c,24,276,c,176,276,c,176,1749173,c,432241,1707116,c,378991,79983,c,50320,1627133,c,328671,0,c,0,311305,c,107219,37964,c,4008,15200,c,-3053,0,c,0,0,c,0
"..Wholesale on a fee or contract basis, of machinery, equipment and supplies",38,c,36,245,c,181,245,c,181,800585,c,618001,748057,c,592909,89459,c,64336,658598,c,528573,0,c,0,161126,c,94392,0,c,0,0,c,0,0,c,0,0,c,0
"..Wholesale on a fee or contract basis, of other products",28,5,26,236,253,147,236,253,147,547974,1603287,444204,529843,1580709,432407,60507,98355,16938,469336,1482353,415469,0,0,0,76673,322809,24684,817,34774,0,-7915,19069,-8731,0,0,0,0,0,0
"..Wholesale of palay, corn (unmilled) and other grains",825,48,777,7490,1476,6014,7072,1455,5617,13491075,7152505,6338570,12330592,6817349,5513243,564470,206062,358408,11766122,6611288,5154835,2381088,805254,1575834,1984530,642577,1341953,28518,28518,0,-226699,469492,-696192,4296,4296,0,0,0,0
"..Wholesale of abaca and other fibers, except synthetic fibers",26,8,18,639,534,105,639,534,105,1729620,1599607,130013,1685225,1561235,123989,47262,40224,7038,1637962,1521011,116951,158249,137566,20683,105393,91289,14104,7407,7407,0,-53447,-53901,454,2303,2303,0,0,0,0
"..Wholesale of coconut and coconut by-products",876,10,866,4118,638,3480,3491,611,2880,6075761,2446142,3629618,5737618,2280569,3457049,282131,58260,223871,5455487,2222309,3233178,916615,340018,576597,702546,255692,446854,93397,27829,65568,301798,174189,127609,0,0,0,0,0,0
"..Wholesale of oleaginous fruits (e.g., oil seeds, palm oil, sunflower seeds, etc.)",6,..,6,24,..,24,24,..,24,56898,..,56898,55858,..,55858,2726,..,2726,53132,..,53132,7793,..,7793,4177,..,4177,0,..,0,3531,..,3531,0,..,0,0,..,0
"..Wholesale of tobacco leaf",21,c,11,528,c,78,518,c,68,159678,c,72577,158154,c,71160,25211,c,4449,132943,c,66711,41034,c,13681,29380,c,7438,2625,c,2625,4008,c,2195,0,c,0,0,c,0
"..Wholesale of flowers and plants",36,11,35,278,471,257,278,471,257,347257,125781,308578,328033,125458,289569,72200,23436,69527,255832,102022,220042,162964,31193,159124,127284,25341,123885,0,0,0,80182,51097,30898,0,0,0,0,0,0
"..Wholesale of livestock and poultry and unprocessed animal products",48,7,41,356,188,168,350,188,162,1090000,807984,282016,1053767,772695,281072,35419,26476,8943,1018348,746219,272129,134134,100570,33564,88290,75990,12300,6292,6292,0,13152,12381,772,0,0,0,0,0,0
"..Wholesale of fish and other seafoods",329,35,294,3151,1498,1653,3104,1495,1609,2828517,1716236,1112281,2659716,1638658,1021058,246164,100158,146006,2413552,1538500,875052,693266,317864,375402,465292,199505,265787,6781,750,6031,-14602,-21127,6525,0,0,0,0,0,0
"..Wholesale of farm, forest and marine products, including seeds and animal feeds, hides and skins, leather, etc., n.e.c.",315,45,270,4748,2992,1755,4636,2976,1661,30090960,25649125,4441835,29680838,25285173,4395666,713846,484267,229579,28966993,24800906,4166087,4101308,3357560,743748,2084215,1703600,380615,210099,167056,43042,1097884,1126651,-28766,0,0,0,0,0,0
"..Wholesale of fruits, nuts and vegetables",248,27,221,4212,3109,1103,4210,3107,1103,7681407,6134616,1546791,7050502,5811053,1239449,390963,320446,70517,6659539,5490608,1168932,1601682,975508,626174,1196058,737617,458441,82652,82652,0,-134093,-56853,-77239,0,0,0,0,0,0
"..Wholesale of sugar, confectionery and bakery products and other processed foods",785,252,533,20696,17164,3532,20685,17154,3532,134618596,124119281,10499315,130943218,120618520,10324698,2811413,2457085,354328,128131805,118161435,9970370,13460286,12573048,887238,8235546,7593680,641866,749386,749386,0,1603104,1302301,300803,0,0,0,0,0,0
