"Summary Statistics for Financial and Insurance Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid Employees a/","2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions  to Tangible Fixed Assets","2020 Change  in Inventories","2020 Subsidies","2020 Sales from E-Commerce Transactions"
"PHILIPPINES","Financial and Insurance Activities",36576,388043,386782,28882,1996762595,1487199232,251961724,1235237507,1003354255,40923106,813066,6849385,2056147
"PHILIPPINES","..Monetary intermediation",9042,173753,173752,10463,1058080360,839625401,149210611,690414790,514650346,18386513,798687,60076,357782
"PHILIPPINES","..Activities of holding companies",301,8264,8259,414,208429879,83307678,18711262,64596416,158184478,8813142,-93690,-,-
"PHILIPPINES","..Trusts, funds and other financial vehicles",193,1586,1577,69,18664012,17716294,3947623,13768671,6380691,39697,-23750,-,-
"PHILIPPINES","..Other financial service activities, except insurance and pension funding activities",22169,157441,156567,12963,230587602,171718537,48914694,122803843,162997351,8700289,479714,872069,349
"PHILIPPINES","..Insurance",1894,24800,24594,2905,324580806,251187574,19892889,231294685,107545275,3119886,-9450,2214,1132409
"PHILIPPINES","..Reinsurance",14,64,64,8,235030,218881,14522,204358,33761,107,-18,-,-
"PHILIPPINES","..Pension funding",6,112,112,-,598264,320100,59351,260749,426517,428,29,-,-
"PHILIPPINES","..Activities auxiliary to financial service,  except insurance and pension funding",2334,10164,10025,548,9957896,9505623,4477717,5027906,6271251,231292,-2222,1440,522952
"PHILIPPINES","..Activities auxiliary to insurance and pension funding",616,11439,11413,1496,140389889,109402207,6648408,102753800,45170910,1540280,-336180,5913587,42655
"PHILIPPINES","..Fund management activities",7,421,421,17,5238857,4196936,84647,4112289,1693674,91472,-55,-,-
"..National Capital Region","Financial and Insurance Activities",7468,171403,171332,15573,1509022664,1102971153,170325147,932646006,752709491,28611914,516898,6725068,1921861
