"Summary Statistics for Professional, Scientific and Technical Activities Establishments by Region and Industry Group: Philippines by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid Employees a/","2020 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions To Tangible Fixed Assets","2020 Change in Inventories","2020 Sales from E-commerce","2020 Subsidies"
"PHILIPPINES","Professional, Scientific and Technical Activities",4816,127895,127130,5102,255551230,227142986,63723538,163419448,113667513,3526093,916666,-,359362
"PHILIPPINES","..Legal activities",971,7958,7732,29,9837420,6838002,2611747,4226255,5948810,243713,796,-,30
"PHILIPPINES","..Accounting, bookkeeping and auditing activities; tax consultancy",441,18589,18361,545,22602743,18752076,8850871,9901205,13487942,241615,462360,-,40
"PHILIPPINES","..Activities of head offices",59,4780,4779,247,86920548,83857492,3012336,80845156,19617555,744542,-108156,-,-
"PHILIPPINES","..Management consultancy activities",639,30282,30197,1198,39733072,35474075,20927164,14546910,27131263,342932,16478,-,-
"PHILIPPINES","..Architectural and engineering activities and related technical consultancy",578,34013,33911,675,41563532,33461700,16474338,16987362,25950362,275808,105757,-,817
"PHILIPPINES","..Technical testing and analysis",411,5907,5907,13,5010990,2863943,1066517,1797426,3685983,776040,-3250,-,-
"PHILIPPINES","..Research and experimental development on natural sciences and engineering",40,2407,2404,742,2895644,2605247,1333492,1271756,2035680,22718,253,-,-
"PHILIPPINES","..Research and experimental development on social sciences and humanities",15,837,837,175,755981,886001,239464,646537,155805,-2423,-,-,355403
"PHILIPPINES","..Research and experimental development in information technology",15,3262,3259,18,3707398,3538622,2306200,1232422,2647440,187895,-1738,-,-
"PHILIPPINES","..Research and experimental development services, n.e.c.",3,72,72,-,10998,18290,10330,7959,3924,-,-,-,-
"PHILIPPINES","..Advertising",450,7950,7891,1133,26958654,24083133,3284315,20798818,7419884,326333,9286,-,-
"PHILIPPINES","..Market research and public opinion polling",45,2487,2487,200,7370669,7473760,1480215,5993545,1958256,111518,31469,-,3073
"PHILIPPINES","..Specialized design activities",59,1279,1279,-,965820,774148,265799,508349,538945,12236,-25261,-,-
"PHILIPPINES","..Photographic activities",717,4664,4640,118,3408151,3431546,738467,2693080,1095668,127827,6894,-,-
"PHILIPPINES","..Other professional, scientific and technical activities, n.e.c.",80,1429,1411,1,1055803,957988,417450,540538,550922,-,-,-,-
"PHILIPPINES","..Veterinary activities",294,1980,1963,7,2753807,2126963,704833,1422130,1439074,115340,421778,-,-
"..National Capital Region","Professional, Scientific and Technical Activities",2606,96094,95625,3742,231614468,205345181,53929727,151415454,100705462,2803351,933707,-,355057
"..National Capital Region","..Legal activities",531,6220,6135,29,9024764,6307094,2369184,3937911,5374531,231811,-,-,30
"..National Capital Region","..Accounting, bookkeeping and auditing activities; tax consultancy",266,15274,15052,543,21000394,17211524,7873338,9338187,12359022,218297,462524,-,-
"..National Capital Region","..Activities of head offices",45,4004,4004,55,86131875,83107458,2867990,80239469,19359237,729510,-108231,-,-
"..National Capital Region","..Management consultancy activities",525,27456,27410,972,36736480,32628058,19994812,12633245,26087146,228390,-4586,-,-
"..National Capital Region","..Architectural and engineering activities and related technical consultancy",358,23539,23485,622,34314278,26546523,12626564,13919958,21602556,199327,2833,-,-
"..National Capital Region","..Technical testing and analysis",68,3242,3242,6,3379037,1613901,529696,1084206,2728341,537891,-,-,-
"..National Capital Region","..Research and experimental development on natural sciences and engineering",24,1617,1617,6,1507660,1350897,761891,589005,1230400,22129,-,-,-
"..National Capital Region","..Research and experimental development on social sciences and humanities",11,514,514,175,501997,629154,187242,441912,104882,-2776,-,-,355027
"..National Capital Region","..Research and experimental development in information technology",12,1393,1390,9,1738645,1540723,874275,666448,1100785,112831,-1304,-,-
"..National Capital Region","..Research and experimental development services, n.e.c.",3,72,72,-,10998,18290,10330,7959,3924,-,-,-,-
"..National Capital Region","..Advertising",303,6193,6136,1117,25323391,22800325,3066607,19733719,6702288,321951,114940,-,-
"..National Capital Region","..Market research and public opinion polling",41,2063,2063,200,7274725,7386164,1424767,5961397,1893160,111345,31469,-,-
"..National Capital Region","..Specialized design activities",45,696,696,-,505350,407760,82854,324906,218363,-,-16486,-,-
"..National Capital Region","..Photographic activities",195,1962,1962,-,1153301,1285016,356888,928128,426836,32879,43703,-,-
"..National Capital Region","..Other professional, scientific and technical activities, n.e.c.",68,961,961,-,878766,784857,336652,448205,459285,-,-,-,-
"..National Capital Region","..Veterinary activities",112,889,889,7,2132808,1727436,566637,1160799,1054705,59766,408843,-,-
"..Cordillera Administrative Region","Professional, Scientific and Technical Activities",54,618,603,-,312905,294793,86539,208253,134374,1023,845,-,-
"..Cordillera Administrative Region","..Legal activities",10,43,38,-,5583,3721,1196,2525,3315,-,7,-,-
"..Cordillera Administrative Region","..Accounting, bookkeeping and auditing activities; tax consultancy",7,44,42,-,36058,30028,17046,12982,24168,-,-14,-,-
"..Cordillera Administrative Region","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Management consultancy activities",3,142,142,-,137207,137531,14054,123477,31435,-,-,-,-
"..Cordillera Administrative Region","..Architectural and engineering activities and related technical consultancy",16,293,288,-,88944,77229,36691,40537,57067,4,177,-,-
"..Cordillera Administrative Region","..Technical testing and analysis",4,21,21,-,4836,4002,2009,1993,3064,-,-,-,-
"..Cordillera Administrative Region","..Research and experimental development on natural sciences and engineering",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Research and experimental development on social sciences and humanities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Advertising",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Photographic activities",10,31,29,-,3411,3398,810,2588,1239,930,96,-,-
"..Cordillera Administrative Region","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Veterinary activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos","Professional, Scientific and Technical Activities",101,652,643,70,419538,477021,131975,345046,132867,8417,11732,-,-
"..Ilocos","..Legal activities",9,73,73,-,24148,20740,10675,10065,15058,-,-,-,-
"..Ilocos","..Accounting, bookkeeping and auditing activities; tax consultancy",10,70,70,-,15481,18185,10253,7932,10488,-,-,-,-
"..Ilocos","..Activities of head offices",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos","..Management consultancy activities",5,164,164,-,128771,221726,29115,192610,-24945,571,199,-,-
"..Ilocos","..Architectural and engineering activities and related technical consultancy",5,49,48,-,15147,11680,6918,4762,11587,-,43,-,-
"..Ilocos","..Technical testing and analysis",19,38,38,-,34368,15970,6120,9850,29241,-,-,-,-
"..Ilocos","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Advertising",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Photographic activities",39,140,137,-,92880,106305,16958,89347,13210,7846,11707,-,-
"..Ilocos","..Other professional, scientific and technical activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos","..Veterinary activities",10,29,25,-,4947,5780,2196,3585,1492,-,-184,-,-
"..Cagayan Valley","Professional, Scientific and Technical Activities",40,309,309,-,255697,242248,53892,188356,88659,-,-206,-,-
"..Cagayan Valley","..Legal activities",7,14,14,-,10299,8719,1813,6906,3798,-,-25,-,-
"..Cagayan Valley","..Accounting, bookkeeping and auditing activities; tax consultancy",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Activities of head offices",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Management consultancy activities",3,116,116,-,111518,113370,8687,104683,22122,-,-,-,-
"..Cagayan Valley","..Architectural and engineering activities and related technical consultancy",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Technical testing and analysis",13,72,72,-,110107,101596,32277,69319,45488,-,93,-,-
"..Cagayan Valley","..Research and experimental development on natural sciences and engineering",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Research and experimental development on social sciences and humanities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Research and experimental development in information technology",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Research and experimental development services, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Advertising",3,21,21,-,6087,4585,2919,1666,4691,-,-101,-,-
"..Cagayan Valley","..Market research and public opinion polling",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Specialized design activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Photographic activities",10,69,69,-,11833,10298,6878,3420,8827,-,-154,-,-
