"Summary Statistics for Transportation and Storage Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"PHILIPPINES","Transportation and Storage",2993,208548,207254,20044,561180847,533821735,68401819,465419915,187482386,22806173,-1038806,59139405,16173278
"PHILIPPINES","..Transport via railways",s,s,s,s,s,s,s,s,s,s,s,s,s
"PHILIPPINES","..Transport via buses",161,19658,19240,368,10716003,11169056,2276680,8892376,4008481,1299822,8147,19543,-
"PHILIPPINES","..Other land transport",962,30453,30126,1618,36309569,32441132,5820363,26620769,12963374,1499170,77242,-,7
"PHILIPPINES","..Sea and coastal water transport",131,18960,18697,1030,44476139,44817094,6072264,38744830,14516734,2426901,81701,805419,5316
"PHILIPPINES","..Inland water transport",13,250,235,10,147989,133803,18889,114914,43888,53348,-297,-,3000
"PHILIPPINES","..Passenger air transport",26,9198,9198,128,182544130,185262122,10916934,174345187,52594676,6660675,-571949,58295710,-
"PHILIPPINES","..Warehousing and storage",239,15673,15654,3207,25427150,21525154,3676489,17848664,9553011,2740570,-169748,-,-
"PHILIPPINES","..Support activities for transportation",1314,80929,80704,9893,216659180,182117089,29185984,152931105,88741134,4810761,-345509,17204,32543
"PHILIPPINES","..Postal activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"PHILIPPINES","..Courier activities",143,22410,22381,2398,37985549,36052211,6791093,29261118,9887041,557429,-6321,1529,-
"..National Capital Region","Transportation and Storage",1505,127762,127683,13035,450631979,433777324,50735973,383041351,147033463,15732632,-694823,58332457,16137729
"..National Capital Region","..Transport via railways",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Transport via buses",40,6029,5967,..,2675350,3305940,662187,2643753,868211,269493,-11502,19543,-
"..National Capital Region","..Other land transport",307,9569,9569,897,10658539,10008391,2257014,7751378,3979227,402212,10507,-,-
"..National Capital Region","..Sea and coastal water transport",53,8196,8192,508,25733219,24272402,3000865,21271536,8532752,529365,25522,-,5316
"..National Capital Region","..Inland water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Passenger air transport",19,9112,9112,128,182414105,185136338,10891280,174245057,52547178,6660675,-567687,58295710,-
"..National Capital Region","..Warehousing and storage",84,3708,3708,1165,8873297,7660849,981282,6679567,3112051,529316,482,-,-
"..National Capital Region","..Support activities for transportation",924,59333,59320,6549,176797135,148228421,22763118,125465303,73520875,4022335,-32085,17204,-
"..National Capital Region","..Postal activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Courier activities",71,20787,20787,2395,36472487,34773446,6534144,28239302,9287798,547550,-7989,-,-
"..Cordillera Administrative Region","Transportation and Storage",12,87,71,5,102395,92372,8106,84266,23381,423,193,-,-
"..Cordillera Administrative Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Transport via buses",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Other land transport",4,34,31,..,12919,10385,2387,7999,6635,-,58,-,-
"..Cordillera Administrative Region","..Sea and coastal water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Warehousing and storage",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Support activities for transportation",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Postal activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Courier activities",5,17,17,..,4928,3450,1092,2358,2886,421,-174,-,-
"..Ilocos Region","Transportation and Storage",52,2308,2002,..,988511,829072,201642,627429,460653,30,-3899,-,-
"..Ilocos Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Transport via buses",10,1297,994,..,325729,274974,91782,183192,191315,30,-,-,-
"..Ilocos Region","..Other land transport",25,724,724,..,479511,393360,75041,318319,203354,-,-1400,-,-
"..Ilocos Region","..Sea and coastal water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Warehousing and storage",10,168,168,..,124826,109835,26891,82944,49575,-,-3317,-,-
"..Ilocos Region","..Support activities for transportation",5,72,70,..,48165,45114,5047,40067,9715,-,-1,-,-
"..Ilocos Region","..Postal activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Courier activities",3,47,47,..,10279,5788,2881,2907,6694,-,818,-,-
"..Cagayan Valley","Transportation and Storage",14,430,396,..,306261,298114,69069,229045,123823,27202,-1235,41352,-
"..Cagayan Valley","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Transport via buses",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Other land transport",3,37,18,..,30202,25344,2813,22531,6874,-,1498,-,-
"..Cagayan Valley","..Sea and coastal water transport",5,257,242,..,183228,183390,42002,141387,74771,24742,-3210,41352,-
"..Cagayan Valley","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Passenger air transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Warehousing and storage",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Support activities for transportation",3,113,113,..,68995,65464,18995,46470,33637,2260,290,-,-
"..Cagayan Valley","..Postal activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Courier activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","Transportation and Storage",212,10424,10353,1587,13399855,11614500,2508644,9105857,5883314,3487026,-173327,-,-
"..Central Luzon","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Transport via buses",16,1937,1937,..,1083312,1045444,189984,855460,371020,898227,-4303,-,-
"..Central Luzon","..Other land transport",107,4007,3994,133,3822565,2882189,805871,2076318,2161578,466306,-44865,-,-
"..Central Luzon","..Sea and coastal water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Warehousing and storage",25,1349,1344,948,5310694,4872639,410262,4462377,1689099,1927376,-134841,-,-
"..Central Luzon","..Support activities for transportation",48,1803,1754,446,1732287,1551958,435473,1116485,738508,76711,11646,-,-
