"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number of Establishments","2021 Total Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total  Expense","2021 Compensation","2021 Other Expense","2021 Gross Margin","2021 Value Added","2021 Gross Additions to Tangible Fixed Assets","2021 Change in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"PHILIPPINES","Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles",121880,1142268,1117677,132669,6195939466,5862870622,253429415,5609441208,1064922459,734202001,62818399,54757297,48087769,1527174
"PHILIPPINES","..Sale of motor vehicles",1489,35303,35245,2939,356200201,342280632,9874158,332406474,33256180,28283700,2128758,6222539,-,-
"PHILIPPINES","..Maintenance and repair of motor vehicles",2265,16440,15746,123,22406698,19982516,1999588,17982928,-,5230529,359563,206728,-,-
"PHILIPPINES","..Sale of motor vehicle parts and accessories",4149,31044,29906,1381,88254857,84951689,5087950,79863739,15279500,11436775,963442,1901944,-,-
"PHILIPPINES","..Sale, maintenance and repair of mo torcycles and related parts and accessories",9550,60826,59685,1363,170830220,157538697,8094402,149444295,30140614,26456494,1118504,4177087,-,-
"PHILIPPINES","..Wholesale on a fee or contract basis",375,8663,8596,298,56323826,54143719,3118633,51025086,-,7100554,385790,-2127926,-,-
"PHILIPPINES","..Wholesale of agricultural raw materials and live animals",1623,17161,16175,359,97054033,92943077,2699469,90243608,14438891,9006107,561823,2162543,-,949
"PHILIPPINES","..Wholesale of food, beverages and tobacco",2779,61787,61180,8815,570740511,531936107,18793107,513143000,109505080,69427908,5940333,13250675,481,1270896
"PHILIPPINES","..Wholesale of household goods",4582,79373,78880,8688,514566230,481194715,26777094,454417621,105459849,68323920,4956818,-426078,720211,62526
"PHILIPPINES","..Wholesale of machinery, equipment and supplies",2246,43826,43700,1937,276113404,260460504,14215803,246244701,50398226,39571458,3519943,2094218,53320,1097
"PHILIPPINES","..Other specialized wholesale",3567,59157,58545,5622,459422541,426364978,15088755,411276223,70464235,65071074,4239059,9906995,-,-
"PHILIPPINES","..Non-specialized wholesale trade",57,801,789,-,2324327,2183287,168072,2015215,455351,346556,1899,23780,40819,-
"PHILIPPINES","..Retail sale in non-specialized stores",13397,206835,201798,67035,1315684700,1270684542,38405734,1232278809,193195678,109297626,8424730,4455924,433549,55824
"PHILIPPINES","..Retail sale of food, beverages and tobacco in specialized stores",9368,49557,46741,2906,85188683,79740501,6056009,73684492,23128621,13894585,492932,790248,295720,12989
"PHILIPPINES","..Retail sale of automotive fuel in specialized stores",8007,65491,65139,6824,419416138,404561749,10429579,394132169,36408812,31695839,3040362,-3913308,-,12841
"PHILIPPINES","..Retail sale of information and communications equipment in specialized stores",6445,34127,33647,1528,159746147,151368364,7634782,143733582,26269984,19345134,1029273,4532447,175595,-
"PHILIPPINES","..Retail sale of other household equipment in specialized stores",15322,156085,152847,10697,603355338,558433020,25226552,533206468,134304806,87905948,4115657,3976597,221181,-
"PHILIPPINES","..Retail sale of cultural and recreation goods in specialized stores",2777,18649,18272,657,31435589,29696243,2509852,27186392,7908200,5226872,316922,-883302,37568,-
