,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Administrative and Support Service Activities Establishments
Industry Description,2015 Number of establishments All employment sizes,2015 Number of establishments TE 20 and over,2015 Number of establishments TE less than 20,2015 Employment All employment sizes,2015 Employment TE 20 and over,2015 Employment TE less than 20,2015 Paid employees All employment sizes,2015 Paid employees TE 20 and over,2015 Paid employees TE less than 20,2015 Income All employment sizes,2015 Income TE 20 and over,2015 Income TE less than 20,2015 Expense All employment sizes,2015 Expense TE 20 and over,2015 Expense TE less than 20,2015 Compensation All employment sizes,2015 Compensation TE 20 and over,2015 Compensation TE less than 20,2015 Other expense All employment sizes,2015 Other expense TE 20 and over,2015 Other expense TE less than 20,2015 Value added All employment sizes,2015 Value added TE 20 and over,2015 Value added TE less than 20,2015 Gross additions to tangible fixed assets All employment sizes,2015 Gross additions to tangible fixed assets TE 20 and over,2015 Gross additions to tangible fixed assets TE less than 20,2015 Change in inventories All employment sizes,2015 Change in inventories TE 20 and over,2015 Change in inventories TE less than 20,2015 Subsidies All employment sizes,2015 Subsidies TE 20 and over,2015 Subsidies TE less than 20,2015 Sales from e-commerce transactions All employment sizes,2015 Sales from e-commerce transactions TE 20 and over,2015 Sales from e-commerce transactions TE less than 20
Administrative and Support Service Activities,6712,1717,4995,952862,914921,37941,951880,914504,37376,458259948,427905668,30354280,409791385,381755865,28035520,256216262,247095236,9121026,153575123,134660629,18914495,329348324,313695952,15652372,13733193,13138876,594317,23057,62882,-39825,130613,130613,0,895024,870503,24521
..Renting and leasing of motor vehicles,24,3,21,318,94,224,318,94,224,322809,60817,261992,239827,44262,195565,51706,12782,38924,188122,31480,156642,181740,35828,145912,19088,1588,17500,-56,-56,0,0,0,0,0,0,0
..Renting and leasing of recreational and sports goods,19,4,17,177,169,79,177,169,79,39086,42420,16906,34769,38333,15990,15985,15023,5622,18784,23310,10368,24356,22814,9145,13000,14878,0,0,82,0,0,0,0,0,0,0
..Renting of video tapes and disks,130,c,129,474,c,430,474,c,430,93847,c,81477,89988,c,77938,38644,c,34753,51344,c,43185,47060,c,40621,1878,c,0,0,c,0,0,c,0,0,c,0
..Renting of wearing apparel,121,c,120,235,c,208,235,c,208,50441,c,42571,48303,c,40799,5812,c,5043,42491,c,35756,12495,c,11331,0,c,0,-2576,c,-2657,0,c,0,0,c,0
..Renting of furniture,5,..,5,22,..,22,20,..,20,6051,..,6051,7494,..,7494,2103,..,2103,5390,..,5390,1859,..,1859,0,..,0,-48,..,-48,0,..,0,0,..,0
..Renting of electrical appliances,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
..Renting of audio-video machines,19,3,16,238,133,106,238,133,106,202690,130550,72139,187887,120158,67730,42180,33873,8307,145707,86285,59422,81453,64406,17047,2440,2440,0,-102,0,-102,0,0,0,0,0,0
"..Renting of personal and household goods, n.e.c.",17,4,13,100,74,26,94,74,20,65327,62926,2401,63890,61555,2335,13152,12787,365,50739,48769,1970,33207,32699,508,0,0,0,0,0,0,0,0,0,0,0,0
