,,,,,,,,,,,,,,"Summary Statistics for Information and Communication Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions To  Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce,2019 Subsidies
PHILIPPINES,Information and Communication,4115,192691,190913,6961,709958171,613728246,155096351,458631895,368794563,94433424,353417,521757,18086
PHILIPPINES,"..Publishing of books, periodicals and other publishing activities",195,10802,10788,379,17564354,15546544,3980814,11565730,7034118,136645,-27522,70440,-
PHILIPPINES,..Software publishing,4,1562,1562,24,9586207,9547171,2042114,7505057,1811527,18818,-,-,-
PHILIPPINES,"..Motion picture, video and television programme activities",194,5760,5019,2415,25387899,23025488,2070664,20954824,6077578,442846,-24214,13414,-
PHILIPPINES,..Sound recording and music publishing activities,21,525,525,32,2111426,1087948,337019,750929,1407923,3412,-4868,-,-
PHILIPPINES,..Radio broadcasting,415,6445,6327,172,6238682,4914626,1531511,3383115,3353198,182637,-4754,-,1605
PHILIPPINES,..Television programming and broadcasting activities,89,10278,10266,32,72332481,68511687,24674579,43837108,40359242,975375,-37010,-,23
PHILIPPINES,..Wired telecommunications activities,40,11313,11310,136,100177011,81500984,14756005,66744978,60516958,25409702,-948803,1852,-
PHILIPPINES,..Wireless telecommunications activities,54,13582,13490,107,233549338,206117900,22440101,183677799,115755548,56203830,1049042,5193,-
PHILIPPINES,..Satellite telecommunications activities,356,9459,9406,532,35728785,29370853,5079452,24291400,16784059,4914202,137230,706,-
PHILIPPINES,..Other telecommunications activities,1691,11748,11064,575,16843780,16058243,2656909,13401334,4267562,189560,-57467,-,-
PHILIPPINES,"..Computer programming, consultancy and related activities",946,88306,88247,1760,155973522,141858992,67770785,74088207,90265760,5142217,273728,427574,8731
PHILIPPINES,"..Data processing, hosting and related activities; web portals",77,21795,21794,662,30726056,13820137,7223019,6597117,19309344,781603,426,2576,7728
PHILIPPINES,..Other information service activities,33,1115,1115,136,3738631,2367673,533377,1834297,1851746,32578,-2370,-,-
..National Capital Region,Information and Communication,1599,145141,144164,3571,623566695,534214742,129905106,404309636,325987055,91442387,257116,224459,7728
..National Capital Region,"..Publishing of books, periodicals and other publishing activities",134,8301,8296,340,15748708,13870090,3126552,10743538,5955552,122958,-21068,70440,-
..National Capital Region,..Software publishing,4,1562,1562,24,9586207,9547171,2042114,7505057,1811527,18818,-,-,-
..National Capital Region,"..Motion picture, video and television programme activities",93,4435,3697,1290,15250487,8158741,1339085,6819656,8320434,47521,-23619,-,-
..National Capital Region,..Sound recording and music publishing activities,20,521,521,32,1953732,1061593,332421,729171,1269588,3412,-4868,-,-
..National Capital Region,..Radio broadcasting,45,1753,1753,-,2598412,2264026,461667,1802359,975753,135898,72,-,-
