,,,,,,,,,,,,,,"Summary Statistics for Financial and Insurance Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2021 Number of Establishments,2021 Total Employment a/,2021 Paid Employees a/,2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions  to Tangible Fixed Assets,2021 Change  in Inventories,2021 Subsidies,2021 Sales from E-Commerce Transactions
PHILIPPINES,Financial and Insurance Activities,42667,356474,355790,28707,1773599516,1211313031,226048950,985264081,954379846,34891012,1772739,5991457,2984094
PHILIPPINES,..Monetary intermediation,10056,155034,155023,11682,767673716,576585650,142683909,433901741,436820364,13923027,475778,131061,1578890
PHILIPPINES,..Activities of holding companies,261,7593,7593,565,322269490,111169272,12406712,98762560,244496341,7747257,122523,-,16664
PHILIPPINES,"..Trusts, funds and other financial vehicles",173,2467,2458,294,25311573,22247388,1663766,20583622,4661325,137107,5031,-,-
PHILIPPINES,"..Other financial service activities, except insurance and pension funding activities",29353,155566,155070,12750,229209018,157615226,42295624,115319602,141903801,9103064,1215091,1023563,292837
PHILIPPINES,..Insurance,2100,20138,19992,1757,292191989,231016358,16059270,214957088,86421758,2522487,6970,1275572,1057182
PHILIPPINES,..Reinsurance,9,48,48,1,182169,182534,10847,171687,12222,28,106,-,-
PHILIPPINES,..Pension funding,5,68,68,-,625438,211686,48193,163492,468662,-,-,-,-
PHILIPPINES,"..Activities auxiliary to financial service,  except insurance and pension funding",199,3837,3833,816,8720210,8132067,3744209,4387858,6082955,304512,215,76,-
PHILIPPINES,..Activities auxiliary to insurance and pension funding,508,11665,11650,842,127300625,104003260,7104057,96899203,33505944,1153531,-52976,3561185,38520
PHILIPPINES,..Fund management activities,3,58,56,-,115288,149592,32364,117228,6475,-,-,-,-
..National Capital Region,Financial and Insurance Activities,8154,143245,143228,13938,1315737860,884994939,144745922,740249017,699965608,19541019,393383,3671383,1658331
..National Capital Region,..Monetary intermediation,3138,81642,81632,4941,544777108,413383228,96262450,317120778,304154816,8288568,353813,110198,779843
..National Capital Region,..Activities of holding companies,206,6788,6788,560,299621895,107896810,11533528,96363282,223103644,7019943,121347,-,16664
..National Capital Region,"..Trusts, funds and other financial vehicles",154,2258,2258,270,25137706,22137651,1613645,20524006,4521171,135924,-,-,-
..National Capital Region,"..Other financial service activities, except insurance and pension funding activities",3940,27835,27832,5458,96395145,61167608,13512997,47654611,65554908,1093238,-30112,-,500
..National Capital Region,..Insurance,436,12164,12164,1285,228763919,181741331,11942516,169798815,66117768,1658146,-1374,-,822803
..National Capital Region,..Reinsurance,c,c,c,c,c,c,c,c,c,c,c,c,c
..National Capital Region,..Pension funding,3,62,62,-,620685,208326,46710,161616,465556,-,-,-,-
..National Capital Region,"..Activities auxiliary to financial service,  except insurance and pension funding",129,3447,3445,803,8253568,7746608,3632168,4114439,5764413,254240,470,-,-
..National Capital Region,..Activities auxiliary to insurance and pension funding,145,8990,8990,620,112052546,90563786,6169543,84394243,30276858,1090960,-50760,3561185,38520
..National Capital Region,..Fund management activities,3,58,56,-,115288,149592,32364,117228,6475,-,-,-,-
..Cordillera Administrative Region,Financial and Insurance Activities,692,4319,4318,320,9820085,7956958,1612225,6344733,2759108,28913,46643,64,-
..Cordillera Administrative Region,..Monetary intermediation,155,995,995,158,2518375,2218374,546588,1671786,1050044,5038,6408,-,-
..Cordillera Administrative Region,..Activities of holding companies,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,"..Other financial service activities, except insurance and pension funding activities",494,3145,3145,160,3911107,3294171,876149,2418022,474974,6038,40211,-,-
..Cordillera Administrative Region,..Insurance,36,147,147,2,3220439,2292475,180514,2111962,1204615,17611,-,-,-
..Cordillera Administrative Region,..Reinsurance,,,,,,,,,,,,,
..Cordillera Administrative Region,..Pension funding,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Activities auxiliary to financial service,  except insurance and pension funding",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Activities auxiliary to insurance and pension funding,4,17,17,-,162322,146138,6152,139985,25131,-,-,-,-
..Cordillera Administrative Region,..Fund management activities,,,,,,,,,,,,,
..Ilocos Region,Financial and Insurance Activities,2329,11499,11360,1122,17520076,12104738,2976157,9128581,10953625,149551,6460,20202,-
..Ilocos Region,..Monetary intermediation,431,3772,3772,480,10362981,6799228,1608378,5190850,7036768,72581,4013,20182,-
..Ilocos Region,..Activities of holding companies,4,17,17,-,43786,44372,10612,33760,1674,3099,-,-,-
..Ilocos Region,"..Trusts, funds and other financial vehicles",s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,"..Other financial service activities, except insurance and pension funding activities",1760,7298,7159,631,4636470,3590526,1222442,2368083,2885559,56875,2288,-,-
..Ilocos Region,..Insurance,118,349,349,-,2203649,1413002,114521,1298480,958780,12150,-,20,-
..Ilocos Region,..Reinsurance,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Pension funding,,,,,,,,,,,,,
..Ilocos Region,"..Activities auxiliary to financial service,  except insurance and pension funding",3,21,21,3,63961,63424,12210,51214,45062,4846,-12,-,-
