,,,,,,,,,,,,,,"Summary Statistics for Human Health and Social Work Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2021 Number of Establishments,2021 Total Employment a/,2021 Paid Employees a/,2021 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2021 Total Revenue,2021 Total Expense,2021 Compensation,2021 Other Expense,2021 Value Added,2021 Gross Additions  to Tangible Fixed Assets,2021 Change  in Inventories,2021 Sales from E-Commerce Transactions,2021 Subsidies
PHILIPPINES,Human Health and Social Work Activities,7262,218620,216408,12963,270136629,230462740,58497843,171964897,130255768,19729701,24099,363,476109
PHILIPPINES,..Hospital activities,1078,157368,156952,10973,194752611,166016827,45455264,120561563,99373832,16727366,-71734,-,335160
PHILIPPINES,..Medical and dental practice activities,5370,48877,47762,1495,57458054,49404540,10660700,38743840,23389775,2173474,134316,363,102296
PHILIPPINES,..Other human health activities,315,3312,3212,24,1644632,1526411,463576,1062835,793692,112485,-34974,-,91
PHILIPPINES,..Residential nursing care facilities,7,101,100,94,34984,34974,11419,23554,19299,7744,246,-,-
PHILIPPINES,"..Residential care activities for mental retardation,  mental health and substance abuse",46,1233,1112,34,1028496,941017,244485,696532,564758,7114,5624,-,105
PHILIPPINES,..Residential care activities for the elderly and disabled,5,77,54,1,29385,22979,8235,14744,17698,-,-,-,300
PHILIPPINES,"..Other residential care activities, n.e.c.",109,1763,1626,34,1329507,1198277,362210,836067,560183,27995,-2189,-,6055
PHILIPPINES,..Social work activities without accommodation  for the elderly and disabled,11,106,100,4,86752,76793,27882,48911,52834,182,518,-,2257
PHILIPPINES,"..Other social work activities without accommodation, n.e.c.",321,5783,5490,305,13772208,11240923,1264073,9976851,5483696,673343,-7709,-,29846
..National Capital Region,Human Health and Social Work Activities,2252,70316,69995,4723,121067985,103611634,26601026,77010608,60357341,9179231,-45174,363,39385
..National Capital Region,..Hospital activities,147,41682,41642,3920,78519185,67981443,19043950,48937493,42144808,7572987,-60249,-,39304
..National Capital Region,..Medical and dental practice activities,1762,21596,21354,680,30973342,25891237,6019801,19871436,13530211,1500019,15472,363,-
..National Capital Region,..Other human health activities,137,2048,2048,-,1025350,984539,284495,700043,449314,92724,-104,-,-
..National Capital Region,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..National Capital Region,"..Residential care activities for mental retardation,  mental health and substance abuse",23,786,786,25,879035,820107,202874,617233,493428,6794,-,-,-
..National Capital Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..National Capital Region,"..Other residential care activities, n.e.c.",36,835,804,8,628059,559830,208747,351084,256366,751,-,-,-
..National Capital Region,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..National Capital Region,"..Other social work activities without accommodation, n.e.c.",147,3370,3362,91,9043014,7374479,841159,6533319,3483214,5955,-292,-,82
..Cordillera Administrative Region,Human Health and Social Work Activities,155,2606,2507,2,2701361,1860819,461185,1399633,1482822,59769,23136,-,62218
..Cordillera Administrative Region,..Hospital activities,15,1774,1772,-,2170223,1426815,339478,1087336,1252489,54709,20663,-,62218
..Cordillera Administrative Region,..Medical and dental practice activities,120,714,624,-,474392,387008,101025,285983,193380,4833,2503,-,-
..Cordillera Administrative Region,..Other human health activities,6,12,12,-,2447,3909,1444,2465,157,-,-,-,-
..Cordillera Administrative Region,..Residential nursing care facilities,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Residential care activities for mental retardation,  mental health and substance abuse",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Social work activities without accommodation  for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,"..Other social work activities without accommodation, n.e.c.",10,75,75,-,39608,29650,14741,14909,25936,-,-,-,-
..Ilocos Region,Human Health and Social Work Activities,332,7713,7566,165,6181482,4927681,1168448,3759233,2881021,22143,20894,-,-
..Ilocos Region,..Hospital activities,71,6327,6280,141,4976537,3835563,1005946,2829618,2547142,12458,33033,-,-
..Ilocos Region,..Medical and dental practice activities,246,1218,1146,16,1082781,994186,134691,859495,267523,7970,1053,-,-
..Ilocos Region,..Other human health activities,12,156,128,4,96074,74456,25834,48623,61654,1715,-13145,-,-
..Ilocos Region,..Residential nursing care facilities,,,,,,,,,,,,,
..Ilocos Region,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Ilocos Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Ilocos Region,"..Other residential care activities, n.e.c.",,,,,,,,,,,,,
..Ilocos Region,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Ilocos Region,"..Other social work activities without accommodation, n.e.c.",3,12,12,5,26090,23475,1977,21498,4702,-,-47,-,-
..Cagayan Valley,Human Health and Social Work Activities,134,4705,4673,209,4851332,3070196,850557,2219639,3009666,113337,7250,-,21109
..Cagayan Valley,..Hospital activities,34,3242,3222,156,4014466,2491889,629726,1862163,2439134,86444,772,-,21049
