region_province_huc,all_income_groups_2018,first_decile_2018,second_decile_2018,third_decile_2018,fourth_decile_2018,fifth_decile_2018,sixth_decile_2018,seventh_decile_2018,eighth_decile_2018,ninth_decile_2018,tenth_decile_2018,all_income_groups_2021,first_decile_2021,second_decile_2021,third_decile_2021,fourth_decile_2021,fifth_decile_2021,sixth_decile_2021,seventh_decile_2021,eighth_decile_2021,ninth_decile_2021,tenth_decile_2021,all_income_groups_2023,first_decile_2023,second_decile_2023,third_decile_2023,fourth_decile_2023,fifth_decile_2023,sixth_decile_2023,seventh_decile_2023,eighth_decile_2023,ninth_decile_2023,tenth_decile_2023
Philippines,0.7,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,1.4,0.87,1.48,1.32,1.32,1.41,1.38,1.5,1.47,1.55,1.6,2.26,0.68,0.5,0.47,0.45,0.49,0.5,0.51,0.55,0.58,0.68,1.58
National Capital Region,1.4,1.2,1.2,1.2,1.2,1.3,1.6,1.6,1.5,1.6,3.9,1.82,3.92,3.64,3.59,3.57,3.54,3.57,3.36,3.52,3.57,6.89,1.57,1.05,1.1,1.13,1.15,1.14,1.22,1.17,1.35,1.79,4.44
NCR I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Manila,2.9,2.8,2.6,3.5,3.1,3.5,3.9,4.6,4.1,4.2,6.5,4.48,10.55,11.16,10.45,10.9,11.11,12.37,10.19,10.45,10.64,15.73,3.27,4.26,3.31,4.4,3.77,3.91,3.95,4.5,4.72,5.75,9.78
NCR II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Mandaluyong,14.6,3.5,3.9,4.1,4.7,4.1,3.9,4.5,6.4,5.6,40.4,9.67,14.41,13.96,13.05,11.8,11.51,12.53,11.21,13.95,26.05,37.47,4.74,2.94,3.49,3.54,4.52,4.13,4.48,5.35,7.29,5.42,8.2
City Of San Juan,9.0,6.5,7.1,6.5,6.1,8.4,5.9,6.7,8.7,6.6,14.8,9.23,18.31,22.99,16.48,22.55,36.02,19.97,22.69,26.09,22.94,22.57,11.32,4.81,5.82,5.5,8.24,6.88,9.32,8.7,5.12,9.29,36.3
Quezon City,3.8,3.7,4.1,3.4,3.9,4.2,4.2,5.4,5.0,5.0,5.7,4.62,11.11,10.69,11.23,11.45,10.95,11.23,12.11,10.6,10.73,17.96,3.35,2.5,3.36,3.03,3.58,3.85,3.29,3.6,3.0,4.34,9.08
City Of Marikina,4.2,4.2,3.2,3.6,3.9,5.7,4.1,4.4,4.4,4.4,8.2,5.95,11.65,11.07,9.91,11.47,9.9,9.25,9.7,12.05,10.74,22.17,3.37,2.99,3.81,4.4,5.46,3.36,4.15,5.98,4.29,4.3,5.92
City Of Pasig,3.8,3.6,4.6,4.9,3.7,6.1,6.7,0.0,0.0,0.0,0.0,5.53,13.12,8.79,10.2,10.47,10.59,10.72,9.36,9.3,15.03,16.53,4.63,3.62,2.75,3.16,3.44,3.18,4.11,4.63,4.78,3.75,8.34
NCR III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Caloocan,2.9,2.8,2.8,4.0,4.2,2.7,3.4,3.6,4.2,4.4,6.1,6.46,12.45,12.44,11.08,10.77,11.04,8.81,10.83,10.08,10.32,11.76,2.04,2.54,2.61,2.98,3.16,3.06,3.49,3.66,3.96,3.75,5.45
City Of Malabon,2.1,2.9,3.0,3.3,4.1,3.9,3.7,3.1,4.5,3.5,6.4,5.4,11.26,11.93,11.27,8.58,10.71,12.67,8.95,10.0,11.14,15.22,2.98,2.56,2.42,3.17,3.24,3.08,3.47,3.2,3.08,4.92,10.48
City Of Navotas,2.6,3.1,3.5,2.6,2.7,3.3,4.1,4.1,3.9,3.3,8.9,4.43,10.36,9.71,10.09,9.25,9.15,9.31,9.63,9.48,9.94,12.64,1.79,2.61,2.35,2.58,3.03,2.77,2.82,3.03,2.89,2.98,4.33
City Of Valenzuela,2.8,3.5,3.8,3.4,3.1,2.8,3.7,3.4,4.1,4.3,6.6,6.36,11.25,14.13,14.17,10.49,9.78,10.76,9.66,9.82,12.12,18.43,2.13,3.03,3.36,3.11,3.08,3.96,2.58,3.48,4.65,4.64,5.08
NCR IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Las Piñas,4.0,2.8,2.8,3.2,4.2,4.5,3.5,4.9,4.4,5.3,6.1,5.52,13.5,9.88,10.72,10.98,9.65,10.48,9.34,10.53,11.53,17.76,3.77,2.88,3.72,2.91,3.61,4.53,3.56,3.42,4.97,5.04,7.01
City Of Muntinlupa,8.2,3.8,3.8,4.6,3.0,3.2,3.7,3.8,4.3,5.2,23.7,4.62,14.13,11.4,10.33,9.85,9.69,9.43,8.61,10.02,12.61,14.1,3.08,3.51,2.62,3.28,3.12,4.38,2.96,3.19,4.71,4.45,7.07
City Of Parañaque,4.5,4.5,4.3,3.6,3.7,13.7,4.5,4.9,4.4,4.9,5.9,6.82,13.26,12.71,12.9,11.43,11.15,10.57,10.42,12.06,14.64,23.33,5.12,3.7,3.4,4.47,4.33,3.59,3.2,3.16,4.29,4.68,13.15
Pasay City,2.4,4.2,3.3,4.0,3.6,3.9,3.4,4.4,4.2,5.3,6.0,5.0,13.4,11.29,9.77,8.37,11.12,11.19,10.8,11.89,10.08,15.01,2.95,4.02,3.24,3.38,3.91,4.36,4.3,4.16,4.31,5.04,8.85
City Of Makati,6.1,4.5,5.7,4.1,4.5,5.1,4.2,4.9,4.8,6.4,13.3,11.11,11.41,10.89,11.0,11.5,12.27,13.49,12.08,14.53,12.73,38.43,11.17,3.22,4.34,4.55,4.98,4.84,5.76,6.32,5.39,8.59,13.17
Pateros,5.0,7.6,5.0,4.9,6.5,6.2,6.2,8.1,7.0,6.3,8.6,8.65,19.53,17.22,12.78,16.88,18.83,18.09,18.45,16.2,17.82,16.73,3.2,4.48,4.31,5.12,4.35,5.61,5.4,5.09,7.79,6.55,7.19
City Of Taguig,2.9,4.4,4.7,4.3,4.1,4.7,5.9,4.7,5.5,5.7,5.7,5.93,12.94,11.54,11.17,11.07,11.16,10.84,11.43,11.51,10.1,16.92,7.34,3.39,3.11,3.6,3.16,3.7,3.46,3.57,3.67,3.82,14.95
CAR - Cordillera Administrative Region,2.6,1.6,1.4,1.5,1.7,1.7,1.9,2.1,2.2,2.5,6.4,3.09,4.59,4.31,4.48,4.42,4.47,4.74,4.87,4.67,5.05,7.72,1.57,1.56,1.29,1.55,1.6,1.78,1.83,1.86,2.03,2.45,3.36
Abra,4.0,3.5,4.5,3.2,3.4,3.5,3.9,4.1,4.7,5.1,5.9,6.92,11.52,9.17,9.98,9.31,11.02,11.02,10.52,11.08,11.37,15.47,3.4,4.98,2.84,3.45,4.1,3.79,3.79,3.55,4.69,4.11,7.59
Benguet (excluding City Of Baguio),6.9,4.7,4.0,4.2,3.6,4.1,4.1,5.7,5.2,5.2,16.6,7.78,10.91,11.34,11.1,11.04,9.65,11.21,11.5,11.24,13.85,19.65,3.72,3.76,2.86,3.72,3.5,3.99,3.84,4.7,4.83,5.99,7.17
City Of Baguio,4.2,3.2,3.3,3.5,3.7,4.0,4.7,4.6,5.7,4.8,12.8,6.08,9.07,9.85,10.57,10.18,11.03,9.73,10.78,10.24,11.28,15.77,2.58,4.08,3.52,3.32,3.7,3.77,3.77,4.26,4.8,5.21,7.32
Ifugao,6.0,2.8,3.0,3.3,4.5,3.8,6.7,4.9,4.6,5.0,14.0,7.01,12.92,9.91,9.4,9.37,10.46,9.13,10.08,11.64,14.11,17.06,5.78,2.95,2.98,3.11,3.55,4.15,4.93,4.17,5.52,5.97,9.34
Kalinga,5.8,3.0,3.1,3.2,3.7,3.7,3.8,5.5,4.5,4.2,9.3,6.88,13.76,12.41,8.95,10.7,10.2,9.07,11.5,10.8,10.19,16.66,3.47,2.24,2.72,3.11,3.49,3.68,3.48,4.27,4.45,6.12,4.91
Mountain Province,5.6,3.7,3.6,3.4,3.8,4.7,5.9,5.4,5.3,4.9,7.4,7.96,11.35,9.77,7.81,10.46,10.39,8.59,10.41,12.31,11.1,22.37,4.23,2.7,3.07,2.63,3.85,4.56,5.65,5.58,5.62,5.69,8.64
