region_province_huc,all_income_groups_2018,first_decile_2018,second_decile_2018,third_decile_2018,fourth_decile_2018,fifth_decile_2018,sixth_decile_2018,seventh_decile_2018,eighth_decile_2018,ninth_decile_2018,tenth_decile_2018,all_income_groups_2021,first_decile_2021,second_decile_2021,third_decile_2021,fourth_decile_2021,fifth_decile_2021,sixth_decile_2021,seventh_decile_2021,eighth_decile_2021,ninth_decile_2021,tenth_decile_2021,all_income_groups_2023,first_decile_2023,second_decile_2023,third_decile_2023,fourth_decile_2023,fifth_decile_2023,sixth_decile_2023,seventh_decile_2023,eighth_decile_2023,ninth_decile_2023,tenth_decile_2023
Philippines,0.58,0.53,0.5,0.53,0.55,0.58,0.64,0.66,0.64,0.76,1.31,0.84,1.49,1.34,1.35,1.48,1.41,1.54,1.52,1.58,1.64,2.34,0.56,0.55,0.52,0.49,0.55,0.56,0.56,0.6,0.65,0.78,1.3
National Capital Region,1.26,1.19,1.11,1.24,1.29,1.28,1.43,1.68,1.67,2.14,3.08,1.77,3.85,3.63,3.6,3.67,3.55,3.55,3.4,3.51,3.64,7.07,1.32,1.03,1.12,1.13,1.18,1.17,1.29,1.32,1.39,1.92,4.09
NCR I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Manila,2.46,2.71,2.7,3.59,3.11,3.65,4.12,4.7,3.9,4.76,5.69,4.36,10.49,11.15,10.39,10.94,10.9,12.13,10.21,10.58,10.32,15.31,2.67,4.45,3.45,4.47,3.65,3.94,4.11,5.12,4.96,5.92,8.13
NCR II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Mandaluyong,5.75,3.4,3.81,4.02,4.5,3.87,3.77,4.43,6.45,6.34,8.31,9.62,14.1,13.83,12.83,11.7,11.52,12.8,11.06,14.08,28.85,38.82,4.24,2.68,3.12,3.47,4.72,4.01,4.16,5.08,7.62,7.76,7.82
City Of San Juan,7.14,5.27,6.17,6.25,5.18,8.14,6.38,8.51,7.58,8.09,11.74,8.89,17.88,23.25,16.69,22.87,36.21,19.97,23.23,25.13,22.38,22.87,8.01,4.37,6.57,5.55,8.49,7.33,8.44,10.79,7.3,12.15,25.49
Quezon City,3.95,3.53,3.79,3.6,4.3,4.24,4.16,5.63,6.27,7.1,7.54,4.38,11.02,10.66,10.89,11.56,10.53,11.15,12.03,10.62,10.72,17.56,3.68,2.47,3.24,2.92,3.47,3.94,3.5,4.08,3.73,4.21,10.9
City Of Marikina,3.97,3.55,2.75,3.27,3.92,4.33,4.5,4.23,4.77,6.26,7.18,5.6,11.4,10.81,9.85,11.87,10.12,9.23,9.53,12.41,11.64,22.52,3.5,2.61,3.72,4.59,5.43,3.65,4.19,6.54,5.0,4.54,6.65
City Of Pasig,3.34,3.3,3.52,3.75,3.36,3.95,4.48,4.46,4.32,6.79,6.77,5.37,12.75,8.78,10.41,10.3,10.62,10.38,9.07,9.52,15.48,16.52,4.03,3.45,2.64,2.93,3.49,3.46,3.72,4.13,4.18,4.6,10.17
NCR III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Caloocan,2.52,2.91,2.81,3.07,4.22,2.97,3.25,3.67,4.33,4.53,5.65,6.58,12.15,12.23,11.08,10.95,10.57,8.79,10.46,9.93,10.38,12.37,1.79,2.47,2.72,3.08,2.61,2.78,3.13,3.23,3.8,3.59,4.21
City Of Malabon,2.07,3.19,2.93,3.59,3.43,4.45,3.55,3.31,5.53,4.17,5.02,5.06,10.99,10.93,10.58,8.62,10.7,12.04,8.37,9.98,11.13,15.1,2.56,2.39,2.7,3.27,3.05,3.17,3.63,3.36,3.48,5.31,7.77
City Of Navotas,2.19,3.36,3.95,3.07,3.09,3.08,3.34,4.11,3.65,3.52,5.27,4.49,10.21,9.46,9.71,9.07,9.19,9.41,9.8,9.72,9.81,12.53,1.74,2.39,2.34,2.32,2.8,2.58,2.59,2.94,3.29,3.02,4.56
City Of Valenzuela,2.55,3.69,3.29,3.41,3.09,3.08,3.59,4.0,4.54,5.01,7.8,6.06,11.34,13.67,13.68,10.22,9.83,10.53,9.66,9.87,12.14,18.91,1.73,2.97,3.36,2.85,2.59,3.16,3.12,3.21,4.18,5.57,4.24
NCR IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Of Las Piñas,3.89,2.38,3.27,3.69,3.79,4.61,4.52,5.11,5.24,6.43,5.88,5.53,13.35,10.0,10.7,10.85,9.5,10.55,9.27,10.84,12.05,17.31,3.5,2.38,2.83,2.85,3.19,3.92,4.58,3.86,4.55,5.8,6.04
City Of Muntinlupa,8.29,4.01,4.75,3.99,3.21,3.78,4.6,4.14,4.97,6.32,26.47,4.66,14.28,10.97,10.23,9.98,9.89,9.31,8.3,10.17,12.34,15.12,2.57,3.39,2.83,3.21,3.2,4.38,2.97,3.29,5.06,4.54,5.58
City Of Parañaque,4.58,4.01,3.03,3.97,4.45,6.63,5.27,5.57,4.95,5.46,6.76,6.94,13.4,12.57,13.5,11.58,10.56,10.91,10.7,12.34,15.05,24.42,3.95,2.99,3.46,3.63,4.57,3.79,3.42,3.76,4.82,6.51,5.81
Pasay City,2.29,3.94,3.36,4.07,3.43,3.55,3.68,4.1,6.01,4.77,6.0,5.04,13.12,11.3,9.51,8.28,11.48,11.43,10.85,11.97,10.17,14.34,2.37,3.37,2.98,3.35,3.94,3.76,4.17,3.68,5.2,5.11,7.45
City Of Makati,5.99,4.79,6.22,4.46,3.86,4.72,5.18,4.7,4.82,5.65,16.58,10.95,11.44,11.41,11.11,11.31,12.05,13.26,12.43,14.83,12.76,40.2,9.08,3.21,4.09,3.48,4.84,5.96,5.32,5.18,5.52,8.44,12.72
