region_province_huc,gini_coefficient_2018,palma_ratio_2018,gini_coefficient_2021,palma_ratio_2021,gini_coefficient_2023,palma_ratio_2023
Philippines,0.42,1.39,0.41,1.26,0.39,1.15
National Capital Region,0.35,0.96,0.33,0.82,0.34,0.89
NCR I,0.0,0.0,0.0,0.0,0.0,0.0
City Of Manila,0.33,0.78,0.31,0.61,0.33,0.71
NCR II,0.0,0.0,0.0,0.0,0.0,0.0
City Of Mandaluyong,0.47,1.85,0.31,0.67,0.36,0.92
City Of San Juan,0.42,1.47,0.33,0.84,0.42,1.29
Quezon City,0.35,0.96,0.35,0.88,0.31,0.74
City Of Marikina,0.36,1.01,0.35,0.88,0.34,0.88
City Of Pasig,0.33,0.85,0.33,0.82,0.37,1.07
NCR III,0.0,0.0,0.0,0.0,0.0,0.0
City Of Caloocan,0.32,0.76,0.29,0.62,0.26,0.52
City Of Malabon,0.29,0.59,0.29,0.64,0.28,0.57
City Of Navotas,0.32,0.82,0.26,0.53,0.23,0.46
City Of Valenzuela,0.29,0.65,0.31,0.61,0.28,0.56
NCR IV,0.0,0.0,0.0,0.0,0.0,0.0
City Of Las Piñas,0.34,0.81,0.32,0.77,0.33,0.72
City Of Muntinlupa,0.37,1.09,0.3,0.69,0.28,0.62
City Of Parañaque,0.34,0.88,0.37,1.12,0.34,0.91
Pasay City,0.31,0.61,0.32,0.69,0.29,0.58
City Of Makati,0.4,1.18,0.41,1.21,0.45,1.68
Pateros,0.32,0.73,0.29,0.54,0.31,0.71
City Of Taguig,0.31,0.71,0.31,0.69,0.35,1.01
CAR - Cordillera Administrative Region,0.45,1.55,0.42,1.28,0.35,0.84
Abra,0.4,1.27,0.4,1.24,0.35,0.87
Benguet (excluding City Of Baguio),0.44,1.45,0.4,1.17,0.33,0.69
City Of Baguio,0.41,1.22,0.38,1.09,0.3,0.6
Ifugao,0.42,1.26,0.41,1.11,0.38,1.01
Kalinga,0.45,1.66,0.44,1.57,0.35,0.91
Mountain Province,0.45,1.41,0.42,1.16,0.37,0.9
Apayao,0.43,1.55,0.38,1.18,0.42,1.45
Region I - Ilocos Region,0.38,1.03,0.4,1.18,0.37,1.02
Ilocos Norte,0.38,1.03,0.35,0.91,0.29,0.63
Ilocos Sur,0.4,1.19,0.42,1.32,0.36,1.0
La Union,0.4,1.21,0.42,1.22,0.41,1.21
Pangasinan,0.36,0.92,0.4,1.22,0.36,0.95
Region II - Cagayan Valley,0.42,1.37,0.42,1.42,0.36,0.97
Batanes,0.41,1.26,0.42,1.15,0.4,1.09
Cagayan,0.42,1.37,0.41,1.25,0.38,1.13
