region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Philippines,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.46,52.72,56.11,2.26,3.39
Entrepreneurial Activities,19.54,17.05,16.81,-2.49,-0.24
Cash Receipts From Abroad,9.57,7.16,7.83,-2.41,0.67
Cash Receipts From Domestic Sources,4.9,5.28,4.22,0.38,-1.06
Rentals Received,0.59,0.67,0.63,0.08,-0.04
Interest,0.06,0.07,0.07,0.01,0.0
Pension,2.9,3.05,2.49,0.15,-0.56
Dividends,0.37,0.2,0.35,-0.17,0.15
"Other Source Of Income, Nec",0.05,0.13,0.09,0.08,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.38,0.48,0.38,0.1,-0.1
Net Receipt From Family Sustenance Activities,0.85,1.06,0.67,0.21,-0.39
Received As Gifts,2.05,2.43,1.71,0.38,-0.72
Imputed Rent,8.28,9.7,8.63,1.42,-1.06
National Capital Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,61.2,62.81,66.46,1.61,3.65
Entrepreneurial Activities,11.88,11.37,11.2,-0.51,-0.17
Cash Receipts From Abroad,6.61,4.63,4.61,-1.98,-0.02
Cash Receipts From Domestic Sources,3.02,3.59,2.08,0.57,-1.52
Rentals Received,0.96,0.92,0.87,-0.04,-0.06
Interest,0.04,0.05,0.05,0.01,0.0
Pension,2.89,2.85,2.45,-0.04,-0.41
Dividends,1.19,0.22,0.88,-0.97,0.66
"Other Source Of Income, Nec",0.07,0.12,0.04,0.05,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.02,0.02,0.02,0.0,0.0
Net Receipt From Family Sustenance Activities,0.01,0.17,0.01,0.16,-0.16
Received As Gifts,1.2,1.3,0.97,0.1,-0.33
Imputed Rent,10.91,11.93,10.37,1.02,-1.56
NCR I,0.0,0.0,0.0,0.0,0.0
City Of Manila,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,59.76,59.24,64.29,-0.52,5.05
Entrepreneurial Activities,14.81,15.52,16.22,0.71,0.7
Cash Receipts From Abroad,6.28,4.68,4.05,-1.6,-0.62
Cash Receipts From Domestic Sources,3.4,4.77,2.87,1.37,-1.9
Rentals Received,0.73,0.62,0.54,-0.11,-0.08
Interest,0.01,0.04,0.01,0.03,-0.02
Pension,3.1,2.29,1.55,-0.81,-0.74
Dividends,0.31,0.34,0.35,0.03,0.01
"Other Source Of Income, Nec",0.0,0.07,0.06,0.07,-0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.0,0.0,-0.03,0.0
Net Receipt From Family Sustenance Activities,0.0,0.01,0.0,0.01,0.0
Received As Gifts,1.39,1.71,1.54,0.32,-0.16
Imputed Rent,10.17,10.73,8.5,0.56,-2.22
NCR II,0.0,0.0,0.0,0.0,0.0
City Of Mandaluyong,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,59.4,69.53,63.54,10.13,-5.99
Entrepreneurial Activities,8.18,6.94,12.43,-1.24,5.49
Cash Receipts From Abroad,4.01,5.14,5.5,1.13,0.37
Cash Receipts From Domestic Sources,1.65,3.85,1.85,2.2,-2.0
Rentals Received,0.53,0.56,0.58,0.03,0.02
Interest,0.0,0.01,0.09,0.01,0.08
Pension,1.98,1.73,3.29,-0.25,1.57
Dividends,14.1,0.27,0.1,-13.83,-0.17
"Other Source Of Income, Nec",0.02,0.03,0.08,0.01,0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.05,0.0,0.01,-0.05,0.01
Net Receipt From Family Sustenance Activities,0.0,0.0,0.01,0.0,0.01
Received As Gifts,0.95,0.77,1.46,-0.18,0.69
Imputed Rent,9.12,11.16,11.04,2.04,-0.12
City Of San Juan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,56.29,64.05,55.9,7.76,-8.15
Entrepreneurial Activities,13.33,10.97,13.71,-2.36,2.75
Cash Receipts From Abroad,3.78,3.1,4.56,-0.68,1.47
Cash Receipts From Domestic Sources,3.83,3.69,1.86,-0.14,-1.83
Rentals Received,0.88,1.3,0.7,0.42,-0.6
Interest,0.04,0.09,0.05,0.05,-0.04
Pension,3.47,4.02,3.45,0.55,-0.57
Dividends,3.99,0.16,6.2,-3.83,6.04
