region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Philippines,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.55,42.62,40.93,0.07,-1.7
Food Consumed At Home,33.6,38.53,35.34,4.93,-3.19
Food Regularly Consumed Outside The Home,8.95,4.09,5.57,-4.86,1.49
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.82,1.74,1.42,-0.09,-0.32
Clothing And Footwear,2.55,1.52,1.93,-1.02,0.41
"Housing, Water, Electricity, Gas And Other Fuels",20.31,24.13,22.94,3.82,-1.19
Furnishings And Routine Household Maintenance,2.28,1.9,2.58,-0.38,0.68
Health,2.75,3.27,2.96,0.52,-0.32
Transport,6.62,5.58,6.78,-1.03,1.19
Information And Communication,2.19,3.49,3.38,1.3,-0.11
"Recreation, Sport And Culture",0.74,0.41,0.84,-0.33,0.43
Education,2.63,1.51,3.3,-1.12,1.79
Hotels (accommodation Services),0.16,0.05,0.09,-0.11,0.04
Insurance And Financial Services,0.0,3.07,2.73,3.07,-0.34
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.58,4.39,3.7,-2.19,-0.69
Durable Furniture And Equipment,3.5,2.51,2.06,-1.0,-0.44
Special Family Occasion,2.83,2.0,2.31,-0.83,0.31
Other Expenditures,2.49,1.8,2.06,-0.68,0.26
National Capital Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.12,40.07,37.74,1.95,-2.33
Food Consumed At Home,26.15,32.65,27.79,6.5,-4.86
Food Regularly Consumed Outside The Home,11.96,7.41,9.94,-4.55,2.53
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.54,1.34,1.16,-0.2,-0.19
Clothing And Footwear,2.13,1.02,1.62,-1.11,0.59
"Housing, Water, Electricity, Gas And Other Fuels",25.52,30.85,28.82,5.33,-2.03
Furnishings And Routine Household Maintenance,2.23,1.85,2.61,-0.37,0.75
Health,2.14,2.45,2.83,0.32,0.38
Transport,6.63,4.84,6.28,-1.8,1.45
Information And Communication,2.77,4.12,3.84,1.35,-0.28
"Recreation, Sport And Culture",0.66,0.35,0.82,-0.32,0.47
Education,2.79,1.33,2.41,-1.46,1.08
Hotels (accommodation Services),0.03,0.02,0.03,0.0,0.01
Insurance And Financial Services,0.0,3.12,3.14,3.12,0.01
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.8,3.56,3.33,-3.24,-0.22
Durable Furniture And Equipment,2.85,1.87,1.37,-0.98,-0.5
Special Family Occasion,1.87,1.01,1.23,-0.87,0.22
Other Expenditures,3.92,2.18,2.78,-1.74,0.6
NCR I,0.0,0.0,0.0,0.0,0.0
City Of Manila,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.49,47.72,44.14,5.23,-3.58
Food Consumed At Home,27.12,35.29,30.22,8.17,-5.07
Food Regularly Consumed Outside The Home,15.37,12.43,13.91,-2.94,1.48
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.58,1.64,1.39,0.05,-0.25
Clothing And Footwear,2.13,1.04,1.45,-1.09,0.41
"Housing, Water, Electricity, Gas And Other Fuels",24.27,26.59,26.21,2.33,-0.38
Furnishings And Routine Household Maintenance,1.68,1.43,1.9,-0.25,0.48
Health,2.03,2.29,2.31,0.27,0.02
Transport,5.04,3.56,5.08,-1.48,1.52
Information And Communication,2.49,3.5,3.41,1.01,-0.09
"Recreation, Sport And Culture",0.55,0.24,0.61,-0.31,0.36
Education,2.73,1.22,2.29,-1.51,1.07
Hotels (accommodation Services),0.02,0.0,0.03,-0.02,0.03
Insurance And Financial Services,0.0,2.75,2.91,2.75,0.16
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.3,3.14,3.17,-3.16,0.03
Durable Furniture And Equipment,2.37,1.3,0.83,-1.07,-0.48
Special Family Occasion,1.55,0.99,0.98,-0.56,-0.01
Other Expenditures,4.78,2.59,3.29,-2.19,0.7
NCR II,0.0,0.0,0.0,0.0,0.0
City Of Mandaluyong,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,35.33,41.09,36.18,5.76,-4.91
Food Consumed At Home,22.25,28.61,25.3,6.36,-3.31
Food Regularly Consumed Outside The Home,13.08,12.47,10.86,-0.61,-1.61
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,1.07,1.45,1.01,0.38,-0.44
Clothing And Footwear,2.23,1.32,1.84,-0.91,0.51
"Housing, Water, Electricity, Gas And Other Fuels",25.86,28.68,30.49,2.82,1.81
Furnishings And Routine Household Maintenance,2.07,1.37,2.35,-0.7,0.98
Health,1.75,2.02,2.99,0.28,0.97
Transport,5.58,4.23,5.2,-1.35,0.97
Information And Communication,2.85,4.01,3.56,1.17,-0.45
"Recreation, Sport And Culture",0.72,0.22,0.72,-0.5,0.5
Education,2.93,1.13,2.93,-1.79,1.8
Hotels (accommodation Services),0.03,0.05,0.04,0.02,-0.01
Insurance And Financial Services,0.0,3.18,3.18,3.18,0.0
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.23,3.07,3.13,-3.16,0.06
Durable Furniture And Equipment,2.1,2.2,1.26,0.09,-0.94
Special Family Occasion,1.02,0.93,1.34,-0.09,0.41
Other Expenditures,10.23,5.05,3.79,-5.19,-1.25
City Of San Juan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,34.17,39.86,31.41,5.68,-8.44
Food Consumed At Home,22.04,29.87,22.46,7.82,-7.4
Food Regularly Consumed Outside The Home,12.13,9.99,8.95,-2.14,-1.04
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.1,1.3,0.58,0.2,-0.72
Clothing And Footwear,2.19,1.14,1.96,-1.04,0.81
"Housing, Water, Electricity, Gas And Other Fuels",28.22,26.38,30.99,-1.84,4.61
Furnishings And Routine Household Maintenance,2.58,2.09,3.11,-0.49,1.02
Health,3.29,2.29,2.27,-1.0,-0.03
Transport,5.99,4.17,6.49,-1.82,2.32
Information And Communication,3.13,3.67,3.2,0.54,-0.48
"Recreation, Sport And Culture",0.78,0.57,0.86,-0.2,0.29
Education,3.53,1.93,2.72,-1.6,0.79
Hotels (accommodation Services),0.03,0.01,0.09,-0.02,0.08
Insurance And Financial Services,0.0,3.51,3.33,3.51,-0.18
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.41,3.95,3.04,-1.45,-0.91
Durable Furniture And Equipment,1.3,2.44,1.35,1.14,-1.09
Special Family Occasion,1.24,1.41,1.59,0.18,0.18
Other Expenditures,7.05,5.26,7.02,-1.79,1.76
Quezon City,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,36.65,38.88,39.81,2.23,0.93
Food Consumed At Home,25.0,32.41,26.33,7.42,-6.09
Food Regularly Consumed Outside The Home,11.65,6.47,13.49,-5.18,7.01
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.58,1.32,1.57,-0.26,0.25
Clothing And Footwear,2.0,1.02,1.48,-0.98,0.46
"Housing, Water, Electricity, Gas And Other Fuels",24.33,30.31,25.79,5.98,-4.53
Furnishings And Routine Household Maintenance,2.54,2.38,2.89,-0.15,0.51
Health,2.31,3.09,3.51,0.78,0.42
Transport,8.04,5.85,7.15,-2.19,1.3
Information And Communication,2.76,4.22,3.77,1.47,-0.45
"Recreation, Sport And Culture",0.83,0.61,0.76,-0.22,0.15
Education,3.38,1.1,2.26,-2.28,1.15
Hotels (accommodation Services),0.04,0.01,0.05,-0.03,0.04
