,"Table 2. Average Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
1,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In thousands),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PHILIPPINES,238.75,109.35,130.3,147.06,168.84,188.32,215.88,246.71,284.38,351.36,544.99,228.8,103.89,129.87,146.89,166.64,184.15,207.93,235.88,271.78,329.12,511.75,258.05,127.86,154.68,172.49,195.6,216.19,239.51,266.23,303.9,358.34,545.66,-4.17,-4.99,-0.33,-0.12,-1.3,-2.22,-3.68,-4.39,-4.43,-6.33,-6.1,12.79,23.08,19.11,17.43,17.38,17.4,15.19,12.87,11.82,8.88,6.63
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NATIONAL CAPITAL REGION,368.68,211.79,244.51,274.8,294.48,314.81,336.48,377.25,410.79,488.51,733.32,321.59,196.56,225.67,248.5,266.9,287.21,296.45,323.55,359.14,390.38,621.21,385.05,246.21,283.63,297.26,315.47,335.72,359.66,387.4,412.75,454.03,758.27,-12.77,-7.19,-7.71,-9.57,-9.36,-8.77,-11.9,-14.24,-12.57,-20.09,-15.29,19.73,25.26,25.68,19.62,18.2,16.89,21.33,19.73,14.93,16.3,22.06
8,NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,City of Manila,363.35,210.63,257.06,298.31,332.43,318.04,351.25,381.29,396.28,467.69,620.27,362.27,262.41,278.44,297.22,326.82,339.39,341.63,382.46,398.47,433.46,561.79,390.2,247.81,311.55,333.88,350.98,354.26,367.82,410.02,457.97,440.18,626,-0.3,24.59,8.32,-0.37,-1.69,6.71,-2.74,0.31,0.55,-7.32,-9.43,7.71,-5.56,11.89,12.33,7.39,4.38,7.66,7.21,14.93,1.55,11.43
