,"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
1,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PHILIPPINES,7757012.68,280591.27,357379.72,416561.68,488345.43,556838.29,649802.48,763488.81,918043.59,1178010.77,2147950.63,8109045.26,306262.87,401607.22,464150.01,535044.82,601018.25,691035.99,799717.89,954449.33,1206648.57,2149110.3,9706612.91,393685.99,501868.93,572743.13,662747.85,747600.12,848372.55,966503.95,1143798.18,1408474.25,2460817.96,4.54,9.15,12.38,11.42,9.56,7.93,6.35,4.75,3.97,2.43,0.05,19.7,28.55,24.97,23.4,23.87,24.39,22.77,20.86,19.84,16.73,14.5
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NATIONAL CAPITAL REGION,1527769.65,70127.21,87785.99,101204.78,111696.33,124357.3,136331.78,156437.84,173262.16,211020.73,355545.54,1467628.46,77163.78,91809.85,103516.9,113145.22,125436.46,134488.1,148349.74,169983.54,187836.03,315898.85,1865801.3,94452.9,117464.79,127934.6,141971.78,154774.39,170358.4,188200.04,208683.05,234340.51,427620.84,-3.94,10.03,4.58,2.28,1.3,0.87,-1.35,-5.17,-1.89,-10.99,-11.15,27.13,22.41,27.94,23.59,25.48,23.39,26.67,26.86,22.77,24.76,35.37
7,NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,City of Manila,197174.25,9229,12068.34,14075.71,16395.65,16359.63,18953.61,21199.05,22872.7,25676.51,40344.05,204369.69,12756.53,14367.17,15252.71,17313.18,18312.17,18747.08,21382.04,23313.65,26681.02,36244.13,246232.67,12026.79,16715.58,18672.51,20079.84,20757.54,22831.85,25612.84,30157.34,31476.92,47901.45,3.65,38.22,19.05,8.36,5.6,11.94,-1.09,0.86,1.93,3.91,-10.16,20.48,-5.72,16.35,22.42,15.98,13.35,21.79,19.79,29.35,17.97,32.16
9,NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
