,"Table 4. Total Annual Family Expenditure, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
0,Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,,Percent Change (2018 to 2021),,,,,,,,,,,Percent Change (2021 to 2023),,,,,,,,,,
1,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In millions),,,,,,,,,,,(In percent),,,,,,,,,,,(In percent),,,,,,,,,,
2,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PHILIPPINES,5908431.96,270140.91,322371.74,364296.86,417817.62,465871.28,534181.62,610866.07,704030.82,869636.33,1349218.71,6039624.91,274226.29,342820.34,387681.46,439945.64,486109.67,548872.89,622685.4,717329.9,868694.7,1351258.62,7091080.55,351316.48,425112.47,473974.45,537512.99,594012.36,658241.17,731552.58,835115.83,984734.32,1499507.91,2.22,1.51,6.34,6.42,5.3,4.34,2.75,1.93,1.89,-0.11,0.15,17.41,28.11,24,22.26,22.18,22.2,19.93,17.48,16.42,13.36,10.97
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NATIONAL CAPITAL REGION,1223445.12,70313.29,81036.29,91286.24,97686.2,104484.46,111667,125210.09,136301.32,162070.04,243390.17,1129532.79,69033.67,79248.28,87289.86,93655.1,100982.14,104113.48,113469.68,126300.53,137000.29,218439.77,1399046.4,89421.78,103092.2,107945.38,114644.35,121942.71,130752.99,140742.58,149988.43,164920.51,275595.47,-7.68,-1.82,-2.21,-4.38,-4.13,-3.35,-6.76,-9.38,-7.34,-15.47,-10.25,23.86,29.53,30.09,23.66,22.41,20.76,25.59,24.04,18.76,20.38,26.17
7,NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,City of Manila,169310.81,9787.64,12030.65,13923.27,15436.4,14771.39,16374.55,17842.25,18474.87,21715,28954.79,178971.64,12904.43,13804.33,14680.34,16165.7,16751.51,16892.77,18790.67,19684.6,21503.99,27793.3,199009.44,12569.31,15864.43,17140.61,17833.82,18039.98,18805.58,20910.15,23147.79,22633.52,32064.27,5.71,31.84,14.74,5.44,4.72,13.41,3.16,5.32,6.55,-0.97,-4.01,11.2,-2.6,14.92,16.76,10.32,7.69,11.32,11.28,17.59,5.25,15.37
9,NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
