,"Table 4a. Coefficient of Variation of the Total Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
0,Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
1,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PHILIPPINES,0.84,1.45,1.35,1.41,1.47,1.48,1.56,1.6,1.61,1.86,2.52,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,1.2,0.79,1.54,1.32,1.29,1.37,1.41,1.45,1.43,1.54,1.84,2.6
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NATIONAL CAPITAL REGION,1.8,4.36,3.77,3.92,3.66,3.59,4.01,4.17,3.85,4.45,6.18,1.3,1,1.1,1.4,1.2,1.3,1.5,1.2,1.6,1.7,4.4,1.76,3.8,3.67,3.44,3.35,3.13,3.45,3.46,3.41,4.14,7.63
6,NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,City of Manila,4.44,14.08,9.28,10.95,10.52,9.22,9.82,9.93,10.48,11.65,12.37,2.5,3.2,4.4,3.5,3.5,4,4.3,3.5,3.9,4.5,8.3,4.11,13.67,11.04,11.88,10.36,9.92,11.2,10.33,11.66,12.65,16.04
8,NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,City of Mandaluyong,9.14,13.8,12.35,12.41,11.64,11.81,12.26,12.54,14.43,19.39,29.19,4.4,4,3.7,3.5,4.1,4,5.7,5.1,6.1,5.9,7.5,7.67,11.57,11.04,10.72,10.34,9.16,10.78,13.13,27.89,28.32,19.39
10,City of San Juan,6.18,20.7,16.7,17.24,17.56,20.78,14.89,20.38,16.03,20.33,24.39,4.9,7.7,6.5,6.2,7,7.2,6.9,10.9,9.4,9.5,11,13.57,20.18,19.35,16.51,16.92,21.6,18.07,43.12,20.25,40.03,32.9
11,Quezon City,5.12,11.66,10.67,12.31,11.03,10.97,11.64,13.03,12.83,14.64,17.62,3.5,2.6,2.9,4.6,3.3,3.3,5.4,4.3,5,4.9,9.3,4.37,10.74,11.41,9.3,10.79,9.63,10.37,10.48,10.6,11.06,19.19
12,City of Marikina,5.41,11.45,11.37,10.9,11.48,12.06,11.39,13.9,12.57,14.91,18.46,4.2,2.7,3.4,3,4.3,3.4,3.8,4.7,4.8,5.4,7.5,5.12,11.09,10.57,9.81,11.25,9.54,10.68,12.94,11.25,12.62,16.26
13,City of Pasig,5.51,13.79,10.85,12.18,11.97,13.73,10.77,11.26,12.7,13.36,17.26,3.1,2.7,2.8,3.5,3.1,4.3,4.2,3.3,4.8,5.6,6.2,5.31,13.26,11.75,10.27,10.4,10.63,11.2,10.49,10.81,12.8,19.64
14,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,City of Caloocan,6.31,13.13,12.64,11.73,12.56,11.82,12.98,10.47,11.43,12.57,13.88,2.5,3.3,2.7,2.8,3.3,3.9,2.8,3.6,2.9,4.2,6.5,4.33,9.74,11.1,8.55,9.61,9.59,9.15,9.38,9.72,10.77,12.7
16,City of Malabon,4.59,11.65,9.78,11.48,11.31,9.57,9.91,11.67,11.29,10.61,10.69,2.7,2.9,2.7,2.9,3.4,3.4,3.5,3.2,3.5,4.5,6.3,4.64,10.53,10.45,9.68,8.52,9.53,10.39,10.56,12.01,11.09,15.8
17,City of Navotas,6.47,17.47,16.89,12.4,9.32,11.43,13.17,9.77,10.64,10.37,11.38,2.1,2.6,3.1,2.8,3,2.8,3,3.5,3.7,4,5.1,3.82,11.45,8.71,9.67,9.54,8.08,8.55,9.42,9.97,10.39,12.02
18,City of Valenzuela,5.29,13.12,11.91,9.15,11.96,11.13,11.59,10.88,9.5,9.32,20.32,2.9,3.1,2.9,3,3.3,3.6,3.9,3.8,3.7,4.9,8.7,4.46,11,10.26,9.82,9.38,9.38,9.23,10.16,9.51,11.29,11.97
19,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
