,"Table 5. Gini Coefficient and Palma Ratio, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Region/Province/HUC,2018,,2021,,2023p,
1,,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio,Gini Coefficient,Palma Ratio
2,,,,,,,
3,PHILIPPINES,0.419118327,1.392171315,0.4063,1.26,0.3909,1.15
4,,,,,,,
5,NATIONAL CAPITAL REGION,0.354147582,0.958823658,0.3349,0.82,0.343,0.89
6,NCR I,,,,,,
7,City of Manila,0.326868628,0.77931355,0.3105,0.61,0.3295,0.71
8,NCR II,,,,,,
9,City of Mandaluyong,0.472819851,1.854912914,0.3088,0.67,0.3618,0.92
10,City of San Juan,0.417496561,1.4745823,0.3331,0.84,0.422,1.29
11,Quezon City,0.354171026,0.962413171,0.3458,0.88,0.3117,0.74
12,City of Marikina,0.36054317,1.007586504,0.3477,0.88,0.339,0.88
13,City of Pasig,0.331329835,0.847126478,0.3311,0.82,0.3675,1.07
14,NCR III,,,,,,
15,City of Caloocan,0.31730314,0.760341982,0.291,0.62,0.2623,0.52
16,City of Malabon,0.2923347,0.59258468,0.2886,0.64,0.2805,0.57
17,City of Navotas,0.317926458,0.819259246,0.256,0.53,0.232,0.46
18,City of Valenzuela,0.292265414,0.649868532,0.3088,0.61,0.281,0.56
19,NCR IV,,,,,,
20,City of Las Piñas,0.340091525,0.809087346,0.3193,0.77,0.3268,0.72
21,City of Muntinlupa,0.371436011,1.088120949,0.3036,0.69,0.2782,0.62
22,City of Parañaque,0.34105681,0.876043811,0.3675,1.12,0.3417,0.91
23,Pasay City,0.310827865,0.612177837,0.3177,0.69,0.286,0.58
24,City of Makati,0.399664585,1.183384823,0.4125,1.21,0.454,1.68
25,Pateros,0.322959946,0.730138707,0.2867,0.54,0.3102,0.71
26,City of Taguig,0.308111028,0.707289229,0.3085,0.69,0.3524,1.01
27,,,,,,,
28,CAR - CORDILLERA ADMINISTRATIVE REGION,0.446729176,1.552538208,0.4166,1.28,0.3531,0.84
29,Abra,0.400418144,1.269309584,0.4049,1.24,0.3459,0.87
30,Benguet (Excluding City of Baguio),0.439748585,1.446686834,0.4047,1.17,0.3265,0.69
31,City of Baguio,0.405489813,1.224183063,0.3843,1.09,0.3047,0.6
32,Ifugao,0.422958712,1.255253126,0.4065,1.11,0.3821,1.01
33,Kalinga,0.445328268,1.65585036,0.4412,1.57,0.3512,0.91
34,Mountain Province,0.450413951,1.410624015,0.4184,1.16,0.3689,0.9
35,Apayao,0.428202157,1.549778809,0.384,1.18,0.4227,1.45
36,,,,,,,
37,REGION I - ILOCOS REGION,0.377117347,1.031164864,0.4023,1.18,0.3689,1.02
38,Ilocos Norte,0.379156518,1.033226015,0.3541,0.91,0.294,0.63
39,Ilocos Sur,0.395738905,1.19024888,0.4195,1.32,0.3609,1
40,La Union,0.40225332,1.214533239,0.4163,1.22,0.4056,1.21
41,Pangasinan,0.358041575,0.919003201,0.3981,1.22,0.3581,0.95
42,,,,,,,
43,REGION II - CAGAYAN VALLEY,0.415165398,1.374784539,0.4229,1.42,0.3569,0.97
44,Batanes,0.414436211,1.258485937,0.4156,1.15,0.3952,1.09
45,Cagayan,0.41608092,1.369768659,0.4102,1.25,0.3809,1.13
46,Isabela,0.401449948,1.284760351,0.4429,1.65,0.3304,0.83
47,Nueva Vizcaya,0.422298332,1.456986812,0.385,1.15,0.3605,0.97
48,Quirino,0.438746208,1.660867827,0.4039,1.28,0.3878,1.21
49,,,,,,,
50,REGION III - CENTRAL LUZON,0.360876784,0.981397665,0.3507,0.92,0.307,0.68
51,Aurora,0.438162351,1.561818689,0.4247,1.43,0.4024,1.28
52,Bataan,0.386399544,1.212094611,0.4122,1.33,0.3649,1.03
53,Bulacan,0.351474286,0.907174362,0.3517,0.94,0.2958,0.63
54,Nueva Ecija,0.412619516,1.346211943,0.3491,0.94,0.2937,0.64
55,Pampanga (Excluding City of Angeles),0.290069494,0.639464945,0.2815,0.64,0.2618,0.56
56,City of Angeles,0.307903811,0.679501892,0.3092,0.76,0.2532,0.46
57,Tarlac,0.361332694,0.925332287,0.3518,0.91,0.3273,0.74
