,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Region/Province/HUC by Sources of Income,2018,2021.0,2023p,2021-2018,2023-2021
1,,(In percent),,,Percentage Point Change,
2,,,,,,
3,PHILIPPINES,,,,,
4,Share to Family Income,100,100.0,100,,
5,Wage/Salaries,50.46,52.72,56.11,2.259999999999998,3.39
6,Entrepreneurial Activities,19.54,17.05,16.81,-2.4899999999999984,-0.24
7,Cash Receipts from Abroad,9.57,7.16,7.83,-2.41,0.67
8,Cash Receipts from Domestic Sources,4.9,5.28,4.22,0.3799999999999999,-1.06
9,Rentals Received,0.59,0.67,0.63,0.08000000000000007,-0.04
10,Interest,0.06,0.07,0.07,0.010000000000000009,0
11,Pension,2.9,3.05,2.49,0.1499999999999999,-0.56
12,Dividends,0.37,0.2,0.35,-0.16999999999999998,0.15
13,"Other Source of Income, NEC",0.05,0.13,0.09,0.08,-0.04
14,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.38,0.48,0.38,0.09999999999999998,-0.1
15,Net Receipt from Family Sustenance Activities,0.85,1.06,0.67,0.21000000000000008,-0.39
16,Received as Gifts,2.05,2.43,1.71,0.38000000000000034,-0.72
17,Imputed Rent,8.28,9.7,8.63,1.42,-1.06
18,,,,,,
19,NATIONAL CAPITAL REGION,,,,,
20,Share to Family Income,100,100.0,100,,
21,Wage/Salaries,61.2,62.81,66.46,1.6099999999999994,3.65
22,Entrepreneurial Activities,11.88,11.37,11.2,-0.5100000000000016,-0.17
23,Cash Receipts from Abroad,6.61,4.63,4.61,-1.9800000000000004,-0.02
24,Cash Receipts from Domestic Sources,3.02,3.59,2.08,0.5699999999999998,-1.52
25,Rentals Received,0.96,0.92,0.87,-0.039999999999999925,-0.06
26,Interest,0.04,0.05,0.05,0.010000000000000002,0
27,Pension,2.89,2.85,2.45,-0.040000000000000036,-0.41
28,Dividends,1.19,0.22,0.88,-0.97,0.66
29,"Other Source of Income, NEC",0.07,0.12,0.04,0.04999999999999999,-0.08
30,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.02,0.02,0.02,0,0
31,Net Receipt from Family Sustenance Activities,0.01,0.17,0.01,0.16,-0.16
32,Received as Gifts,1.2,1.3,0.97,0.10000000000000009,-0.33
33,Imputed Rent,10.91,11.93,10.37,1.0199999999999996,-1.56
34,,,,,,
35,NCR I,,,,,
36,City of Manila,,,,,
37,Share to Family Income,100,100.0,100,,
38,Wage/Salaries,59.76,59.24,64.29,-0.519999999999996,5.05
39,Entrepreneurial Activities,14.81,15.52,16.22,0.7099999999999991,0.7
40,Cash Receipts from Abroad,6.28,4.68,4.05,-1.6000000000000005,-0.62
41,Cash Receipts from Domestic Sources,3.4,4.77,2.87,1.3699999999999997,-1.9
42,Rentals Received,0.73,0.62,0.54,-0.10999999999999999,-0.08
43,Interest,0.01,0.04,0.01,0.03,-0.02
44,Pension,3.1,2.29,1.55,-0.81,-0.74
45,Dividends,0.31,0.34,0.35,0.030000000000000027,0.01
46,"Other Source of Income, NEC",0,0.07,0.06,0.07,-0.01
47,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.0,0,-0.03,0
48,Net Receipt from Family Sustenance Activities,0,0.01,0,0.01,0
49,Received as Gifts,1.39,1.71,1.54,0.32000000000000006,-0.16
50,Imputed Rent,10.17,10.73,8.5,0.5600000000000005,-2.22
51,,,,,,
52,NCR II,,,,,
53,City of Mandaluyong,,,,,
54,Share to Family Income,100,100.0,100,,
55,Wage/Salaries,59.4,69.53,63.54,10.130000000000003,-5.99
56,Entrepreneurial Activities,8.18,6.94,12.43,-1.2399999999999993,5.49
57,Cash Receipts from Abroad,4.01,5.14,5.5,1.13,0.37
58,Cash Receipts from Domestic Sources,1.65,3.85,1.85,2.2,-2
59,Rentals Received,0.53,0.56,0.58,0.030000000000000027,0.02
60,Interest,0,0.01,0.09,0.01,0.08
61,Pension,1.98,1.73,3.29,-0.25,1.57
62,Dividends,14.1,0.27,0.1,-13.83,-0.17
63,"Other Source of Income, NEC",0.02,0.03,0.08,0.009999999999999998,0.04
64,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.05,0.0,0.01,-0.05,0.01
65,Net Receipt from Family Sustenance Activities,0,0.0,0.01,0,0.01
66,Received as Gifts,0.95,0.77,1.46,-0.17999999999999994,0.69
67,Imputed Rent,9.12,11.16,11.04,2.040000000000001,-0.12
68,,,,,,
69,City of San Juan,,,,,
70,Share to Family Income,100,100.0,100,,
71,Wage/Salaries,56.29,64.05,55.9,7.759999999999998,-8.15
72,Entrepreneurial Activities,13.33,10.97,13.71,-2.3599999999999994,2.75
73,Cash Receipts from Abroad,3.78,3.1,4.56,-0.6799999999999997,1.47
74,Cash Receipts from Domestic Sources,3.83,3.69,1.86,-0.14000000000000012,-1.83
75,Rentals Received,0.88,1.3,0.7,0.42000000000000004,-0.6
76,Interest,0.04,0.09,0.05,0.049999999999999996,-0.04
77,Pension,3.47,4.02,3.45,0.5499999999999994,-0.57
78,Dividends,3.99,0.16,6.2,-3.83,6.04
79,"Other Source of Income, NEC",0,0.03,0.04,0.03,0.01
80,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.01,0.01,0.01,0,0
81,Net Receipt from Family Sustenance Activities,0,0.01,0.05,0.01,0.05
82,Received as Gifts,1.66,1.83,0.98,0.17000000000000015,-0.86
83,Imputed Rent,12.72,10.74,12.48,-1.9800000000000004,1.74
84,,,,,,
85,Quezon City,,,,,
86,Share to Family Income,100,100.0,100,,
87,Wage/Salaries,60.27,61.48,69.54,1.2099999999999937,8.07
88,Entrepreneurial Activities,13.81,11.79,9.1,-2.0200000000000014,-2.69
89,Cash Receipts from Abroad,6.95,4.9,3.22,-2.05,-1.67
90,Cash Receipts from Domestic Sources,2.85,3.25,1.63,0.3999999999999999,-1.62
91,Rentals Received,0.81,0.81,1.2,0,0.39
92,Interest,0.02,0.05,0.05,0.030000000000000002,0
93,Pension,2.94,4.58,2.73,1.6400000000000001,-1.85
94,Dividends,0,0.17,0.69,0.17,0.52
95,"Other Source of Income, NEC",0.03,0.06,0.01,0.03,-0.06
96,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.03,0.0,0.01,-0.03,0.01
97,Net Receipt from Family Sustenance Activities,0.01,0.01,0.01,0,0
98,Received as Gifts,1.03,0.9,0.86,-0.13,-0.03
99,Imputed Rent,11.24,12.01,10.95,0.7699999999999996,-1.06
100,,,,,,
101,City of Marikina,,,,,
102,Share to Family Income,100,100.0,100,,
103,Wage/Salaries,64.33,62.52,64.3,-1.8099999999999952,1.77
104,Entrepreneurial Activities,10.09,7.96,9.31,-2.13,1.35
105,Cash Receipts from Abroad,6.23,5.95,5.37,-0.28000000000000025,-0.58
106,Cash Receipts from Domestic Sources,2.8,3.0,2.22,0.20000000000000018,-0.78
107,Rentals Received,0.63,0.52,0.79,-0.10999999999999999,0.27
108,Interest,0.03,0.03,0.06,0,0.02
109,Pension,3.25,5.19,4.04,1.9400000000000004,-1.16
110,Dividends,0.13,0.0,0.25,-0.13,0.24
111,"Other Source of Income, NEC",0.01,0.02,0.01,0.01,0
112,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.01,0.13,0,0.12000000000000001,-0.12
113,Net Receipt from Family Sustenance Activities,0.01,0.0,0,-0.01,0
114,Received as Gifts,1.06,0.87,1.25,-0.19000000000000006,0.38
115,Imputed Rent,11.43,13.8,12.4,2.370000000000001,-1.41
116,,,,,,
117,City of Pasig,,,,,
118,Share to Family Income,100,100.0,100,,
119,Wage/Salaries,62.18,63.99,69.24,1.8100000000000023,5.25
120,Entrepreneurial Activities,14.31,10.31,10.64,-4,0.33
121,Cash Receipts from Abroad,5.38,4.92,3.53,-0.45999999999999996,-1.4
122,Cash Receipts from Domestic Sources,1.99,2.95,1.62,0.9600000000000002,-1.32
