,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
0,Region/Province/HUC by Expenditure Group*,2018,2021.0,2023p,2021-2018,2023-2021
1,,(In percent),,,Percentage Point Change,
2,,,,,,
3,Philippines,,,,,
4,Share to Family Expenditure,100,100.0,100,,
5,Food and Non-Alcoholic Beverages,42.55,42.62,40.93,0.07,-1.7
6,    Food Consumed at Home,33.6,38.53,35.34,4.93,-3.19
7,    Food Regularly Consumed Outside the Home,8.95,4.09,5.57,-4.86,1.49
8,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",,0.01,0.01,0.01,0
9,Alcoholic Beverages and Tobacco,1.82,1.74,1.42,-0.09,-0.32
10,Clothing and Footwear,2.55,1.52,1.93,-1.02,0.41
11,"Housing, Water, Electricity, Gas and Other Fuels",20.31,24.13,22.94,3.82,-1.19
12,Furnishings and Routine Household Maintenance,2.28,1.9,2.58,-0.38,0.68
13,Health,2.75,3.27,2.96,0.52,-0.32
14,Transport,6.62,5.58,6.78,-1.03,1.19
15,Information and Communication,2.19,3.49,3.38,1.3,-0.11
16,"Recreation, Sport and Culture",0.74,0.41,0.84,-0.33,0.43
17,Education,2.63,1.51,3.3,-1.12,1.79
18,Hotels (Accommodation Services),0.16,0.05,0.09,-0.11,0.04
19,Insurance and Financial Services,0,3.07,2.73,3.07,-0.34
20,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.58,4.39,3.7,-2.19,-0.69
21,Durable Furniture and Equipment,3.5,2.51,2.06,-1,-0.44
22,Special Family Occasion,2.83,2.0,2.31,-0.83,0.31
23,Other Expenditures,2.49,1.8,2.06,-0.68,0.26
24,,,,,,
25,NATIONAL CAPITAL REGION,,,,,
26,Share to Family Expenditure,100,100.0,100,,
27,Food and Non-Alcoholic Beverages,38.12,40.07,37.74,1.95,-2.33
28,    Food Consumed at Home,26.15,32.65,27.79,6.5,-4.86
29,    Food Regularly Consumed Outside the Home,11.96,7.41,9.94,-4.55,2.53
30,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
31,Alcoholic Beverages and Tobacco,1.54,1.34,1.16,-0.2,-0.19
32,Clothing and Footwear,2.13,1.02,1.62,-1.11,0.59
33,"Housing, Water, Electricity, Gas and Other Fuels",25.52,30.85,28.82,5.33,-2.03
34,Furnishings and Routine Household Maintenance,2.23,1.85,2.61,-0.37,0.75
35,Health,2.14,2.45,2.83,0.32,0.38
36,Transport,6.63,4.84,6.28,-1.8,1.45
37,Information and Communication,2.77,4.12,3.84,1.35,-0.28
38,"Recreation, Sport and Culture",0.66,0.35,0.82,-0.32,0.47
39,Education,2.79,1.33,2.41,-1.46,1.08
40,Hotels (Accommodation Services),0.03,0.02,0.03,0,0.01
41,Insurance and Financial Services,0,3.12,3.14,3.12,0.01
42,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.8,3.56,3.33,-3.24,-0.22
43,Durable Furniture and Equipment,2.85,1.87,1.37,-0.98,-0.5
44,Special Family Occasion,1.87,1.01,1.23,-0.87,0.22
45,Other Expenditures,3.92,2.18,2.78,-1.74,0.6
46,,,,,,
47,NCR I,,,,,
48,City of Manila,,,,,
49,Share to Family Expenditure,100,100.0,100,,
50,Food and Non-Alcoholic Beverages,42.49,47.72,44.14,5.23,-3.58
51,    Food Consumed at Home,27.12,35.29,30.22,8.17,-5.07
52,    Food Regularly Consumed Outside the Home,15.37,12.43,13.91,-2.94,1.48
53,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
54,Alcoholic Beverages and Tobacco,1.58,1.64,1.39,0.05,-0.25
55,Clothing and Footwear,2.13,1.04,1.45,-1.09,0.41
56,"Housing, Water, Electricity, Gas and Other Fuels",24.27,26.59,26.21,2.33,-0.38
57,Furnishings and Routine Household Maintenance,1.68,1.43,1.9,-0.25,0.48
58,Health,2.03,2.29,2.31,0.27,0.02
59,Transport,5.04,3.56,5.08,-1.48,1.52
60,Information and Communication,2.49,3.5,3.41,1.01,-0.09
61,"Recreation, Sport and Culture",0.55,0.24,0.61,-0.31,0.36
62,Education,2.73,1.22,2.29,-1.51,1.07
63,Hotels (Accommodation Services),0.02,0.0,0.03,-0.02,0.03
64,Insurance and Financial Services,0,2.75,2.91,2.75,0.16
65,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.3,3.14,3.17,-3.16,0.03
66,Durable Furniture and Equipment,2.37,1.3,0.83,-1.07,-0.48
67,Special Family Occasion,1.55,0.99,0.98,-0.56,-0.01
68,Other Expenditures,4.78,2.59,3.29,-2.19,0.7
69,,,,,,
70,NCR II,,,,,
71,City of Mandaluyong,,,,,
72,Share to Family Expenditure,100,100.0,100,,
73,Food and Non-Alcoholic Beverages,35.33,41.09,36.18,5.76,-4.91
74,    Food Consumed at Home,22.25,28.61,25.3,6.36,-3.31
75,    Food Regularly Consumed Outside the Home,13.08,12.47,10.86,-0.61,-1.61
76,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
77,Alcoholic Beverages and Tobacco,1.07,1.45,1.01,0.38,-0.44
78,Clothing and Footwear,2.23,1.32,1.84,-0.91,0.51
79,"Housing, Water, Electricity, Gas and Other Fuels",25.86,28.68,30.49,2.82,1.81
80,Furnishings and Routine Household Maintenance,2.07,1.37,2.35,-0.7,0.98
81,Health,1.75,2.02,2.99,0.28,0.97
82,Transport,5.58,4.23,5.2,-1.35,0.97
83,Information and Communication,2.85,4.01,3.56,1.17,-0.45
84,"Recreation, Sport and Culture",0.72,0.22,0.72,-0.5,0.5
85,Education,2.93,1.13,2.93,-1.79,1.8
86,Hotels (Accommodation Services),0.03,0.05,0.04,0.02,-0.01
87,Insurance and Financial Services,0,3.18,3.18,3.18,0
88,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.23,3.07,3.13,-3.16,0.06
89,Durable Furniture and Equipment,2.1,2.2,1.26,0.09,-0.94
