industry_description,number_of_establishments_all_employment_sizes_2015,number_of_establishments_total_employment_of_20_and_over_2015,number_of_establishments_total_employment_of_less_than_20_2015,employment_all_employment_sizes_2015,employment_total_employment_of_20_and_over_2015,employment_total_employment_of_less_than_20_2015,paid_employees_all_employment_sizes_2015,paid_employees_total_employment_of_20_and_over_2015,paid_employees_total_employment_of_less_than_20_2015,income_all_employment_sizes_2015,income_total_employment_of_20_and_over_2015,income_total_employment_of_less_than_20_2015,expense_all_employment_sizes_2015,expense_total_employment_of_20_and_over_2015,expense_total_employment_of_less_than_20_2015,compensation_all_employment_sizes_2015,compensation_total_employment_of_20_and_over_2015,compensation_total_employment_of_less_than_20_2015,other_expense_all_employment_sizes_2015,other_expense_total_employment_of_20_and_over_2015,other_expense_total_employment_of_less_than_20_2015,value_added_all_employment_sizes_2015,value_added_total_employment_of_20_and_over_2015,value_added_total_employment_of_less_than_20_2015,gross_additions_to_tangible_fixed_assets_all_employment_sizes_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_20_and_over_2015,gross_additions_to_tangible_fixed_assets_total_employment_of_less_than_20_2015,change_in_inventories_all_employment_sizes_2015,change_in_inventories_total_employment_of_20_and_over_2015,change_in_inventories_total_employment_of_less_than_20_2015,subsidies_all_employment_sizes_2015,subsidies_total_employment_of_20_and_over_2015,subsidies_total_employment_of_less_than_20_2015,sales_from_e-commerce_transactions_all_employment_sizes_2015,sales_from_e-commerce_transactions_total_employment_of_20_and_over_2015,sales_from_e-commerce_transactions_total_employment_of_less_than_20_2015
Transportation and Storage,2680,1158,1522,180547,161674,18873,178881,160660,18221,591876657,569857085,22019572,511246913,494381320,16865593,56339696,52693744,3645952,454907217,441687576,13219641,207313908,196767957,10545951,33978829,32850730,1128099,-434405,-483200,48795,9545738,9545693,45,31495464,31495464,0
Inter-urban passenger railway transport,3,3,0,3031,3031,0,3031,3031,0,4060176,4060176,0,11301215,11301215,0,1181496,1181496,0,10119718,10119718,0,-3346316,-3346316,0,714615,714615,0,-2996,-2996,0,9545693,9545693,0,0,0,0
Urban and suburban railway transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter-urban bus line operation,64,64,14,18747,19479,201,18680,19431,182,13992263,14322243,54695,11808406,12147162,43666,3087028,3147747,18809,8721378,8999415,24857,6703870,6819804,37241,601373,605471,0,204912,206827,-379,0,0,0,0,0,0
Urban and suburban bus line operation,14,0,0,933,0,0,933,0,0,384675,0,0,382422,0,0,79528,0,0,302894,0,0,153175,0,0,4098,0,0,1537,0,-69,0,0,0,0,0,0
Local bus line operation,132,68,64,10884,9809,1075,10772,9787,985,7013335,6625267,388068,5498061,5140732,357329,1737195,1638298,98897,3760866,3502434,258432,3874406,3727170,147235,878991,624721,254270,-33396,-33062,-333,45,0,45,0,0,0
Chartered buses operation (e.g. tourist buses),54,17,37,1701,1283,418,1700,1282,418,1669712,1232107,437605,1575537,1163785,411753,306473,229954,76519,1269064,933830,335234,648779,494149,154631,115077,115077,0,-3517,-3517,0,0,0,0,0,0,0
Operation of school buses/shuttle,19,11,8,1124,1012,112,1117,1005,112,1022724,900533,122190,926645,860631,66015,189465,164348,25116,737180,696282,40898,358102,292657,65445,22279,22279,0,-1814,-1814,0,0,0,0,0,0,0
"Transport via buses, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public utility cars and taxicabs operation,65,24,41,1657,1092,564,1473,1070,403,838164,623517,214647,785341,595446,189894,166903,121267,45636,618438,474179,144259,402327,286872,115455,158841,92841,66000,1955,1955,0,0,0,0,0,0,0
Chartered cars operation (rent-a-car),102,48,54,3778,3144,634,3691,3057,634,3365185,2676560,688625,2860476,2328690,531787,653448,541301,112147,2207029,1787389,419640,1657338,1320237,337101,142582,135300,7282,-21551,-21551,0,0,0,0,0,0,0
"Other land transport operation, n.e.c.",7,0,0,74,0,0,72,0,0,32905,0,0,17934,0,0,5944,0,0,11990,0,0,24874,0,0,2855,0,0,0,0,0,0,0,0,0,0,0
Truck-for-hire operation (with driver),19,6,13,342,237,105,327,237,90,792527,386770,405757,723006,332237,390769,106766,83538,23228,616240,248699,367541,254048,179973,74075,146561,11567,134994,350,350,0,0,0,0,0,0,0
Freight truck operation,519,214,305,19104,13675,5430,18896,13639,5258,15614081,12114778,3499303,13617564,10295210,3322354,2633851,1744284,889567,10983713,8550926,2432788,5676447,4453463,1222984,939484,606521,332963,33115,14585,18531,0,0,0,0,0,0
Tank truck delivery services,21,12,9,1304,1203,101,1304,1203,101,2484902,2403509,81393,2166751,2099569,67181,413165,400556,12609,1753585,1699013,54573,1079441,1048025,31416,291456,291456,0,-44202,-44272,70,0,0,0,0,0,0
"Freight transport operation, by road, n.e.c.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport via pipeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean passenger transport,5,0,0,263,0,0,261,0,0,288309,0,0,281896,0,0,26651,0,0,255245,0,0,67638,0,0,230,0,0,-19,0,0,0,0,0,0,0,0
Interisland water passenger transport,66,37,29,10199,9740,458,9822,9369,454,35915160,35126023,789138,22062626,21600417,462208,2255294,2217618,37676,19807331,19382799,424532,20302237,19873210,429028,3505488,3288640,216848,-395846,-415435,19589,0,0,0,0,0,0
Renting of ship with operator,3,0,3,14,0,14,14,0,14,54195,0,54195,46539,0,46539,1962,0,1962,44577,0,44577,17817,0,17817,0,0,0,-94,0,-94,0,0,0,0,0,0
Ocean freight transport,22,11,11,1630,1504,126,1604,1488,116,2487923,2002247,485677,2274977,1853595,421382,284618,248155,36463,1990359,1605440,384919,868782,673804,194977,58467,9681,48786,-35925,-35191,-735,0,0,0,0,0,0
Interisland water freight transport,55,45,10,5573,5482,91,5465,5374,91,18627237,17999933,627303,16734305,16240040,494265,1794155,1753522,40633,14940151,14486518,453632,6533135,6336946,196188,2410910,2410768,142,-21514,-20332,-1182,0,0,0,0,0,0
Towing and pushing services on coastal and trans-oceanic waters,16,12,4,1354,1338,16,1354,1338,16,2752118,2481585,270533,2412688,2158733,253955,374969,367260,7709,2037719,1791473,246246,1003236,886191,117044,132698,132698,0,40559,40559,0,0,0,0,0,0,0
Inland passenger water transport,13,4,9,264,167,98,261,167,94,170857,153897,16960,153974,142060,11914,14224,11590,2633,139750,130469,9281,37034,28680,8355,13444,13439,5,-39,-2,-37,0,0,0,0,0,0
Inland freight water transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic air passenger transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
International air passenger transport,8,0,0,9393,0,0,9393,0,0,181603095,0,0,169281263,0,0,9809982,0,0,159471281,0,0,40859733,0,0,11038642,0,0,-49464,0,0,0,0,0,28170428,0,0
Non-scheduled air passenger transport,13,7,6,426,383,43,425,383,42,2170521,1994830,175691,1813295,1696613,116682,219746,186424,33322,1593549,1510189,83360,969699,822057,147642,1058641,1058641,0,-45253,-45346,93,0,0,0,0,0,0
Non-scheduled air freight transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
