industry_description,number_of_establishments_all_employment_sizes_2016,number_of_establishments_total_employment_of_20_and_over_2016,number_of_establishments_total_employment_of_less_than_20_2016,total_employment_all_employment_sizes_2016,total_employment_total_employment_of_20_and_over_2016,total_employment_total_employment_of_less_than_20_2016,paid_employees_all_employment_sizes_2016,paid_employees_total_employment_of_20_and_over_2016,paid_employees_total_employment_of_less_than_20_2016,total_income_all_employment_sizes_2016,total_income_total_employment_of_20_and_over_2016,total_income_total_employment_of_less_than_20_2016,total_expense_all_employment_sizes_2016,total_expense_total_employment_of_20_and_over_2016,total_expense_total_employment_of_less_than_20_2016,compensation_all_employment_sizes_2016,compensation_total_employment_of_20_and_over_2016,compensation_total_employment_of_less_than_20_2016,other_expense_all_employment_sizes_2016,other_expense_total_employment_of_20_and_over_2016,other_expense_total_employment_of_less_than_20_2016,value_added_all_employment_sizes_2016,value_added_total_employment_of_20_and_over_2016,value_added_total_employment_of_less_than_20_2016,gross_additions_to_fixed_assets_all_employment_sizes_2016,gross_additions_to_fixed_assets_total_employment_of_20_and_over_2016,gross_additions_to_fixed_assets_total_employment_of_less_than_20_2016,change_in_inventories_all_employment_sizes_2016,change_in_inventories_total_employment_of_20_and_over_2016,change_in_inventories_total_employment_of_less_than_20_2016,subsidies_all_employment_sizes_2016,subsidies_total_employment_of_20_and_over_2016,subsidies_total_employment_of_less_than_20_2016,e-commerce_sales_all_employment_sizes_2016,e-commerce_sales_total_employment_of_20_and_over_2016,e-commerce_sales_total_employment_of_less_than_20_2016
Accommodation and Food Service Activities,30889,5978,24911,495973,284813,211161,485422,283280,202142,551083110,379510687,171572423,477677477,326390079,151287397,74160733,51219648,22941086,403516743,275170432,128346312,182254594,130581081,51673513,15208193,6457332,8750861,2839640,1913845,925795,0,0,0,5623319,5579295,44023
Hotels and motels,2767,827,1940,69828,54203,15626,69026,53856,15170,90171024,84950277,5220747,75548973,71154001,4394972,14828561,13625977,1202585,60720411,57528024,3192387,43208455,40451035,2757420,2713864,2713864,0,429194,427444,1749,0,0,0,4001881,3957858,44023
Resort hotels,1112,419,693,32683,26819,5864,31884,26554,5330,29583591,26383252,3200339,23630178,21013873,2616305,4703098,4094050,609048,18927080,16919823,2007257,14514194,13119415,1394779,1674002,1654009,19992,163661,162854,807,0,0,0,1502180,1502180,0
Condotels,56,11,45,995,550,446,995,550,446,1348929,759566,589363,1231938,685222,546716,150027,75015,75012,1081912,610207,471704,451569,228745,222824,669469,117741,551727,3389,3370,19,0,0,0,0,0,0
Pension houses,399,12,387,3104,260,2844,2881,260,2621,1202641,94157,1108485,1053056,85458,967598,253521,20519,233003,799534,64939,734595,589150,39067,550084,15417,304,15113,8615,129,8486,0,0,0,0,0,0
Camping sites/facilities,7,0,5,198,0,43,198,0,43,146421,0,54318,122653,0,50380,35148,0,11687,87505,0,38694,71463,0,23061,267,0,267,0,0,0,0,0,0,0,0,0
"Other short term accommodation activities, n.e.c",124,9,115,985,358,627,856,358,498,706546,294855,411691,655681,239187,416493,131321,64796,66526,524359,174392,349968,324584,149730,174853,14733,14733,0,2120,2124,-4,0,0,0,0,0,0
Dormitories/boarding houses,499,5,494,3030,165,2865,3030,165,2865,1871232,70645,1800588,1549573,66946,1482626,324605,16901,307704,1224967,50045,1174922,1002677,30680,971997,1808727,2789,1805937,4238,0,4238,0,0,0,0,0,0
"Other accommodation, n.e.c.",29,0,29,144,0,144,142,0,142,72063,0,72063,61256,0,61256,18540,0,18540,42716,0,42716,37106,0,37106,0,0,0,140,0,140,0,0,0,0,0,0
Restaurants,7218,1823,5395,130965,65715,65250,129521,65465,64056,129761811,83982522,45779288,112459595,71583757,40875838,19488448,12463938,7024510,92971147,59119820,33851328,41240955,27352688,13888267,882778,-134116,1016894,546069,365307,180763,0,0,0,0,0,0
