geolocation,industry_description,number_of_establishments_2019,total_employment_at_2019,paid_employees_at_2019,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2019,total_revenue_2019,total_expense_2019,compensation_2019,other_expense_2019,value_added_2019,gross_additions_to_tangible_fixed_assets_2019,change_in_inventories_2019,sales_from_e-commerce_transactions_2019,subsidies_2019
Philippines,Human Health and Social Work Activities,7494,233949,230490,11670,265065075,219528245,55591943,163936302,124985554,28451541,420069,0,529338
Philippines,Hospital activities,1282,163829,162883,10400,187986359,155082010,40660082,114421928,92367280,25368594,53548,0,472586
Philippines,Medical and dental practice activities,5313,56139,54725,1054,55447859,47210421,12013250,35197171,23953531,2546913,350299,0,1233
Philippines,Other human health activities,297,4066,3717,30,3305829,2838221,736044,2102177,1410843,197063,8800,0,148
Philippines,Residential nursing care facilities,6,50,49,11,28744,29570,5575,23995,12506,117,0,0,0
Philippines,"Residential care activities for mental retardation, mental health and substance abuse",82,946,932,44,661040,555514,125530,429984,282532,25613,6182,0,1300
Philippines,Residential care activities for the elderly and disabled,3,36,32,0,25761,25217,6770,18447,9316,583,0,0,1024
Philippines,"Other residential care activities, n.e.c.",124,2320,2156,18,2040266,1841669,554650,1287019,995820,192205,912,0,1639
Philippines,Social work activities without accommodation for the elderly and disabled,13,123,114,0,120633,101730,35165,66565,57197,0,990,0,500
Philippines,"Other social work activities without accommodation, n.e.c.",373,6439,5882,112,15448585,11843894,1454877,10389017,5896527,120452,-662,0,50907
National Capital Region,Human Health and Social Work Activities,2679,68341,67495,3007,115188037,94165560,22434310,71731250,52790633,12583761,359750,0,898
National Capital Region,Hospital activities,200,40494,40301,2272,74859228,60530925,15323141,45207784,37101803,10443707,365447,0,898
National Capital Region,Medical and dental practice activities,2084,20559,20321,665,27082188,23223312,5382619,17840693,11316705,1760990,4579,0,0
National Capital Region,Other human health activities,121,2246,2199,8,2393278,2086746,505087,1581659,942976,160653,-9124,0,0
National Capital Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Residential care activities for mental retardation, mental health and substance abuse",39,319,318,2,187212,160197,29874,130322,69317,0,0,0,0
National Capital Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,"Other residential care activities, n.e.c.",44,1405,1354,0,1361470,1239652,453194,786458,743451,125704,0,0,0
National Capital Region,Social work activities without accommodation for the elderly and disabled,5,61,58,0,76103,68937,23553,45384,31332,0,0,0,0
National Capital Region,"Other social work activities without accommodation, n.e.c.",186,3258,2944,60,9228557,6855792,716843,6138949,2585049,92708,-1152,0,0
Cordillera Administrative Region,Human Health and Social Work Activities,189,3574,3477,17,2493440,1884696,435900,1448796,1273044,19244,-14748,0,500
Cordillera Administrative Region,Hospital activities,14,1903,1887,17,1791667,1380572,273596,1106977,800162,16603,-15326,0,0
Cordillera Administrative Region,Medical and dental practice activities,159,1557,1480,0,633358,447278,148304,298975,437425,0,426,0,0
Cordillera Administrative Region,Other human health activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other residential care activities, n.e.c.",4,44,44,0,24732,22768,3842,18927,13460,0,0,0,0
Cordillera Administrative Region,Social work activities without accommodation for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Other social work activities without accommodation, n.e.c.",8,48,48,0,35654,26500,7940,18559,17630,2641,152,0,0
Ilocos Region,Human Health and Social Work Activities,334,7678,7532,218,7525416,6331960,1318952,5013007,3175192,1222976,78413,0,123807
Ilocos Region,Hospital activities,74,6517,6517,218,6318719,5332907,1121125,4211782,2726753,1000402,50599,0,123807
Ilocos Region,Medical and dental practice activities,241,1023,884,0,1133089,947602,182824,764778,406076,221540,27763,0,0
Ilocos Region,Other human health activities,9,85,85,0,35703,27188,8187,19001,18764,0,54,0,0
Ilocos Region,Residential nursing care facilities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,"Residential care activities for mental retardation, mental health and substance abuse",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Residential care activities for the elderly and disabled,0,0,0,0,0,0,0,0,0,0,0,0,0
