geolocation,industry_description,number_of_establishments_at_2020,total_employment_as_of_15_november_at_2020,paid_employment_as_of_15_november_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_as_of_15_november_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_2020,subsidies_2020
Philippines,Administrative and Support Service Activities,6302,1145480,1142078,56309,713650794,637587814,393914045,243673769,522115644,27096932,304093,33747915,2004126
Philippines,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,Renting and leasing of personal and household goods,185,1195,1083,48,750108,653807,140356,513451,300315,88303,-19864,0,0
Philippines,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",138,3803,3784,41,8349768,7445514,860105,6585409,2930756,760036,-8820,0,0
Philippines,"Leasing of intellectual property and  similar products, except copyrighted works",13,710,710,7,238773,219431,75403,144028,102901,0,0,0,0
Philippines,Activities of employment placement agencies,1640,45775,45773,171,18727690,16811369,10880424,5930945,13927313,377131,-34800,0,0
Philippines,Temporary employment agency activities,704,228132,227773,30215,60005192,57038883,32456812,24582072,36935476,1321543,-18920,76,13245
Philippines,Other human resources provision,8,4869,4869,0,1041543,837373,612098,225274,793880,2578,0,0,0
Philippines,Travel agency and tour operator activities,520,6851,6442,763,3090007,3440003,1433746,2006257,1568064,109478,11597,21324,3598
Philippines,Other reservation service and related activities,199,5495,5402,46,8162590,7224444,1382517,5841928,2525109,164221,49911,1786848,1552
Philippines,Private security activities,795,132715,132281,8827,19681522,18154059,12056500,6097559,14918276,346998,-15299,0,3158
Philippines,Security systems service activities,27,1382,1381,262,791471,726918,285424,441494,374340,38915,-1987,0,0
Philippines,Investigation activities,11,531,531,0,203619,188993,148547,40446,171319,519,-2152,0,0
Philippines,Combined facilities support activities,11,1596,1596,229,663129,685143,408245,276899,447194,19653,-2,0,0
Philippines,Cleaning activities,215,23534,23515,1415,8244986,7787081,4387382,3399699,5312078,211892,16557,0,0
Philippines,Landscape care and maintenance service activities,17,616,614,66,391522,365945,149094,216851,195989,12674,-1199,0,0
Philippines,Office administrative and support activities,416,5829,5817,216,3049781,2564726,1341362,1223364,1978217,416535,82702,0,117259
Philippines,Call centers and other related activities,1024,670494,668570,13736,568393169,502555922,325002998,177552924,435550059,22985895,221679,31931248,1865315
Philippines,Organization of conventions and trade shows,73,687,687,0,1486547,1358218,277197,1081021,575816,2918,996,8419,0
Philippines,"Business support service activities, n.e.c.",307,11266,11248,269,10379377,9529983,2015835,7514148,3508543,237643,23695,0,0
National Capital Region,Administrative and Support Service Activities,3293,698453,696715,37884,513367405,457212697,282214356,174998341,380046977,20058187,261899,11546583,1700476
National Capital Region,Renting and leasing of motor vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Renting and leasing of personal and household goods,22,255,255,12,301065,258817,32320,226496,80294,0,684,0,0
National Capital Region,"Renting and leasing of other machinery, equipment and tangible goods, n.e.c.",59,1849,1849,21,6549246,5667152,509180,5157972,1952996,742135,0,0,0
National Capital Region,"Leasing of intellectual property and  similar products, except copyrighted works",11,652,652,0,130172,128867,39993,88874,43981,0,0,0,0
National Capital Region,Activities of employment placement agencies,920,27317,27315,24,13333360,11924861,7931551,3993310,10066852,47926,-2499,0,0
National Capital Region,Temporary employment agency activities,247,103977,103841,15813,31080035,29844503,18077089,11767414,20379349,127483,-19852,0,12345
National Capital Region,Other human resources provision,5,85,85,0,419243,227807,31777,196030,188217,1387,0,0,0
