geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,Information and Communication,3369,173622,172883,9672,647170817,543685304,137234982,406450322,403511140,115750266,1457330,275191,173642
Philippines,"Publishing of books, periodicals and other publishing activities",170,7283,7266,243,10725199,11106351,2754713,8351639,3946589,-1353581,-136659,2903,0
Philippines,Software publishing,7,2550,2550,23,13907999,6509363,3710266,2799097,10841848,37055,0,0,0
Philippines,"Motion picture, video and television programme activities",121,3786,3770,519,7463025,4519326,1318517,3200809,4516987,860198,-1364,0,0
Philippines,Sound recording and music publishing activities,19,504,500,10,1526201,1108195,227825,880370,598412,84868,72,0,0
Philippines,Radio broadcasting,408,5392,5326,109,4923369,4074805,1297541,2777264,2599115,136798,-408,4100,124
Philippines,Television programming and broadcasting activities,95,9877,9867,87,46833115,44498022,18569395,25928627,26411808,246776,-5578,0,121
Philippines,Wired telecommunications activities,39,16117,16116,227,115875779,88229370,19794429,68434941,73272511,37796511,2351,1388,14683
Philippines,Wireless telecommunications activities,55,16740,16740,3735,247547861,213169084,24204046,188965038,178105100,69976419,1797407,5358,0
Philippines,Satellite telecommunications activities,314,9091,9074,1328,23274137,21028897,3124806,17904090,10882127,5312118,57051,987,1067
Philippines,Other telecommunications activities,1154,8476,8082,1243,15282432,11984219,2183110,9801110,5915049,134226,-39482,0,53
Philippines,"Computer programming, consultancy and related activities",887,75885,75676,1976,140821737,127731218,54738100,72993119,74964375,2060618,-208052,259865,152442
Philippines,"Data processing, hosting and related activities; web portals",74,16567,16563,93,15435930,7993752,4806708,3187044,9038061,450090,-1,590,5153
Philippines,Other information service activities,25,1353,1353,78,3554032,1732702,505528,1227174,2419156,8170,-8008,0,0
