geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,gross_margin_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,91679,1090292,1076171,143382,5505615370,5232494433,224937339,5007557094,971999564,650953351,60210769,18312207,30660918,152733
Philippines,Sale of motor vehicles,1392,39946,39938,3861,272491701,260229690,8676721,251552969,29274338,31006202,6306909,-7862816,0,0
Philippines,Maintenance and repair of motor vehicles,1861,15314,15095,178,15742737,14671360,2230430,12440930,0,3658109,231561,-227416,0,0
Philippines,Sale of motor vehicle parts and accessories,3123,23496,22748,316,53632664,43666398,3216485,40449913,15542489,14318870,304153,-638449,0,0
Philippines,"Sale, maintenance and repair of motorcycles and related parts and accessories",6532,63520,63073,3867,168612619,159477170,9443401,150033769,31257638,23748345,2449214,1871286,0,0
Philippines,Wholesale on a fee or contract basis,335,8411,8407,2931,50309293,49830028,3457404,46372623,0,11979016,247356,-727305,0,0
Philippines,Wholesale of agricultural raw materials and live animals,1447,18561,17485,514,68742201,67997050,2966939,65030111,8411681,5896727,407362,6246937,0,12751
Philippines,"Wholesale of food, beverages and tobacco",2350,68953,68721,2116,559190756,523637704,13891615,509746089,100472753,64823224,2823463,33886954,0,0
Philippines,Wholesale of household goods,5004,92196,91842,11290,431723063,411853468,27517973,384335495,96048870,56982513,9416309,3154702,113100,20472
Philippines,"Wholesale of machinery, equipment and supplies",2624,43288,43197,2104,237688955,226485783,12794619,213691164,39138161,29019340,1825967,-4884313,58584,12740
Philippines,Other specialized wholesale,3008,63382,63048,4668,408672227,396865410,14699338,382166072,54233066,36850583,3914263,-3867073,0,0
