geolocation,industry_description,number_of_establishments_at_2021,totak_employment_at_2021,paid_employees_at_2021,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2021,total_revenue_2021,total_expense_2021,compensation_2021,other_expense_2021,value_added_2021,gross_additions_to_tangible_fixed_assets_2021,change_in_inventories_2021,sales_from_e-commerce_transactions_2021,subsidies_2021
Philippines,"Professional, Scientific And Technical Activities",4816,127993,127559,3811,251885832,222041941,67829566,154212375,119246766,2696838,302294,0,46552
Philippines,Legal activities,867,8660,8529,115,10438515,7120083,3252283,3867800,6835420,151337,1693,0,36
Philippines,"Accounting, bookkeeping and auditing activities; tax consultancy",546,22736,22702,363,29145739,27206892,16590751,10616142,19748565,409034,12463,0,0
Philippines,Activities of head offices,24,1413,1413,126,81687842,79137184,1332804,77804380,17351901,743096,-108221,0,0
Philippines,Management consultancy activities,464,23713,23685,637,34190392,29968128,12626086,17342042,17768937,358895,54137,0,29603
Philippines,Architectural and engineering activities and related technical consultancy,566,33155,33076,714,41954557,34955867,17388513,17567354,26375404,153774,120429,0,0
Philippines,Technical testing and analysis,424,6275,6275,109,5512922,4823007,2047419,2775588,3126410,205005,5876,0,0
Philippines,Research and experimental development on natural sciences and engineering,34,4682,4682,799,6575282,6103716,3566852,2536864,4515994,72882,122155,0,2759
Philippines,Research and experimental development on social sciences and humanities,7,352,352,2,609118,567704,240183,327521,287427,17918,0,0,0
Philippines,Research and experimental development in information technology,12,4551,4551,0,4070791,3828536,2614301,1214234,3371667,94569,0,0,0
Philippines,Advertising,423,9485,9428,605,21229124,13152638,3744724,9407914,13250429,157719,-12454,0,14033
Philippines,Market research and public opinion polling,30,3693,3693,179,6777142,6449815,1688813,4761002,2405932,16770,15584,0,0
Philippines,Specialized design activities,37,1050,1049,37,887457,825228,472075,353154,556101,8368,6582,0,0
Philippines,Photographic activities,775,3650,3588,47,2788862,2610409,696116,1914294,1177793,134184,34433,0,120
Philippines,"Other professional, scientific and technical activities, n.e.c.",78,1518,1517,61,3033225,2605031,1057228,1547803,1561194,22946,-437,0,0
Philippines,Veterinary activities,529,3060,3020,19,2984863,2687703,511419,2176284,913593,150340,50052,0,0
National Capital Region,"Professional, Scientific And Technical Activities",2180,87688,87571,1943,221874294,195644021,56427727,139216294,102627489,1742733,1470,0,41909
National Capital Region,Legal activities,423,7105,7060,102,9333527,6328658,2832944,3495713,6037757,135127,-80,0,0
National Capital Region,"Accounting, bookkeeping and auditing activities; tax consultancy",239,18294,18294,279,26310175,24661640,14994005,9667635,17729675,226822,3574,0,0
National Capital Region,Activities of head offices,18,1245,1245,34,81535146,78998017,1309813,77688204,17286964,743013,-108231,0,0
National Capital Region,Management consultancy activities,368,16020,16014,524,29231693,25432237,11283497,14148740,16003565,255801,53958,0,25116
National Capital Region,Architectural and engineering activities and related technical consultancy,328,23244,23190,356,35746924,29344494,14938066,14406428,23025701,52636,4108,0,0
National Capital Region,Technical testing and analysis,82,3554,3554,11,3037918,2985650,1312688,1672963,1516456,7232,-5374,0,0
National Capital Region,Research and experimental development on natural sciences and engineering,17,2745,2745,70,3861906,3861226,2533811,1327416,2801013,68020,1787,0,2759
National Capital Region,Research and experimental development on social sciences and humanities,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Research and experimental development in information technology,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capital Region,Advertising,265,7331,7326,344,19602716,11809757,3366665,8443092,12447012,110625,-3246,0,14033
National Capital Region,Market research and public opinion polling,24,1530,1530,179,5691062,5413122,940029,4473093,1566216,14845,15584,0,0
National Capital Region,Specialized design activities,22,325,325,0,261504,273222,105040,168182,100999,3307,1276,0,0
National Capital Region,Photographic activities,188,1204,1199,16,1382165,1220387,315667,904720,581518,49126,38856,0,0
National Capital Region,"Other professional, scientific and technical activities, n.e.c.",52,982,982,9,2416833,2018173,783927,1234246,1237672,16881,-101,0,0
National Capital Region,Veterinary activities,140,1120,1118,19,1044731,942594,226968,715626,366206,2773,-641,0,0
Cordillera Administrative Region,"Professional, Scientific And Technical Activities",85,508,460,73,258788,235138,69742,165396,107424,14292,1306,0,0
Cordillera Administrative Region,Legal activities,22,37,22,0,22152,14333,2360,11973,10740,583,662,0,0
Cordillera Administrative Region,"Accounting, bookkeeping and auditing activities; tax consultancy",15,48,40,0,15819,11056,6722,4335,12289,149,11,0,0
Cordillera Administrative Region,Activities of head offices,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,Management consultancy activities,4,21,21,3,7438,12011,4532,7479,106,0,0,0,0
Cordillera Administrative Region,Architectural and engineering activities and related technical consultancy,12,104,98,70,104802,98068,13972,84096,24764,1505,416,0,0
Cordillera Administrative Region,Technical testing and analysis,0,0,0,0,0,0,0,0,0,0,0,0,0
