"Summary Statistics for Education Establishments"

"Industry Description","2016 Number of Establishments All Employment Sizes","2016 Number of Establishments Total Employment of 20 and Over","2016 Number of Establishments Total Employment of Less than 20","2016 Total Employment All Employment Sizes","2016 Total Employment Total Employment of 20 and Over","2016 Total Employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total Income All Employment Sizes","2016 Total Income Total Employment of 20 and Over","2016 Total Income Total Employment of Less than 20","2016 Total Expense All Employment Sizes","2016 Total Expense Total Employment of 20 and Over","2016 Total Expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other Expense All Employment Sizes","2016 Other Expense Total Employment of 20 and Over","2016 Other Expense Total Employment of Less than 20","2016 Value Added All Employment Sizes","2016 Value Added Total Employment of 20 and Over","2016 Value Added Total Employment of Less than 20","2016 Gross Additions to Fixed Assets All Employment Sizes","2016 Gross Additions to Fixed Assets Total Employment of 20 and Over","2016 Gross Additions to Fixed Assets Total Employment of Less than 20","2016 Change in Inventories All Employment Sizes","2016 Change in Inventories Total Employment of 20 and Over","2016 Change in Inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce Sales All Employment Sizes","2016 E-Commerce Sales Total Employment of 20 and Over","2016 E-Commerce Sales Total Employment of Less than 20"
"Education",14006,3722,10284,387155,276542,110613,375167,273224,101943,189786402,166948510,22837892,161025929,141134203,19921009,82127638,72084866,10042772,78898291,69049337,9878237,127811952,113333439,14482913,13063793,11504268,1559525,12733,-17136,29869,2877373,2495397,381976,0,0,0
"..Private pre-primary/pre-school education for children without special needs",3084,144,2940,29642,4888,24754,27940,4834,23106,6987711,1997016,4990695,5957612,1750870,4206742,3278962,918146,2360816,2678650,832723,1845926,4588418,1260570,3327848,264088,146589,117499,32832,-1189,34021,4714,4714,0,0,0,0
"..Private pre-primary/pre-school education for children with special needs",47,5,42,651,186,465,546,186,360,186707,134184,52523,147269,106317,40953,76165,50202,25963,71104,56114,14990,127354,87450,39905,0,0,0,-2367,-2357,-10,0,0,0,0,0,0
"..Private primary/elementary education for children without special needs",2921,463,2458,46681,16893,29788,43580,16686,26894,10643260,5865617,4777643,9126271,5157457,3968814,5132779,2783572,2349208,3993492,2373885,1619606,7539169,3988385,3550784,977272,294842,682430,-7172,4959,-12132,88271,57043,31228,0,0,0
"..Private primary/elementary education for children with special needs",63,7,56,708,202,506,632,201,431,202616,113541,89076,161357,87229,74127,89365,47250,42116,71991,39980,32012,141030,78734,62296,1993,1993,0,19,19,0,0,0,0,0,0,0
"..Private general secondary education",3094,1542,1552,96248,76308,19940,93634,74592,19042,36171850,32554003,3617847,31463658,28181086,3305750,18062646,16236750,1825896,13401012,11944336,1479854,25918730,23487186,2435944,3351054,3005144,345911,-12610,-8968,-3642,1708015,1430135,277880,0,0,0
"..Private general secondary education for children with special needs",13,5,8,345,231,114,308,231,77,86896,71293,15603,79274,66007,13267,40500,33637,6863,38774,32370,6404,58035,46174,11861,2760,2760,0,-183,3,-186,108,108,0,0,0,0
"..Private technical and vocational secondary education for children without special needs",252,21,231,2959,578,2381,2770,562,2208,688443,200828,487615,609781,174229,435552,290097,72254,217843,319683,101975,217709,442942,117041,325902,176862,14776,162086,897,190,708,4083,4083,0,0,0,0
"..Private technical and vocational secondary education for children with special needs",23,s,s,214,s,s,176,s,s,41357,s,s,35329,s,s,16234,s,s,19095,s,s,25011,s,s,0,s,s,0,s,s,0,s,s,0,s,s
"..Private higher education",2380,1294,1086,177307,162675,14632,174880,161420,13460,118112273,114558709,3553564,99251870,96037462,3214408,50197124,48653800,1543324,49054746,47383662,1671084,80550016,78388652,2161364,8029365,7847392,181973,21534,23903,-2369,816369,743501,72868,0,0,0
"..Sports and recreation education",44,6,38,466,262,204,415,262,153,287362,181961,105401,233856,134725,99130,68610,51929,16681,165246,82796,82449,139931,110813,29118,9388,7025,2363,-1764,-2003,240,0,0,0,0,0,0
"..Cultural education",130,c,c,872,c,c,872,c,c,337397,c,c,236000,c,c,81563,c,c,154437,c,c,190269,c,c,44337,c,c,0,c,c,0,c,c,0,c,c
"..Other private education, n.e.c.",1939,231,1838,30785,14110,17545,29144,14051,15964,15769047,11055284,5051160,13463594,9232018,4473682,4713605,3165287,1629881,8749989,6066731,2843802,7981148,5671117,2500300,183722,162458,65601,-18452,-31692,13240,255813,255813,0,0,0,0
"..Private educational support services",16,s,s,277,s,s,270,s,s,271482,s,s,260059,s,s,79987,s,s,180072,s,s,109898,s,s,22952,s,s,0,s,s,0,s,s,0,s,s
