"Summary Statistics for Human Health and Social Work Activities Establishments"

"Industry Description","2016 Number of establishments All Employment Sizes","2016 Number of establishments Total Employment of 20 and Over","2016 Number of establishments Total Employment of Less than 20","2016 Total employment All Employment Sizes","2016 Total employment Total Employment of 20 and Over","2016 Total employment Total Employment of Less than 20","2016 Paid Employees All Employment Sizes","2016 Paid Employees Total Employment of 20 and Over","2016 Paid Employees Total Employment of Less than 20","2016 Total income All Employment Sizes","2016 Total income Total Employment of 20 and Over","2016 Total income Total Employment of Less than 20","2016 Total expense All Employment Sizes","2016 Total expense Total Employment of 20 and Over","2016 Total expense Total Employment of Less than 20","2016 Compensation All Employment Sizes","2016 Compensation Total Employment of 20 and Over","2016 Compensation Total Employment of Less than 20","2016 Other expense All Employment Sizes","2016 Other expense Total Employment of 20 and Over","2016 Other expense Total Employment of Less than 20","2016 Value added All Employment Sizes","2016 Value added Total Employment of 20 and Over","2016 Value added Total Employment of Less than 20","2016 Goss additions to fixed assets All Employment Sizes","2016 Goss additions to fixed assets Total Employment of 20 and Over","2016 Goss additions to fixed assets Total Employment of Less than 20","2016 Change in inventories All Employment Sizes","2016 Change in inventories Total Employment of 20 and Over","2016 Change in inventories Total Employment of Less than 20","2016 Subsidies All Employment Sizes","2016 Subsidies Total Employment of 20 and Over","2016 Subsidies Total Employment of Less than 20","2016 E-Commerce sales All Employment Sizes","2016 E-Commerce sales Total Employment of 20 and Over","2016 E-Commerce sales Total Employment of Less than 20"
"Human Health and Social Work Activities",8170,1075,7095,178905,141105,37800,176148,140447,35701,184693524,152053044,32640480,158700703,130916204,27784499,37824728,31876544,5948184,120875975,99039660,21836315,83070363,70374271,12696092,14998688,14347652,651037,2296546,2004834,291712,113509,102575,10934,0,0,0
"..Private general hospitals activities",1155,696,459,126303,120663,5640,125631,120169,5462,131472128,126399385,5072743,112382882,108005124,4377759,28158745,27115124,1043621,84224137,80890000,3334137,58910308,57054999,1855308,13510845,13510845,0,1932873,1863778,69095,72921,72921,0,0,0,0
"..Private sanitaria and other similar activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Private mental health and substance abuse hospitals",6,s,s,111,s,s,108,s,s,88011,s,s,81284,s,s,26481,s,s,54803,s,s,39253,s,s,48905,s,s,2066,s,s,500,s,s,0,s,s
"..Other private hospitals, sanitaria and other similar activities, n.e.c.",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s
"..Private medical activities",3368,149,3219,22063,7855,14208,21476,7844,13631,21888785,7777701,14111084,18028344,6765997,11262347,3828003,1665485,2162518,14200341,5100512,9099829,8570788,3060507,5510281,580358,360935,219423,242283,51887,190396,0,0,0,0,0,0
"..Private dental and laboratory services",1598,11,1587,6226,620,5606,5718,620,5098,3961163,419360,3541803,3557035,370127,3186908,827594,102291,725303,2729441,267836,2461605,1585406,202602,1382804,45364,45364,0,7548,-1282,8830,0,0,0,0,0,0
"..Child care clinics",129,..,129,494,..,494,425,..,425,480263,..,480263,274549,..,274549,72292,..,72292,202256,..,202256,288271,..,288271,0,..,0,-1517,..,-1517,0,..,0,0,..,0
"..Private medical, dental and other health activities, n.e.c.",1129,104,1025,11529,4535,6994,11397,4534,6863,9885753,4354096,5531657,8654718,3905138,4749580,2253486,1088958,1164527,6401232,2816179,3585053,4066708,1821469,2245240,458715,252000,206715,59562,37454,22109,0,0,0,0,0,0
"..Other human health activities",163,12,151,1462,529,933,1459,526,933,2286339,1209849,1076490,1695529,784551,910978,397814,252000,145814,1297715,532551,765164,1049341,711513,337828,137326,130260,7066,6842,5578,1264,0,0,0,0,0,0
