"Summary Statistics for Accommodation and Food Service Activities Establishments by Geolocation, Industry Description, Year and Data Item"

"Geolocation","Industry Description","2019 Number of Establishments","2019 Total Employment a/","2019 Paid Employees a/","2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2019 Total Revenue","2019 Total Expense","2019 Compensation","2019 Other Expense","2019 Value Added","2019 Gross Additions To Tangible Fixed Assets","2019 Change in Inventories","2019 Sales from E-Commerce Transactions","2019 Subsidies"
"PHILIPPINES","Accommodation and Food Service Activities",36527,644899,626564,123110,978003039,802125009,114837070,687287939,341501488,121302026,9176829,11487723,-
"PHILIPPINES","..Short term accommodation activities",5249,165451,162016,31664,224531621,173634002,32344007,141289996,104863801,103694123,810406,9062929,-
"PHILIPPINES","..Other accommodation",544,3951,3539,62,2722841,2204981,559750,1645231,1345109,15305,712,-,-
"PHILIPPINES","..Restaurants and mobile food service activities",27374,425851,413521,90611,694621443,577808147,74026531,503781616,219157243,13318823,5923701,2424795,-
"PHILIPPINES","..Event catering and other food service activities",665,15530,14907,296,18749664,15965127,2542077,13423049,3891755,1543425,2363967,-,-
"PHILIPPINES","..Beverage serving activities",2695,34116,32581,477,37377469,32512752,5364705,27148047,12243580,2730350,78044,-,-
"..National Capital Region","Accommodation and Food Service Activities",11225,205612,202981,59752,458371796,384044620,52474413,331570207,149562838,90725676,5382914,5295720,-
"..National Capital Region","..Short term accommodation activities",662,33570,33402,19554,114968129,86673255,12896711,73776544,51407985,84707534,413059,3852345,-
"..National Capital Region","..Other accommodation",200,1660,1506,-,1178647,922229,276801,645427,591690,-,110,-,-
"..National Capital Region","..Restaurants and mobile food service activities",9106,149253,147148,40198,305826320,264471989,34593197,229878792,89171968,4514594,2573149,1443375,-
"..National Capital Region","..Event catering and other food service activities",195,8762,8762,-,15408581,13339128,1926441,11412687,2406682,1503547,2349013,-,-
"..National Capital Region","..Beverage serving activities",1062,12368,12163,-,20990119,18638019,2781262,15856757,5984512,-,47582,-,-
"..Cordillera Administration Region","Accommodation and Food Service Activities",807,18483,18359,1776,13197437,10452688,2361536,8091152,5692456,617588,212136,24300,-
"..Cordillera Administration Region","..Short term accommodation activities",190,6417,6383,1411,4560260,3584806,934681,2650126,2310469,572271,62085,24300,-
"..Cordillera Administration Region","..Other accommodation",18,86,54,16,62631,34720,9907,24813,51489,-,-,-,-
"..Cordillera Administration Region","..Restaurants and mobile food service activities",465,10725,10688,349,7667519,6189049,1280425,4908623,2857181,42491,149944,-,-
"..Cordillera Administration Region","..Event catering and other food service activities",3,41,35,-,21163,18668,2285,16383,5544,2016,5,-,-
"..Cordillera Administration Region","..Beverage serving activities",131,1214,1198,-,885865,625445,134238,491207,467772,810,103,-,-
"..Ilocos Region","Accommodation and Food Service Activities",1396,28152,27806,6457,32021781,26313092,4050575,22262517,11417385,2237199,708797,225912,-
"..Ilocos Region","..Short term accommodation activities",339,9493,9493,175,6504073,5737940,1770143,3967797,3569956,2183008,14417,125353,-
"..Ilocos Region","..Other accommodation",28,49,28,-,16950,10807,2643,8164,11463,-,-,-,-
"..Ilocos Region","..Restaurants and mobile food service activities",946,17603,17371,6250,25040228,20243208,2180708,18062500,7585772,43215,689832,100558,-
"..Ilocos Region","..Event catering and other food service activities",23,187,145,32,31208,28070,9113,18957,14728,-,322,-,-
"..Ilocos Region","..Beverage serving activities",60,820,770,-,429323,293066,87968,205098,235466,10976,4226,-,-
"..Cagayan Valley","Accommodation and Food Service Activities",736,12447,12127,4,10382042,8027817,1478731,6549086,4577478,74944,-35783,100659,-
"..Cagayan Valley","..Short term accommodation activities",177,4590,4589,-,1713891,1225762,513622,712140,1088821,73124,-18563,-,-
"..Cagayan Valley","..Other accommodation",14,35,17,-,15272,11884,1745,10139,6577,1044,4,-,-
"..Cagayan Valley","..Restaurants and mobile food service activities",509,7064,6794,-,8420054,6601435,907237,5694198,3372075,775,-17742,100659,-
"..Cagayan Valley","..Event catering and other food service activities",11,125,125,4,70911,63715,12555,51160,23848,-,440,-,-
"..Cagayan Valley","..Beverage serving activities",26,634,602,-,161913,125022,43572,81450,86157,-,78,-,-
"..Central Luzon","Accommodation and Food Service Activities",2961,54300,52779,5836,65228557,50436095,8500442,41935652,26915163,5188440,138815,319853,-
"..Central Luzon","..Short term accommodation activities",419,14550,14181,961,16434095,13006690,2529215,10477475,7392418,3900274,50063,56014,-
"..Central Luzon","..Other accommodation",9,40,23,-,15832,13840,2138,11701,6225,1800,-7,-,-
"..Central Luzon","..Restaurants and mobile food service activities",2190,35007,34381,4573,45573244,34855531,5459360,29396171,18192322,1283146,76873,263838,-
"..Central Luzon","..Event catering and other food service activities",65,1281,1031,200,679412,526300,128476,397824,290337,-,1081,-,-
"..Central Luzon","..Beverage serving activities",277,3422,3164,102,2525974,2033734,381253,1652481,1033861,3221,10805,-,-
"..CALABARZON","Accommodation and Food Service Activities",4844,78692,76268,14871,131190021,107888159,10653584,97234575,38624880,2439614,1875736,6001,-
"..CALABARZON","..Short term accommodation activities",717,15093,14577,1386,7408337,6227173,1981161,4246011,3878056,127331,-6711,-,-
"..CALABARZON","..Other accommodation",22,64,62,-,34193,28302,6427,21875,18720,-,-,-,-
"..CALABARZON","..Restaurants and mobile food service activities",3729,58176,56590,13477,117647207,96481933,7789561,88692372,32479517,2312283,1877799,6001,-
"..CALABARZON","..Event catering and other food service activities",64,809,735,-,217020,176282,47053,129229,95907,-,1708,-,-
"..CALABARZON","..Beverage serving activities",312,4549,4303,8,5883264,4974470,829382,4145088,2152680,-,2941,-,-
"..MIMAROPA Region","Accommodation and Food Service Activities",640,16514,16262,1254,18318229,15986077,2781192,13204885,6215505,808618,73453,489058,-
"..MIMAROPA Region","..Short term accommodation activities",322,8302,8140,20,3268754,2526925,927641,1599284,2235684,353043,-18695,179706,-
"..MIMAROPA Region","..Other accommodation",12,60,36,-,13015,8366,4344,4022,10076,-,12,-,-
"..MIMAROPA Region","..Restaurants and mobile food service activities",221,6915,6915,1235,14475943,13058571,1741724,11316847,3670677,449855,88883,309352,-
"..MIMAROPA Region","..Event catering and other food service activities",21,234,188,-,53383,36941,12863,24078,36558,5720,2,-,-
"..MIMAROPA Region","..Beverage serving activities",64,1003,983,-,507134,355274,94620,260654,262511,-,3252,-,-
"..Bicol Region","Accommodation and Food Service Activities",977,15982,14882,2484,17315990,14622292,2362078,12260214,6376343,7829007,79985,30000,-
"..Bicol Region","..Short term accommodation activities",220,5204,4205,532,5453503,4723059,1038027,3685031,2761243,7654428,-11717,30000,-
"..Bicol Region","..Other accommodation",18,68,68,-,31069,27204,11362,15842,17578,-,-578,-,-
"..Bicol Region","..Restaurants and mobile food service activities",654,9900,9900,1941,11548550,9637108,1255451,8381656,3449303,3205,86423,-,-
"..Bicol Region","..Event catering and other food service activities",28,240,206,-,158085,124366,23524,100842,78418,10206,375,-,-
"..Bicol Region","..Beverage serving activities",57,570,502,11,124784,110555,33713,76843,69801,161168,5481,-,-
"..Western Visayas","Accommodation and Food Service Activities",2192,35350,32352,6453,50361048,38534228,6194507,32339721,20144067,896935,62083,384998,-
"..Western Visayas","..Short term accommodation activities",311,9990,9722,729,8366674,4585320,1102061,3483258,5508472,189567,-9585,384998,-
"..Western Visayas","..Other accommodation",31,121,121,20,149125,122871,16137,106734,52724,1773,-2,-,-
"..Western Visayas","..Restaurants and mobile food service activities",1708,23074,20567,5704,39560258,31709681,4771788,26937893,14013515,703082,71837,-,-
"..Western Visayas","..Event catering and other food service activities",13,222,175,-,118300,107450,35902,71549,51395,-,-,-,-
"..Western Visayas","..Beverage serving activities",130,1942,1767,-,2166690,2008906,268619,1740286,517961,2512,-167,-,-
"..Central Visayas","Accommodation and Food Service Activities",3813,63049,61380,11230,76818281,58630521,8909180,49721341,32281584,1477259,311322,4415594,-
"..Central Visayas","..Short term accommodation activities",768,25498,25232,2714,34608586,27722497,4496891,23225606,14679856,1159288,183445,4231095,-
"..Central Visayas","..Other accommodation",78,722,722,-,549972,445281,92638,352643,283466,-,1956,-,-
"..Central Visayas","..Restaurants and mobile food service activities",2708,33763,32394,8516,40487513,29500115,4047582,25452534,16799935,308955,110140,184499,-
"..Central Visayas","..Event catering and other food service activities",48,740,740,-,538511,413733,46026,367707,168316,-,5976,-,-
"..Central Visayas","..Beverage serving activities",211,2326,2292,-,633699,548894,226043,322850,350013,9017,9805,-,-
"..Eastern Visayas","Accommodation and Food Service Activities",940,16976,16368,819,14123199,11733949,1849295,9884654,4980382,482495,25774,-,-
"..Eastern Visayas","..Short term accommodation activities",170,5724,5684,59,3112395,2238303,601903,1636400,1763953,324785,-28765,-,-
"..Eastern Visayas","..Other accommodation",29,129,71,-,31699,26647,10741,15907,19916,-,-10,-,-
"..Eastern Visayas","..Restaurants and mobile food service activities",671,10392,9955,760,10815496,9334531,1172190,8162341,3096305,157710,54424,-,-
"..Eastern Visayas","..Event catering and other food service activities",36,400,356,-,39350,29005,15463,13542,28790,-,-496,-,-
"..Eastern Visayas","..Beverage serving activities",34,332,301,-,124260,105463,48998,56465,71418,-,622,-,-
"..Zamboanga Peninsula","Accommodation and Food Service Activities",874,15539,14080,164,13678816,11082000,1957619,9124381,5498461,2750709,38192,24568,-
"..Zamboanga Peninsula","..Short term accommodation activities",169,5616,5502,-,5043397,3879134,1005661,2873472,2710579,1353019,21699,24568,-
"..Zamboanga Peninsula","..Other accommodation",16,20,16,-,7412,5372,952,4420,4844,-,-4,-,-
"..Zamboanga Peninsula","..Restaurants and mobile food service activities",634,8861,7552,164,8359460,6987860,901401,6086459,2661059,1397691,16259,-,-
"..Zamboanga Peninsula","..Event catering and other food service activities",15,154,137,-,136522,87510,12260,75250,70803,-,6,-,-
"..Zamboanga Peninsula","..Beverage serving activities",40,887,873,-,132025,122124,37344,84780,51175,-,232,-,-
"..Northern Mindanao","Accommodation and Food Service Activities",1399,27040,26373,1089,24806138,19508771,3661667,15847104,10588458,1012965,47599,16512,-
"..Northern Mindanao","..Short term accommodation activities",190,5782,5464,32,2368297,2251461,552672,1698789,870826,787936,6747,-,-
"..Northern Mindanao","..Other accommodation",16,492,458,19,286181,268351,70190,198161,135432,10687,36,-,-
"..Northern Mindanao","..Restaurants and mobile food service activities",1061,18514,18289,1038,20579753,15580110,2750150,12829960,8978477,205770,17773,16512,-
"..Northern Mindanao","..Event catering and other food service activities",38,621,621,-,655957,632240,100886,531354,185165,8571,4984,-,-
"..Northern Mindanao","..Beverage serving activities",93,1630,1540,-,915951,776609,187769,588840,418558,-,18059,-,-
"..Davao Region","Accommodation and Food Service Activities",2025,27558,26589,4483,24319120,20123198,4316187,15807011,10734624,4399946,99727,129549,-
"..Davao Region","..Short term accommodation activities",278,7559,7407,3910,5145124,4359889,997256,3362633,2635329,182393,4238,129549,-
"..Davao Region","..Other accommodation",35,355,313,-,316093,268013,49136,218878,125674,-,-801,-,-
"..Davao Region","..Restaurants and mobile food service activities",1552,17530,16975,495,17481246,14312379,3068224,11244155,7414913,1673661,121421,-,-
"..Davao Region","..Event catering and other food service activities",38,508,508,42,299569,158974,74272,84702,227839,4865,656,-,-
"..Davao Region","..Beverage serving activities",122,1605,1386,36,1077089,1023943,127299,896644,330869,2539028,-25787,-,-
"..SOCCSKSARGEN","Accommodation and Food Service Activities",1128,19236,18979,3619,14933216,13822767,2198399,11624368,4114358,127930,144421,25000,-
"..SOCCSKSARGEN","..Short term accommodation activities",195,5269,5250,183,3276413,2843436,609043,2234394,1288471,26712,143025,25000,-
"..SOCCSKSARGEN","..Other accommodation",15,44,37,7,12190,9083,3673,5410,7671,-,4,-,-
"..SOCCSKSARGEN","..Restaurants and mobile food service activities",834,12644,12488,3412,11112906,10516172,1480178,9035995,2613537,89280,2805,-,-
"..SOCCSKSARGEN","..Event catering and other food service activities",43,847,794,18,221260,159549,69436,90112,137120,8500,444,-,-
"..SOCCSKSARGEN","..Beverage serving activities",40,432,410,-,310448,294527,36070,258457,67559,3438,-1858,-,-
"..Caraga","Accommodation and Food Service Activities",493,8717,8246,2819,12806281,10821861,1047555,9774306,3700453,232520,13717,-,-
"..Caraga","..Short term accommodation activities",115,2679,2679,-,2242351,2012104,375867,1636237,728432,99408,4885,-,-
"..Caraga","..Other accommodation",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Caraga","..Restaurants and mobile food service activities",336,5455,5019,2499,9983155,8293968,607434,7686533,2772766,133112,6266,-,-
"..Caraga","..Event catering and other food service activities",21,304,293,-,82764,46798,20364,26433,62232,-,-549,-,-
"..Caraga","..Beverage serving activities",22,280,256,320,498010,468992,43890,425103,137023,-,3115,-,-
"..Autonomous Region in Muslim Mindanao","Accommodation and Food Service Activities",78,1252,732,-,131089,96876,40110,56766,77055,180,-2059,-,-
"..Autonomous Region in Muslim Mindanao","..Short term accommodation activities",10,122,114,-,59902,38261,12366,25895,34817,-,771,-,-
"..Autonomous Region in Muslim Mindanao","..Other accommodation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Autonomous Region in Muslim Mindanao","..Restaurants and mobile food service activities",50,975,495,-,42594,34508,19920,14588,27921,-,-2384,-,-
"..Autonomous Region in Muslim Mindanao","..Event catering and other food service activities",3,56,52,-,17670,16397,5158,11239,8072,-,-,-,-
"..Autonomous Region in Muslim Mindanao","..Beverage serving activities",15,100,70,-,10922,7710,2666,5044,6244,180,-445,-,-
