"Summary Statistics for Other Service Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2019 Number of Establishments","2019 Total Employment a/","2019 Paid  Employees a/","2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2019 Total Revenue","2019 Total Expense","2019 Compensation","2019 Other Expense","2019 Value Added","2019 Gross Additions To Tangible Fixed Assets","2019 Change in Inventories","2019 Sales from E-Commerce","2019 Subsidies"
"PHILIPPINES","Other Service Activities",10049,82708,80220,-,49486670,43393546,10298357,33095189,19934244,2345614,-87587,-,-
"PHILIPPINES","..Repair of computers and communications equipment",221,1585,1553,-,1341991,1206669,241647,965023,428514,9084,-9118,-,-
"PHILIPPINES","..Repair of personal and household goods",994,10581,10427,-,8044942,7270807,1677117,5593690,2744954,46630,43133,-,-
"PHILIPPINES","..Personal services for wellness, except sports activities",5745,53124,51443,-,29704739,26070827,6179532,19891295,11916289,792179,-35283,-,-
"PHILIPPINES","..Laundry services",1892,9037,8881,-,4797094,4195918,1223119,2972800,2123676,367105,-5400,-,-
"PHILIPPINES","..Funeral and related activities",1142,8042,7595,-,5351028,4461081,920304,3540777,2596961,1130048,-83716,-,-
"PHILIPPINES","..Other personal service activities, n.e.c.",54,340,320,-,246877,188243,56639,131605,123850,568,2797,-,-
"..National Capital Region","Other Service Activities",3674,36141,35459,-,22124664,19425597,4985677,14439920,9208369,944974,-121057,-,-
"..National Capital Region","..Repair of computers and communications equipment",61,870,870,-,595985,545925,161866,384058,236478,3537,-12082,-,-
"..National Capital Region","..Repair of personal and household goods",425,4022,4022,-,2611554,2355399,610507,1744891,1005700,6880,-82048,-,-
"..National Capital Region","..Personal services for wellness, except sports activities",2194,25383,24840,-,15222866,13291530,3430825,9860705,6508183,609454,-36668,-,-
"..National Capital Region","..Laundry services",862,4628,4594,-,3059869,2699119,659266,2039853,1168993,322738,7144,-,-
"..National Capital Region","..Funeral and related activities",105,1104,999,-,469178,406199,91377,314822,214076,2366,370,-,-
"..National Capital Region","..Other personal service activities, n.e.c.",27,133,133,-,165213,127426,31835,95590,74940,-,2228,-,-
"..Cordillera Administrative Region","Other Service Activities",184,1098,997,-,491140,436739,87688,349051,177933,2865,-1892,-,-
"..Cordillera Administrative Region","..Repair of computers and communications equipment",5,22,21,-,10132,8173,2019,6155,4329,185,-119,-,-
"..Cordillera Administrative Region","..Repair of personal and household goods",16,57,50,-,28704,24344,3582,20762,8991,30,-711,-,-
"..Cordillera Administrative Region","..Personal services for wellness, except sports activities",108,816,752,-,332833,298064,58324,239740,113732,2308,-553,-,-
"..Cordillera Administrative Region","..Laundry services",42,108,99,-,43261,37645,9056,28589,18008,-,5,-,-
"..Cordillera Administrative Region","..Funeral and related activities",13,96,74,-,76210,68512,14707,53805,32873,341,-514,-,-
"..Cordillera Administrative Region","..Other personal service activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","Other Service Activities",278,1734,1686,-,903640,769447,156056,613391,433163,352401,-73172,-,-
"..Ilocos Region","..Repair of computers and communications equipment",9,39,38,-,11690,9523,5346,4177,8032,-,7,-,-
"..Ilocos Region","..Repair of personal and household goods",38,377,375,-,149170,121082,27038,94044,62552,303,1994,-,-
