"Summary Statistics for Transportation and Storage Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2019 Number of Establishments","2019 Total Employment a/","2019 Paid Employees a/","2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2019 Total Revenue","2019 Total  Expense","2019 Compensation","2019 Other Expense","2019 Value Added","2019 Gross Additions  to Tangible Fixed Assets","2019 Change  in Inventories","2019 Sales from E-Commerce Transactions","2019 Subsidies"
"Philippines","Transportation and Storage",3057,227723,226462,26692,747154718,704890429,86881119,618009310,256067604,68919209,576912,81104533,12407670
"Philippines","..Transport via railways",s,s,s,s,s,s,s,s,s,s,s,s,s
"Philippines","..Transport via buses",246,24938,24622,1252,19579775,18194746,4459250,13735496,8085433,4095807,141513,-,-
"Philippines","..Other land transport",884,30304,30150,10405,39732068,32906516,6043968,26862548,16766152,6264959,-5753,-,-
"Philippines","..Sea and coastal water transport",158,19007,18747,221,45010298,43123756,5249663,37874093,14989248,3246975,-48904,-,-
"Philippines","..Inland water transport",36,952,951,-,762195,672466,146358,526108,345810,52799,-10315,-,-
"Philippines","..Passenger air transport",29,17516,17516,38,375013642,382153916,29686566,352467350,93202706,40146236,1244201,80958283,-
"Philippines","..Freight air transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"Philippines","..Warehousing and storage",221,17721,17651,9626,22698028,18384056,4319223,14064833,11945391,1974817,-8408,-,-
"Philippines","..Support activities for transportation",1367,96881,96425,3269,212930391,170111107,30653915,139457192,106774826,10465190,-737145,146250,297655
"Philippines","..Courier activities",110,17459,17453,1546,26934900,24865479,5312438,19553041,8906877,1908729,-33,-,-
"..National Capital Region","Transportation and Storage",1671,137082,136599,19314,605058095,585682499,67114032,518568467,196845749,51587431,973337,81036534,12110015
"..National Capital Region","..Transport via railways",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Transport via buses",75,6058,5952,11,2335973,2255531,968206,1287325,1237258,262589,92555,-,-
"..National Capital Region","..Other land transport",347,11593,11588,8141,16407627,13247464,3238359,10009106,8137866,775260,9530,-,-
"..National Capital Region","..Sea and coastal water transport",69,7797,7794,155,18611800,17704805,2641428,15063377,6584682,2257158,60752,-,-
"..National Capital Region","..Inland water transport",3,186,186,-,378417,328705,55157,273548,194535,37781,-10201,-,-
"..National Capital Region","..Passenger air transport",22,17455,17455,-,374936462,382084263,29666155,352418109,93167171,40119956,1245468,80958170,-
"..National Capital Region","..Freight air transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..National Capital Region","..Warehousing and storage",110,5745,5726,8313,8472622,7414956,1629995,5784961,3784437,96324,-33073,-,-
"..National Capital Region","..Support activities for transportation",956,68627,68276,963,152908077,123681437,22737074,100944363,79993711,5393172,-393448,78364,-
"..National Capital Region","..Courier activities",85,16682,16682,1396,26517080,24490826,5169326,19321500,8695912,1881494,-,-,-
"..Cordillera Administrative Region","Transportation and Storage",14,322,311,2,189836,178277,37626,140651,61556,-,-1688,-,-
"..Cordillera Administrative Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Transport via buses",5,236,227,-,51081,47527,20301,27226,27241,-,80,-,-
"..Cordillera Administrative Region","..Other land transport",5,33,33,-,20076,17615,6224,11391,15406,-,4,-,-
"..Cordillera Administrative Region","..Sea and coastal water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Warehousing and storage",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cordillera Administrative Region","..Support activities for transportation",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cordillera Administrative Region","..Courier activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","Transportation and Storage",43,1450,1418,63,910643,791621,169846,621775,386330,1900084,-8203,-,-
"..Ilocos Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Transport via buses",12,454,449,-,309997,276217,55418,220799,145882,14467,-439,-,-
"..Ilocos Region","..Other land transport",23,757,730,63,503803,445059,86441,358618,183445,1885617,-7765,-,-
"..Ilocos Region","..Sea and coastal water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Inland water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Ilocos Region","..Warehousing and storage",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Ilocos Region","..Support activities for transportation",4,182,182,-,65470,48389,20812,27577,39409,-,1,-,-
"..Ilocos Region","..Courier activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","Transportation and Storage",18,559,510,-,420676,356866,74742,282124,181248,41540,3320,-,-
"..Cagayan Valley","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Transport via buses",6,153,132,-,49944,43851,10075,33775,21652,-,7,-,-
"..Cagayan Valley","..Other land transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Sea and coastal water transport",4,277,250,-,198730,162747,39827,122920,90646,41540,-2200,-,-
"..Cagayan Valley","..Inland water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Passenger air transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","..Warehousing and storage",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Cagayan Valley","..Support activities for transportation",3,79,79,-,56076,42674,12667,30007,45529,-,-1851,-,-
"..Cagayan Valley","..Courier activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","Transportation and Storage",152,11611,11540,639,16426676,12420995,3159214,9261780,9134956,3086355,-248689,-,297029
"..Central Luzon","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Transport via buses",18,2729,2722,11,1897948,1790739,491051,1299689,833598,977362,32117,-,-
"..Central Luzon","..Other land transport",77,2987,2930,2,4074428,3312394,402033,2910361,1885824,1022593,-2230,-,-
"..Central Luzon","..Sea and coastal water transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Inland water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Central Luzon","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Central Luzon","..Warehousing and storage",15,825,818,447,2544816,1765411,259206,1506206,1817611,613616,2330,-,-
"..Central Luzon","..Support activities for transportation",36,4990,4990,180,7892596,5538767,1997579,3541188,4584996,472783,-280886,-,297029
"..Central Luzon","..Courier activities",s,s,s,s,s,s,s,s,s,s,s,s,s
"..CALABARZON","Transportation and Storage",271,19641,19468,3359,44123067,34256392,4029053,30227339,17248569,716852,18261,67886,-
"..CALABARZON","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..CALABARZON","..Transport via buses",64,5979,5831,206,3161068,3013064,922449,2090615,1506322,116810,6829,-,-
"..CALABARZON","..Other land transport",101,4712,4686,1224,3043247,2609531,766409,1843122,1435468,67268,38848,-,-
"..CALABARZON","..Sea and coastal water transport",8,2245,2245,-,3675549,3416212,394967,3021245,1032785,-329712,-12697,-,-
"..CALABARZON","..Inland water transport",c,c,c,c,c,c,c,c,c,c,c,c,c
"..CALABARZON","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..CALABARZON","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..CALABARZON","..Warehousing and storage",30,1661,1661,485,3428861,2250703,407419,1843284,1862769,28664,-64009,-,-
"..CALABARZON","..Support activities for transportation",62,4751,4751,1444,30658374,22824541,1477740,21346801,11326691,833822,49290,67886,-
"..CALABARZON","..Courier activities",5,294,294,-,155968,142342,60069,82272,84534,-,-,-,-
"..MIMAROPA Region","Transportation and Storage",38,805,791,25,927524,809365,114809,694557,250063,149,32011,-,-
"..MIMAROPA Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Transport via buses",3,50,50,-,19266,15738,6151,9587,12050,-,9,-,-
"..MIMAROPA Region","..Other land transport",8,72,72,-,74676,45151,7599,37552,47373,-,-2,-,-
"..MIMAROPA Region","..Sea and coastal water transport",6,97,97,-,102834,66609,4272,62337,14617,149,31705,-,-
"..MIMAROPA Region","..Inland water transport",3,37,37,-,7053,5192,2742,2450,5294,-,-,-,-
"..MIMAROPA Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Freight air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..MIMAROPA Region","..Warehousing and storage",4,105,91,-,563683,535295,14680,520615,70209,-,15,-,-
"..MIMAROPA Region","..Support activities for transportation",14,444,444,25,160012,141380,79365,62016,100519,-,284,-,-
"..MIMAROPA Region","..Courier activities",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","Transportation and Storage",62,3022,2870,13,2563143,2387166,415815,1971351,882841,482248,-3543,-,-
"..Bicol Region","..Transport via railways",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Bicol Region","..Transport via buses",14,361,361,-,310660,288939,63275,225664,119300,2744,1436,-,-
"..Bicol Region","..Other land transport",8,323,312,-,214572,179734,42166,137567,105339,35644,-18635,-,-
"..Bicol Region","..Sea and coastal water transport",11,1366,1247,13,1247228,1206345,167955,1038390,389533,378194,-1678,-,-
"..Bicol Region","..Inland water transport",s,s,s,s,s,s,s,s,s,s,s,s,s
"..Bicol Region","..Passenger air transport",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
