"Summary Statistics for Other Service Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2020 Number of Establishments","2020 Total Employment a/","2020 Paid  Employees a/","2020 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/","2020 Total Revenue","2020 Total Expense","2020 Compensation","2020 Other Expense","2020 Value Added","2020 Gross Additions To Tangible Fixed Assets","2020 Change in Inventories","2020 Sales from E-Commerce Transactions","2020 Subsidies"
"PHILIPPINES","Other Service Activities",8910,61913,60100,1362,19047753,17594232,5423125,12171107,8802735,1062146,6672,-,-
"PHILIPPINES","..Repair of computers and communications equipment",227,1368,1330,210,714270,582698,201861,380837,365166,5313,-20247,-,-
"PHILIPPINES","..Repair of personal and household goods",1085,6282,6151,23,2498771,2043773,485756,1558017,1100582,24627,-48725,-,-
"PHILIPPINES","..Personal services for wellness, except sports activities",4476,39310,38305,743,7593728,7863193,3149639,4713554,3798229,200733,-51592,-,-
"PHILIPPINES","..Laundry services",1893,6201,5986,2,1830742,1730138,442385,1287752,651053,73577,91596,-,-
"PHILIPPINES","..Funeral and related activities",1171,8420,7999,384,6262790,5225305,1118969,4106336,2858605,755776,45238,-,-
"PHILIPPINES","..Other personal service activities, n.e.c.",58,333,328,-,147452,149125,24515,124610,29100,2121,-9598,-,-
"..National Capital Region","Other Service Activities",2759,21468,20991,213,4792540,4740522,1874457,2866064,2390592,66718,-7128,-,-
"..National Capital Region","..Repair of computers and communications equipment",62,744,744,210,365426,314025,126544,187481,195652,3944,-5348,-,-
"..National Capital Region","..Repair of personal and household goods",448,2749,2749,-,315872,286500,133434,153066,198531,-,587,-,-
"..National Capital Region","..Personal services for wellness, except sports activities",1455,14327,13850,3,2304925,2413895,1259557,1154338,1355487,-,-3997,-,-
"..National Capital Region","..Laundry services",653,1821,1821,-,310280,316256,87076,229179,116175,-,-,-,-
"..National Capital Region","..Funeral and related activities",110,1628,1628,-,1421763,1331149,258433,1072716,518733,62774,2211,-,-
"..National Capital Region","..Other personal service activities, n.e.c.",30,199,199,-,74273,78697,9412,69284,6014,-,-580,-,-
"..Cordillera Administrative Region","Other Service Activities",199,1227,1141,-,265968,248971,76635,172337,119875,6018,387,-,-
"..Cordillera Administrative Region","..Repair of computers and communications equipment",5,25,22,-,6254,5555,3452,2103,4369,20,12,-,-
"..Cordillera Administrative Region","..Repair of personal and household goods",18,43,43,-,7382,7284,3217,4067,4234,248,-104,-,-
"..Cordillera Administrative Region","..Personal services for wellness, except sports activities",132,982,902,-,144434,135324,54605,80719,78022,-,270,-,-
"..Cordillera Administrative Region","..Laundry services",34,103,103,-,15305,13024,6282,6742,8912,-,316,-,-
"..Cordillera Administrative Region","..Funeral and related activities",12,75,72,-,92593,87784,9078,78706,24338,5750,-107,-,-
"..Cordillera Administrative Region","..Other personal service activities, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Ilocos Region","Other Service Activities",426,2157,2085,103,568614,596115,158074,438041,231442,23964,-17817,-,-
"..Ilocos Region","..Repair of computers and communications equipment",17,67,67,-,35119,34281,4970,29311,6574,-,-77,-,-
"..Ilocos Region","..Repair of personal and household goods",44,225,210,-,82595,68848,26010,42838,44469,-,-290,-,-
"..Ilocos Region","..Personal services for wellness, except sports activities",224,1421,1396,-,123019,189124,96946,92178,43504,504,-267,-,-
"..Ilocos Region","..Laundry services",31,144,136,-,14042,11909,5912,5997,8791,-,4,-,-
"..Ilocos Region","..Funeral and related activities",112,301,276,103,313840,291954,24235,267718,128103,23460,-17187,-,-
"..Ilocos Region","..Other personal service activities, n.e.c.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"..Cagayan Valley","Other Service Activities",181,1898,1889,-,516249,482138,156701,325437,239012,-,2663,-,-
"..Cagayan Valley","..Repair of computers and communications equipment",5,10,10,-,2637,2519,874,1646,1196,-,-83,-,-
"..Cagayan Valley","..Repair of personal and household goods",27,109,109,-,143532,122121,14859,107262,49393,-,6521,-,-
"..Cagayan Valley","..Personal services for wellness, except sports activities",100,1511,1502,-,138310,199912,96938,102974,49321,-,-3306,-,-
"..Cagayan Valley","..Laundry services",14,48,48,-,16015,14871,3259,11612,5473,-,-129,-,-
"..Cagayan Valley","..Funeral and related activities",35,221,221,-,215756,142715,40773,101942,133630,-,-340,-,-
"..Cagayan Valley","..Other personal service activities, n.e.c.",c,c,c,c,c,c,c,c,c,c,c,c,c
"..Central Luzon","Other Service Activities",802,5666,5381,71,1589620,1293521,442512,851009,881351,172975,-91629,-,-
"..Central Luzon","..Repair of computers and communications equipment",22,97,87,-,121529,87476,23441,64035,61971,-,-9445,-,-
"..Central Luzon","..Repair of personal and household goods",83,521,521,23,602196,409933,50456,359477,271340,20429,-51363,-,-
"..Central Luzon","..Personal services for wellness, except sports activities",410,3614,3568,46,500656,482053,238395,243659,326956,98637,-24637,-,-
"..Central Luzon","..Laundry services",164,470,438,2,130313,133179,51949,81230,70661,53909,-530,-,-
"..Central Luzon","..Funeral and related activities",120,955,758,-,232027,178521,77280,101241,148629,-,-5654,-,-
"..Central Luzon","..Other personal service activities, n.e.c.",3,9,9,-,2899,2358,992,1366,1794,-,-,-,-
"..CALABARZON","Other Service Activities",1380,10785,10540,641,3591934,3295290,848904,2446385,1548247,100,-4625,-,-
"..CALABARZON","..Repair of computers and communications equipment",25,165,165,-,53697,43373,10448,32925,22123,-,16,-,-
"..CALABARZON","..Repair of personal and household goods",146,870,831,-,609894,529004,70906,458098,159674,-,-3003,-,-
"..CALABARZON","..Personal services for wellness, except sports activities",681,7208,7087,613,1557241,1526118,536435,989683,850449,100,-2032,-,-
"..CALABARZON","..Laundry services",309,1307,1307,-,837344,773900,123615,650285,250705,-,5835,-,-
"..CALABARZON","..Funeral and related activities",211,1219,1137,28,530928,420304,106467,313837,263800,-,-5452,-,-
"..CALABARZON","..Other personal service activities, n.e.c.",8,17,13,-,2830,2591,1033,1559,1495,-,10,-,-
"..MIMAROPA Region","Other Service Activities",77,356,356,-,124369,117365,30147,87218,50596,8949,-1540,-,-
"..MIMAROPA Region","..Repair of computers and communications equipment",3,12,12,-,9438,8924,1539,7385,2277,-,-3392,-,-
"..MIMAROPA Region","..Repair of personal and household goods",6,29,29,-,4225,3784,2147,1636,2924,-,240,-,-
