"Summary Statistics for Professional, Scientific And Technical Activities Establishments by Geolocation, Industry Description, Year and Data Items"

"Geolocation","Industry Description","2021 Number  of  Establishments a/","2021 Totak Employment a/","2021 Paid Employees a/","2021 Workers on Sub-Contract Agreement or Under Manpower Agencies/Contractors a/","2021 Total Revenue","2021 Total Expense","2021 Compensation","2021 Other Expense","2021 Value Added","2021 Gross Additions To Tangible Fixed Assets","2021 Change  in Inventories","2021 Sales from E-Commerce Transactions","2021 Subsidies"
"PHILIPPINES","Professional, Scientific And Technical Activities",4816,127993,127559,3811,251885832,222041941,67829566,154212375,119246766,2696838,302294,-,46552
"PHILIPPINES","..Legal activities",867,8660,8529,115,10438515,7120083,3252283,3867800,6835420,151337,1693,-,36
"PHILIPPINES","..Accounting, bookkeeping and auditing activities; tax consultancy",546,22736,22702,363,29145739,27206892,16590751,10616142,19748565,409034,12463,-,-
"PHILIPPINES","..Activities of head offices",24,1413,1413,126,81687842,79137184,1332804,77804380,17351901,743096,-108221,-,-
"PHILIPPINES","..Management consultancy activities",464,23713,23685,637,34190392,29968128,12626086,17342042,17768937,358895,54137,-,29603
"PHILIPPINES","..Architectural and engineering activities and related technical consultancy",566,33155,33076,714,41954557,34955867,17388513,17567354,26375404,153774,120429,-,-
"PHILIPPINES","..Technical testing and analysis",424,6275,6275,109,5512922,4823007,2047419,2775588,3126410,205005,5876,-,-
"PHILIPPINES","..Research and experimental development on natural sciences and engineering",34,4682,4682,799,6575282,6103716,3566852,2536864,4515994,72882,122155,-,2759
"PHILIPPINES","..Research and experimental development on social sciences and humanities",7,352,352,2,609118,567704,240183,327521,287427,17918,-,-,-
"PHILIPPINES","..Research and experimental development in information technology",12,4551,4551,-,4070791,3828536,2614301,1214234,3371667,94569,-,-,-
"PHILIPPINES","..Advertising",423,9485,9428,605,21229124,13152638,3744724,9407914,13250429,157719,-12454,-,14033
"PHILIPPINES","..Market research and public opinion polling",30,3693,3693,179,6777142,6449815,1688813,4761002,2405932,16770,15584,-,-
"PHILIPPINES","..Specialized design activities",37,1050,1049,37,887457,825228,472075,353154,556101,8368,6582,-,-
"PHILIPPINES","..Photographic activities",775,3650,3588,47,2788862,2610409,696116,1914294,1177793,134184,34433,-,120
"PHILIPPINES","..Other professional, scientific and technical activities, n.e.c.",78,1518,1517,61,3033225,2605031,1057228,1547803,1561194,22946,-437,-,-
"PHILIPPINES","..Veterinary activities",529,3060,3020,19,2984863,2687703,511419,2176284,913593,150340,50052,-,-
