,,,,,,,,,,,,,Summary Statistics for Accommodation and Food Service Activities Establishments by Size and Industry Sub-class: Philippines.
Size,Industry Description,2015 Number of establishments,2015 Employment,2015 Paid employees,2015 Income,2015 Expense,2015 Compensation,2015 Other expense,2015 Value added,2015 Gross additions to tangible fixed assets,2015 Change in inventories,2015 Subsidies,2015 Sales from e-commerce transactions
All employment sizes,Accommodation and Food Service Activities,27028,433260,425094,471265318,395254608,63775233,331479375,170056628,24254367,2177765,0,4892268
All employment sizes,..Hotels and motels,2276,62392,61429,61876134,56142070,12042813,44099256,27044511,5885216,489590,0,3943124
All employment sizes,..Resort hotels,984,31293,31038,27960724,23603840,4341672,19262168,12823872,1654015,178323,0,871662
All employment sizes,..Condotels,49,834,821,838195,767858,152284,615574,310747,32193,693,0,0
All employment sizes,..Pension houses,279,2580,2412,1073671,846483,179624,666859,496389,14039,2914,0,0
All employment sizes,"..Other short term accommodation activities, n.e.c",129,1793,1697,913048,719753,267220,452533,515559,37660,10161,0,0
All employment sizes,..Restaurants,6652,116556,114662,158051432,126684988,19721397,106963592,57209555,13976623,354588,0,77482
All employment sizes,..Fast-food chains,4477,130304,129375,144762146,125447441,17901609,107545832,45924809,2310651,508808,0,0
All employment sizes,..Cafeterias,3748,27091,24814,15781633,11552863,2174856,9378006,6852346,124053,21794,0,0
All employment sizes,"..Refreshment stands, kiosks and counters",3772,20034,19684,17696162,14019873,2521833,11498040,6656132,65238,144171,0,0
All employment sizes,"..Other restaurants and mobile food service activities, n.e.c.",1353,3515,3515,15030082,13550124,555858,12994266,2097619,22428,161020,0,0
All employment sizes,..Event catering,358,7041,6759,5664030,4494377,1065660,3428717,2433463,81343,42359,0,0
All employment sizes,..Other food service activities,113,1647,1647,1517909,1021922,239155,782766,746401,7226,16118,0,0
All employment sizes,..Night clubs,102,1242,1242,483554,378961,111057,267904,245213,120,237,0,0
All employment sizes,..Bars and cocktail lounges,1445,18322,17404,10856134,8763181,1604713,7158468,4119936,12465,64244,0,0
All employment sizes,..Café or coffee shops,751,6296,6293,6755387,5759411,675683,5083728,1766837,30095,175449,0,0
All employment sizes,"..Other beverage serving activities, n.e.c.",219,829,829,1079889,720511,106790,613720,490973,1002,6082,0,0
All employment sizes,..Camping sites/facilities,6,46,46,82523,68647,10208,58439,39642,0,0,0,0
All employment sizes,..Dormitories/boarding houses,296,1384,1384,828497,698818,98419,600399,276318,0,1218,0,0
All employment sizes,"..Other accommodation, n.e.c.",19,62,44,14170,13488,4381,9106,6306,0,-4,0,0
Total employment of 20 and over,Accommodation and Food Service Activities,5493,268743,267496,331985554,279445960,45637199,233808761,123142292,23474911,1571086,0,4892268
Total employment of 20 and over,..Hotels and motels,770,48592,48205,55164409,50008048,10807226,39200822,24307091,5546948,470851,0,3943124
Total employment of 20 and over,..Resort hotels,411,26585,26330,24821062,20761851,3987335,16774516,11666157,1530742,173461,0,871662
Total employment of 20 and over,..Condotels,11,508,508,417815,371387,78340,293047,177147,16866,693,0,0
Total employment of 20 and over,..Pension houses,10,219,206,78158,69375,18424,50950,33946,5015,21,0,0
Total employment of 20 and over,"..Other short term accommodation activities, n.e.c",10,1111,1110,712760,541415,229930,311486,426835,36654,8276,0,0
Total employment of 20 and over,..Restaurants,1639,65362,65274,116425863,91977499,13085044,78892456,42078038,13905797,309418,0,77482
Total employment of 20 and over,..Fast-food chains,2104,108800,108756,119271369,103117901,15182988,87934913,39185216,2177912,412933,0,0
Total employment of 20 and over,..Cafeterias,116,3020,2894,1735046,1544789,278189,1266600,532243,124053,17402,0,0
Total employment of 20 and over,"..Refreshment stands, kiosks and counters",71,2456,2443,1950585,1517152,190114,1327037,739599,30067,17551,0,0
Total employment of 20 and over,"..Other restaurants and mobile food service activities, n.e.c.",11,502,502,715560,669425,94878,574547,116907,3475,40981,0,0
Total employment of 20 and over,..Event catering,72,3937,3904,4604810,3762211,837614,2924597,1837812,79255,38769,0,0
Total employment of 20 and over,..Other food service activities,7,687,687,1261530,810029,130692,679337,572688,7226,16088,0,0
Total employment of 20 and over,..Night clubs,24,651,651,298762,263906,59849,204057,120205,120,-281,0,0
Total employment of 20 and over,..Bars and cocktail lounges,194,5047,4764,3439197,2995571,531852,2463719,1163126,5826,14961,0,0
