,,,,,,,,,,,,,Summary Statistics for Other Service Activities Establishments by Sizes Industry Sub-class: Philippines.
Size,Industry Description,2015 Number of establishments,2015 Employment,2015 Paid employees,2015 Income,2015 Expense,2015 Compensation,2015 Other expense,2015 Value added,2015 Gross additions to tangible fixed assets,2015 Change in inventories,2015 Subsidies,2015 Sales from e-commerce transactions
All employment sizes,Other Service Activities,10065,77581,70312,41593576,37837458,7582952,30254506,14389379,391400,-305156,0,0
All employment sizes,..Repair of computers and peripheral equipment,86,1642,1615,2110640,2015777,450803,1564974,711109,442,-39938,0,0
All employment sizes,..Repair of communications equipment,84,502,469,259939,237241,41331,195910,69712,873,4814,0,0
All employment sizes,..Repair of consumer electronics,138,964,929,1144929,1058513,117605,940908,240182,1034,-10526,0,0
All employment sizes,..Repair and servicing of household appliances,364,2787,2682,3082082,2937899,372249,2565650,563584,4102,239577,0,0
All employment sizes,..Repair and servicing of home and garden equipment,3,25,25,7264,6857,1895,4963,3274,0,0,0,0
All employment sizes,..Repair of boots and shoes,247,566,566,289919,284077,90403,193674,104087,0,-119,0,0
All employment sizes,..Repair of luggage and handbags,4,8,8,5138,5414,906,4508,798,0,0,0,0
All employment sizes,..Repair of wood furniture,42,214,65,32844,31672,6726,24946,10063,0,1745,0,0
All employment sizes,"..Repair of other furniture and fixtures, n.e.c.",3,31,31,16050,13966,3946,10020,6805,0,0,0,0
All employment sizes,"..Repair of personal and household goods, n.e.c.",247,1010,1010,498435,453922,128541,325381,224954,6466,2752,0,0
All employment sizes,..Spa activities,938,11268,11262,4941833,4306763,895491,3411271,2271722,3898,4778,0,0
All employment sizes,..Steam and bath activities,3,54,54,23471,20413,4813,15601,8558,0,-4,0,0
All employment sizes,..Slendering and body building activities,244,2172,1720,1452939,1236741,227199,1009543,561790,49497,-146,0,0
All employment sizes,..Beauty treatment and personal grooming activities,461,3914,3903,7977884,7652861,836616,6816245,1751040,22842,-21156,0,0
All employment sizes,..Beauty parlor activities,3092,28461,24815,6900234,6241476,2351023,3890452,3364914,181305,-46703,0,0
All employment sizes,..Barber shop activities,641,4027,3169,965550,879629,209751,669878,350707,0,-1183,0,0
All employment sizes,"..Other personal services for wellness activities, n.e.c.",467,3556,2923,1027019,913401,280509,632892,425438,0,-1499,0,0
All employment sizes,..Washing and dry cleaning of textile and fur products,1506,5694,5678,4972653,4312845,721791,3591054,1705577,56923,12805,0,0
All employment sizes,..Funeral and related activities,1472,10426,9131,5745588,5096331,805540,4290791,1962087,64018,-451489,0,0
All employment sizes,..Pet boarding activities,13,107,102,85392,83439,17861,65578,26066,0,1134,0,0
All employment sizes,"..Miscellaneous service activities, n.e.c.",10,154,154,53774,48219,17953,30266,26910,0,0,0,0
Total employment of 20 and over,Other Service Activities,428,15837,15562,10534657,9908748,2496458,7412290,3970740,170479,-41704,0,..
Total employment of 20 and over,..Repair of computers and peripheral equipment,16,1273,1267,1434791,1361946,404204,957742,625493,147,-10109,0,..
Total employment of 20 and over,..Repair of communications equipment,5,202,202,66556,59637,20912,38725,29125,834,0,0,..
Total employment of 20 and over,..Repair of consumer electronics,7,241,241,286000,241772,38807,202965,96203,79,-3151,0,..
Total employment of 20 and over,..Repair and servicing of household appliances,41,1274,1243,625166,605475,110393,495082,152736,4102,-5534,0,..
Total employment of 20 and over,..Repair and servicing of home and garden equipment,..,..,..,..,..,..,..,..,..,..,..,..
Total employment of 20 and over,..Repair of boots and shoes,..,..,..,..,..,..,..,..,..,..,..,..
Total employment of 20 and over,..Repair of luggage and handbags,..,..,..,..,..,..,..,..,..,..,..,..
Total employment of 20 and over,..Repair of wood furniture,s,s,s,s,s,s,s,s,s,s,s,s
Total employment of 20 and over,"..Repair of other furniture and fixtures, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..
Total employment of 20 and over,"..Repair of personal and household goods, n.e.c.",3,97,97,40962,39576,8481,31095,12206,223,0,0,..
Total employment of 20 and over,..Spa activities,67,2988,2982,1299971,1211346,300852,910493,603450,3898,4778,0,..
Total employment of 20 and over,..Steam and bath activities,s,s,s,s,s,s,s,s,s,s,s,s
Total employment of 20 and over,..Slendering and body building activities,41,1204,1202,1221884,1028741,180439,848301,439939,11997,-146,0,..
Total employment of 20 and over,..Beauty treatment and personal grooming activities,27,941,930,1328606,1289486,195752,1093734,321361,22842,-21156,0,..
Total employment of 20 and over,..Beauty parlor activities,131,3616,3582,1494930,1435567,618457,817110,719555,15812,-3268,0,..
Total employment of 20 and over,..Barber shop activities,12,330,242,196478,190680,30683,159997,52529,0,-2,0,..
Total employment of 20 and over,"..Other personal services for wellness activities, n.e.c.",17,413,370,170527,163835,43520,120316,53980,0,334,0,..
Total employment of 20 and over,..Washing and dry cleaning of textile and fur products,19,1952,1952,1044815,1014644,318340,696305,439205,46527,-1711,0,..
Total employment of 20 and over,..Funeral and related activities,33,1063,1020,1243110,1190762,199119,991643,387704,64018,-2770,0,..
Total employment of 20 and over,..Pet boarding activities,s,s,s,s,s,s,s,s,s,s,s,s
Total employment of 20 and over,"..Miscellaneous service activities, n.e.c.",5,134,134,29522,25342,13967,11375,20963,0,0,0,..
Total employment of less than 20,Other Service Activities,9637,61744,54749,31058919,27928710,5086493,22842216,10418640,220921,-263452,0,0
Total employment of less than 20,..Repair of computers and peripheral equipment,70,369,348,675849,653830,46598,607232,85616,295,-29829,0,0
Total employment of less than 20,..Repair of communications equipment,79,300,267,193383,177605,20420,157185,40588,39,4814,0,0
Total employment of less than 20,..Repair of consumer electronics,131,723,688,858929,816740,78797,737943,143979,956,-7375,0,0
Total employment of less than 20,..Repair and servicing of household appliances,323,1513,1439,2456916,2332424,261856,2070569,410848,0,245111,0,0
Total employment of less than 20,..Repair and servicing of home and garden equipment,3,25,25,7264,6857,1895,4963,3274,0,0,0,0
Total employment of less than 20,..Repair of boots and shoes,247,566,566,289919,284077,90403,193674,104087,0,-119,0,0
Total employment of less than 20,..Repair of luggage and handbags,4,8,8,5138,5414,906,4508,798,0,0,0,0
Total employment of less than 20,..Repair of wood furniture,41,194,55,30489,30006,6038,23969,8679,0,1745,0,0
Total employment of less than 20,"..Repair of other furniture and fixtures, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s
Total employment of less than 20,"..Repair of personal and household goods, n.e.c.",244,913,913,457473,414346,120060,294287,212748,6242,2752,0,0
Total employment of less than 20,..Spa activities,871,8280,8280,3641862,3095417,594639,2500778,1668272,0,0,0,0
Total employment of less than 20,..Steam and bath activities,s,s,s,s,s,s,s,s,s,s,s,s
Total employment of less than 20,..Slendering and body building activities,203,968,518,231055,208001,46759,161242,121851,37500,0,0,0
Total employment of less than 20,..Beauty treatment and personal grooming activities,434,2973,2973,6649278,6363375,640864,5722511,1429679,0,0,0,0
Total employment of less than 20,..Beauty parlor activities,2961,24845,21233,5405304,4805909,1732566,3073342,2645359,165493,-43435,0,0
Total employment of less than 20,..Barber shop activities,629,3696,2927,769072,688949,179068,509881,298179,0,-1181,0,0
Total employment of less than 20,"..Other personal services for wellness activities, n.e.c.",450,3143,2553,856492,749566,236990,512576,371458,0,-1833,0,0
Total employment of less than 20,..Washing and dry cleaning of textile and fur products,1487,3742,3726,3927838,3298201,403452,2894749,1266372,10395,14516,0,0
Total employment of less than 20,..Funeral and related activities,1439,9363,8112,4502478,3905569,606421,3299148,1574383,0,-448719,0,0
Total employment of less than 20,..Pet boarding activities,11,40,35,39381,37951,7051,30901,12506,0,105,0,0
Total employment of less than 20,"..Miscellaneous service activities, n.e.c.",5,20,20,24252,22877,3986,18891,5947,0,0,0,0
