,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Administrative and Support Service Activities Establishments
Industry Description,2016 Number of Establishments All Employment Sizes,2016 Number of Establishments Total Employment of 20 and Over,2016 Number of Establishments Total Employment of Less than 20,2016 Total Employment All Employment Sizes,2016 Total Employment Total Employment of 20 and Over,2016 Total Employment Total Employment of Less than 20,2016 Paid Employees All Employment Sizes,2016 Paid Employees Total Employment of 20 and Over,2016 Paid Employees Total Employment of Less than 20,2016 Total Income All Employment Sizes,2016 Total Income Total Employment of 20 and Over,2016 Total Income Total Employment of Less than 20,2016 Total Expense All Employment Sizes,2016 Total Expense Total Employment of 20 and Over,2016 Total Expense Total Employment of Less than 20,2016 Compensation All Employment Sizes,2016 Compensation Total Employment of 20 and Over,2016 Compensation Total Employment of Less than 20,2016 Other Expense All Employment Sizes,2016 Other Expense Total Employment of 20 and Over,2016 Other Expense Total Employment of Less than 20,2016 Value Added All Employment Sizes,2016 Value Added Total Employment of 20 and Over,2016 Value Added Total Employment of Less than 20,2016 Gross Additions to Fixed Assets All Employment Sizes,2016 Gross Additions to Fixed Assets Total Employment of 20 and Over,2016 Gross Additions to Fixed Assets Total Employment of Less than 20,2016 Change in Inventories All Employment Sizes,2016 Change in Inventories Total Employment of 20 and Over,2016 Change in Inventories Total Employment of Less than 20,2016 Subsidies All Employment Sizes,2016 Subsidies Total Employment of 20 and Over,2016 Subsidies Total Employment of Less than 20,2016 E-Commerce Sales All Employment Sizes,2016 E-Commerce Sales Total Employment of 20 and Over,2016 E-Commerce Sales Total Employment of Less than 20
Administrative and Support Service Activities,7077,1872,5205,1053054,1020449,32605,1051268,1019827,31441,490350583,456663685,33686897,421846884,393251951,28594933,260523669,253615243,6908427,161323215,139636709,21686506,349806612,331354615,18451997,17049444,16074597,974848,9648,6757,2892,9195162,9195162,0,603641,603641,0
..Renting and leasing of motor vehicles,26,3,23,406,147,259,390,144,246,1555052,1305716,249335,1374630,1150408,224222,71743,51025,20718,1302887,1099383,203504,1237233,1174499,62734,716815,709432,7382,0,0,0,0,0,0,0,0,0
..Renting and leasing of recreational and sports goods,21,3,18,282,160,122,282,160,122,71936,44781,27155,56761,31012,25749,28343,19533,8810,28418,11479,16939,48291,37389,10902,0,0,0,0,0,0,0,0,0,0,0,0
..Renting of video tapes and disks,92,s,s,287,s,s,287,s,s,80594,s,s,78509,s,s,25352,s,s,53157,s,s,41949,s,s,12234,s,s,0,s,s,0,s,s,0,s,s
..Renting of wearing apparel,177,s,s,400,s,s,394,s,s,108812,s,s,96353,s,s,21497,s,s,74857,s,s,37663,s,s,1106,s,s,22194,s,s,0,s,s,0,s,s
..Renting of furniture,6,s,s,44,s,s,44,s,s,2634,s,s,2304,s,s,1625,s,s,679,s,s,2012,s,s,0,s,s,0,s,s,0,s,s,0,s,s
..Renting of audio-video machines,18,3,15,208,146,62,208,146,62,138606,116157,22449,124930,103431,21499,20815,14421,6394,104115,89009,15105,50733,40392,10341,0,0,0,0,0,0,0,0,0,0,0,0
"..Renting of personal and household goods, n.e.c.",24,4,20,181,127,54,181,127,54,73534,54630,18904,59421,42705,16716,21630,18365,3265,37791,24340,13451,40049,33711,6338,0,0,0,2011,1752,259,0,0,0,0,0,0
..Renting of land transport equipment,11,..,11,105,..,105,103,..,103,39170,..,39170,36727,..,36727,5337,..,5337,31390,..,31390,18495,..,18495,0,..,0,0,..,0,0,..,0,0,..,0
