,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summary Statistics for Financial and Insurance Activities Establishments
Industry Description,2016 Number of Establishments All Employment Sizes,2016 Number of Establishments Total Employment of 20 and Over,2016 Number of Establishments Total Employment of Less than 20,2016 Total Employment All Employment Sizes,2016 Total Employment Total Employment of 20 and Over,2016 Total Employment Total Employment of Less than 20,2016 Paid Employees All Employment Sizes,2016 Paid Employees Total Employment of 20 and Over,2016 Paid Employees Total Employment of Less than 20,2016 Total Income All Employment Sizes,2016 Total Income Total Employment of 20 and Over,2016 Total Income Total Employment of Less than 20,2016 Total Expense All Employment Sizes,2016 Total Expense Total Employment of 20 and Over,2016 Total Expense Total Employment of Less than 20,2016 Compensation All Employment Sizes,2016 Compensation Total Employment of 20 and Over,2016 Compensation Total Employment of Less than 20,2016 Other Expense All Employment Sizes,2016 Other Expense Total Employment of 20 and Over,2016 Other Expense Total Employment of Less than 20,2016 Value Added All Employment Sizes,2016 Value Added Total Employment of 20 and Over,2016 Value Added Total Employment of Less than 20,2016 Gross Additions to Fixed Assets All Employment Sizes,2016 Gross Additions to Fixed Assets Total Employment of 20 and Over,2016 Gross Additions to Fixed Assets Total Employment of Less than 20,2016 Change in Inventories All Employment Sizes,2016 Change in Inventories Total Employment of 20 and Over,2016 Change in Inventories Total Employment of Less than 20,2016 Subsidies All Employment Sizes,2016 Subsidies Total Employment of 20 and Over,2016 Subsidies Total Employment of Less than 20,2016 E-Commerce Sales All Employment Sizes,2016 E-Commerce Sales Total Employment of 20 and Over,2016 E-Commerce Sales Total Employment of Less than 20
Financial and insurance activities,7416,1376,6040,443617,326602,117015,441665,326095,115571,1597406149,1464134697,133271451,1047815511,984852252,62963258,215017579,204113801,10903779,832797931,780738452,52059480,954200744,860412996,93787748,14739124,12366315,2372809,-368369,-354191,-14179,6744901,6744901,0,0,0,0
..Expanded commercial banking (universal banking),19,19,..,101383,101383,..,101383,101383,..,477691259,477691259,..,326482670,326482670,..,88849918,88849918,..,237632752,237632752,..,299506386,299506386,..,2737836,2737836,..,4572,4572,..,0,0,..,0,0,..
..Regular commercial banking,18,s,s,9765,s,s,9765,s,s,52891153,s,s,45153982,s,s,11751310,s,s,33402672,s,s,26203887,s,s,929392,s,s,0,s,s,0,s,s,0,s,s
..Savings and mortgage banking,50,42,8,21274,21171,103,21274,21171,103,70826691,70725653,101038,54968846,54868148,100698,11585358,11552836,32523,43383487,43315312,68175,36768651,36721109,47542,916392,916392,0,-157025,-156982,-43,0,0,0,0,0,0
..Private development banking,9,9,..,2207,2207,..,2207,2207,..,3813129,3813129,..,2995394,2995394,..,793649,793649,..,2201745,2201745,..,2176566,2176566,..,186933,186933,..,299,299,..,0,0,..,0,0,..
..Stock savings and loan activities,4,4,..,150,150,..,150,150,..,238220,238220,..,206449,206449,..,77716,77716,..,128733,128733,..,137054,137054,..,6380,6380,..,-51,-51,..,0,0,..,0,0,..
..Regular rural banking,497,246,251,28415,25281,3134,28375,25241,3134,32274565,29863384,2411181,26227454,24381647,1845807,7236680,6674379,562301,18990774,17707269,1283506,19306086,17928199,1377888,2546841,2543880,2961,32041,31213,828,0,0,0,0,0,0
..Cooperative rural banking,29,15,14,1618,1266,352,1618,1266,352,1892841,1483462,409379,1666032,1300396,365636,571506,460418,111089,1094526,839978,254548,1032007,819298,212710,3340,3670,-330,-484,-710,227,0,0,0,0,0,0
..Specialized government banking,3,s,s,10356,s,s,10356,s,s,68828830,s,s,49737016,s,s,11692154,s,s,38044862,s,s,37235091,s,s,1689131,s,s,-1046,s,s,5829000,s,s,0,s,s
"..Banking activities, n.e.c.",3,s,s,107,s,s,107,s,s,1166153,s,s,981595,s,s,135866,s,s,845728,s,s,792878,s,s,6626,s,s,-1873,s,s,101884,s,s,0,s,s
..Activities of holding companies,237,49,188,6621,5853,768,6581,5852,729,269724499,184814150,84910349,76671303,57920256,18751047,8731149,7844079,887070,67940154,50076177,17863977,235955396,163096570,72858825,995210,984039,11171,-98027,-720,-97307,0,0,0,0,0,0
..Investment company operation,44,7,37,660,315,345,660,315,345,24977355,24064126,913228,10771089,10250005,521084,1457505,1206478,251027,9313584,9043527,270057,19925135,19208295,716840,50350,50058,292,-482,81,-563,0,0,0,0,0,0
..Investment house operation,59,16,43,1474,1304,169,1474,1304,169,7279693,7005923,273770,4573998,4447814,126184,1337776,1289619,48157,3236222,3158195,78027,6020984,5807271,213713,106406,106515,-109,1764,1764,0,0,0,0,0,0,0
"..Securities dealership, own account",52,14,38,784,546,238,780,542,238,6658091,6209206,448884,5845968,4108361,1737608,2000317,1946424,53894,3845651,2161937,1683714,2908895,4117177,-1208282,20220,20220,0,-7765,0,-7765,0,0,0,0,0,0
..Trust and investment management corporation operation,4,s,s,65,s,s,65,s,s,2186732,s,s,1862809,s,s,69719,s,s,1793090,s,s,665724,s,s,42373,s,s,-1485,s,s,0,s,s,0,s,s
..Financial leasing,8,s,s,205,s,s,205,s,s,2792754,s,s,1964046,s,s,179983,s,s,1784063,s,s,1774458,s,s,2129,s,s,6,s,s,0,s,s,0,s,s
..Credit card activities,13,4,9,1721,1630,91,1721,1630,91,14236174,13977704,258470,10020571,9824018,196552,1766990,1741862,25128,8253580,8082156,171424,12100913,11973919,126994,86176,70597,15579,0,0,0,0,0,0,0,0,0
..Lending investor activities,1305,172,1133,95390,18557,76833,95201,18470,76730,11380012,8394645,2985367,8891607,6805193,2086414,3972435,2997512,974923,4919172,3807680,1111491,8494346,6210609,2283737,149738,134951,14787,16033,25711,-9679,31633,31633,0,0,0,0
..Financing company operations,372,116,256,31025,26879,4147,31018,26872,4147,64301181,61941527,2359653,42345533,40413157,1932376,8780675,7871320,909356,33564857,32541837,1023020,43126227,41586512,1539715,324689,321049,3640,-116472,-118247,1776,750000,750000,0,0,0,0
"..Other credit granting, n.e.c",61,23,38,16081,15449,632,15981,15449,532,11965958,10048350,1917608,9959704,7039904,2919800,4825632,3746338,1079293,5134072,3293566,1840506,8655457,7773702,881755,429668,104873,324794,-492,-492,0,0,0,0,0,0,0
..Pawnshop operations,1292,153,1139,27089,21660,5429,26967,21623,5344,16131823,14463792,1668031,13305730,11865532,1440198,5559677,4917827,641850,7746054,6947705,798349,10244054,9214358,1029695,120326,120326,0,461,461,0,15172,15172,0,0,0,0
..Mutual building and loan association operation,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
..Non-stock savings and loan association operation,66,12,54,2836,2419,417,2726,2419,307,28817308,28636580,180728,21027271,20929470,97802,1288974,1241313,47661,19738297,19688157,50140,10765533,10626970,138563,281097,279783,1314,324,-200,524,0,0,0,0,0,0
..Credit cooperative activities,2351,224,2127,37774,18772,19002,36524,18528,17995,35660735,25817288,9843447,24959866,17186352,7773514,7899856,4579511,3320345,17060010,12606841,4453169,22279847,15152141,7127706,2993803,1082474,1911329,21724,-72708,94433,17213,17213,0,0,0,0
..Mutual benefit association operation,17,7,10,1509,1426,83,1509,1426,83,11205350,10923807,281543,6982993,6730512,252481,844015,814057,29957,6138979,5916455,222524,5503284,5389040,114243,67610,67610,0,3616,2544,1072,0,0,0,0,0,0
"..Non-bank thrift institution operations, n.e.c.",s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..
..Life insurance,39,28,11,10170,10113,57,10170,10113,57,202000934,201930576,70358,153856444,153814453,41992,14969516,14959305,10211,138886928,138855147,31781,66742229,66696399,45830,-1696527,-1696527,0,750,750,0,0,0,0,0,0,0
..Non-life insurance,96,62,34,11920,10837,1083,11920,10837,1083,65569396,54264247,11305149,57472693,46460378,11012315,7116064,6381881,734183,50356629,40078497,10278132,17753091,16579961,1173130,1006088,1005822,266,-32719,-36803,4084,0,0,0,0,0,0
..Pension funding,6,3,3,210,190,20,210,190,20,943212,922268,20944,472006,453955,18050,140151,132853,7298,331854,321103,10752,486691,476293,10398,1273,1273,0,135,135,0,0,0,0,0,0,0
..Administration of financial markets,4,s,s,163,s,s,163,s,s,1775831,s,s,807687,s,s,232573,s,s,575114,s,s,1313932,s,s,196,s,s,0,s,s,0,s,s,0,s,s
..Security and commodity contracts brokerage,45,11,34,612,323,290,612,323,290,2498771,2142097,356674,2122750,1869442,253308,584656,466719,117937,1538094,1402723,135371,1122212,875059,247153,5651,5359,292,0,0,0,0,0,0,0,0,0
