,,,,,,,,,,,,,,"Summary Statistics for Arts, Entertainment and Recreation  Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
PHILIPPINES,"Arts, Entertainment and Recreation",3321,80125,78183,10582,241913952,190494700,31020688,159474012,119084671,12518810,290994,2733812,304290
PHILIPPINES,"..Creative, arts and entertainment activities",65,1491,1193,8,1253825,1047355,296438,750917,488295,69139,466,-,298058
PHILIPPINES,"..Libraries, archives, museums and other cultural activities",56,2018,1956,64,1489015,1199962,419696,780265,756842,404080,-11358,18691,5500
PHILIPPINES,..Gambling and betting activities,1063,39140,38847,5446,206637964,161392073,22152890,139239183,99689849,2238894,182057,2674987,-
PHILIPPINES,..Sports activities,492,11221,10515,3008,10970939,8947753,2462644,6485109,6062378,899320,-11562,-,-
PHILIPPINES,..Other amusement and recreation activities,1645,26256,25672,2056,21562208,17907557,5689019,12218538,12087307,8907378,131392,40134,732
..National Capital Region,"Arts, Entertainment and Recreation",719,37352,37344,643,169913373,131130744,21266842,109863902,91573924,3025536,250007,2675032,303058
..National Capital Region,"..Creative, arts and entertainment activities",34,777,777,-,1208794,1010284,280126,730158,462258,69117,786,-,298058
..National Capital Region,"..Libraries, archives, museums and other cultural activities",11,300,300,2,759488,636642,130188,506455,226926,161736,-4042,-,5000
..National Capital Region,..Gambling and betting activities,313,26076,26076,546,156625735,120146070,17542208,102603862,84102930,1672925,174127,2674987,-
..National Capital Region,..Sports activities,87,3387,3379,9,2710959,2187345,731490,1455854,1608533,85856,-1059,-,-
..National Capital Region,..Other amusement and recreation activities,275,6812,6812,86,8608396,7150403,2582831,4567572,5173278,1035902,80195,45,-
..Cordillera Administrative Region,"Arts, Entertainment and Recreation",45,412,361,8,299015,245039,57405,187634,137839,-,7258,-,500
..Cordillera Administrative Region,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Cordillera Administrative Region,"..Libraries, archives, museums and other cultural activities",4,32,28,-,17297,14301,4176,10125,8610,-,635,-,500
..Cordillera Administrative Region,..Gambling and betting activities,16,97,93,-,54271,46143,12224,33919,22879,-,-,-,-
..Cordillera Administrative Region,..Sports activities,12,103,103,8,170332,136655,24958,111697,78064,-,1279,-,-
..Cordillera Administrative Region,..Other amusement and recreation activities,13,180,137,-,57116,47939,16047,31893,28286,-,5344,-,-
..Ilocos Region,"Arts, Entertainment and Recreation",74,1752,1619,282,2864040,2197382,673545,1523838,1833372,228000,-7917,-,-
..Ilocos Region,"..Creative, arts and entertainment activities",9,254,163,-,17068,14873,8074,6799,12473,-,-1,-,-
..Ilocos Region,"..Libraries, archives, museums and other cultural activities",c,c,c,c,c,c,c,c,c,c,c,c,c
..Ilocos Region,..Gambling and betting activities,17,1081,1081,282,2717694,2076747,638876,1437871,1741556,228000,-2217,-,-
..Ilocos Region,..Sports activities,18,148,144,-,43198,35159,6968,28191,16062,-,-7174,-,-
..Ilocos Region,..Other amusement and recreation activities,31,269,232,-,86081,70604,19627,50977,63282,-,1476,-,-
..Cagayan Valley,"Arts, Entertainment and Recreation",67,1438,1341,-,944844,710740,499270,211469,766704,-,-2986,-,-
..Cagayan Valley,"..Creative, arts and entertainment activities",,,,,,,,,,,,,
..Cagayan Valley,"..Libraries, archives, museums and other cultural activities",,,,,,,,,,,,,
..Cagayan Valley,..Gambling and betting activities,15,1037,1037,-,815055,608618,460769,147849,685186,-,-,-,-
..Cagayan Valley,..Sports activities,12,57,15,-,4388,3561,1132,2430,2145,-,-1039,-,-
..Cagayan Valley,..Other amusement and recreation activities,41,344,289,-,125400,98560,37370,61191,79373,-,-1946,-,-
..Central Luzon,"Arts, Entertainment and Recreation",379,6259,6059,2518,14253050,11473273,1791540,9681732,5661096,1041022,-12109,-,-
..Central Luzon,"..Creative, arts and entertainment activities",7,144,70,-,6226,5106,3130,1976,4771,-,-291,-,-
..Central Luzon,"..Libraries, archives, museums and other cultural activities",5,307,307,25,72401,56043,39015,17029,54451,2371,-,-,-
..Central Luzon,..Gambling and betting activities,113,2915,2915,1353,9078226,7048372,1018998,6029374,3417086,121013,-,-,-
..Central Luzon,..Sports activities,46,1064,938,-,993221,806748,228855,577892,633052,204103,2754,-,-
..Central Luzon,..Other amusement and recreation activities,210,1830,1830,1140,4102976,3557004,501542,3055462,1551737,713535,-14572,-,-
..CALABARZON,"Arts, Entertainment and Recreation",527,8915,8486,3817,33696340,28666270,2654813,26011457,9418937,7409737,12771,-,-
..CALABARZON,"..Creative, arts and entertainment activities",6,344,217,-,7975,6922,6083,839,7387,-,-16,-,-
..CALABARZON,"..Libraries, archives, museums and other cultural activities",3,96,90,-,19146,15032,6245,8787,21519,-,-10001,-,-
..CALABARZON,..Gambling and betting activities,184,2886,2620,762,26089926,22501995,1099279,21402715,5243524,16867,2908,-,-
..CALABARZON,..Sports activities,70,3126,3096,2585,5222734,4286250,1078343,3207907,2706873,599791,-5365,-,-
..CALABARZON,..Other amusement and recreation activities,263,2463,2463,470,2356559,1856071,464863,1391209,1439634,6793079,25246,-,-
..MIMAROPA Region,"Arts, Entertainment and Recreation",102,1344,1264,-,598327,480866,150469,330397,378428,1519,4204,-,-
