,,,,,,,,,,,,,,"Table 1. Summary Statistics for Professional, Scientific and Technical Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number  of  Establishments,2019 Total Employment  a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total  Revenue,2019 Total Expense,2019 Compensation,2019 Other Expense,2019 Value Added,2019 Gross Additions To Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce,2019 Subsidies
PHILIPPINES,"Professional, Scientific and Technical Activities",5639,168168,167299,4094,281949802,249663142,70063410,179599732,131715933,7486888,207440,-,467386
PHILIPPINES,..Legal activities,1075,10686,10351,46,14190817,8492793,2897157,5595636,9565964,494596,13540,-,-
PHILIPPINES,"..Accounting, bookkeeping and auditing activities;  tax consultancy",494,30466,30431,168,31700418,25338229,7481227,17857002,14554271,292336,1534,-,-
PHILIPPINES,..Activities of head offices,77,3545,3545,165,60970315,60588691,3415000,57173692,24965697,554368,-48508,-,-
PHILIPPINES,..Management consultancy activities,744,26105,26053,1333,39336856,33559217,17185253,16373964,23943904,1771183,971,-,-
PHILIPPINES,..Architectural and engineering activities  and related technical consultancy,660,40604,40472,844,54193950,48097746,19590992,28506754,27315875,906920,50086,-,-
PHILIPPINES,..Technical testing and analysis,517,6477,6436,77,4818338,4061424,1442945,2618479,2471843,260075,1235,-,2658
PHILIPPINES,..Research and experimental development  on natural sciences and engineering,42,1856,1856,782,2319547,2082133,932851,1149282,1401022,8042,-368,-,6219
PHILIPPINES,..Research and experimental development  on social sciences and humanities,14,762,762,-,774704,1024760,259361,765398,53080,327188,-,-,458509
PHILIPPINES,..Research and experimental development  in information technology,22,3903,3897,18,4393599,3986935,2586108,1400827,3318008,157282,-,-,-
PHILIPPINES,..Advertising,543,21151,21004,294,40337262,37961585,9013060,28948525,12783871,651360,-135543,-,-
PHILIPPINES,..Market research and public opinion polling,55,5753,5753,32,5324737,4938153,1257727,3680426,1865510,175730,-,-,-
PHILIPPINES,..Specialized design activities,60,1356,1353,86,1213119,820503,415326,405177,852819,286589,12514,-,-
PHILIPPINES,..Photographic activities,913,10620,10545,231,17083646,14462500,2335994,12126506,6157180,1543834,283103,-,-
PHILIPPINES,"..Other professional, scientific and technical activities, n.e.c.",102,2223,2203,4,1402947,1352344,550348,801997,701519,4521,39,-,-
PHILIPPINES,..Veterinary activities,322,2663,2636,14,3889546,2896129,700060,2196069,1765371,52863,28836,-,-
..National Capital Region,"Professional, Scientific and Technical Activities",3048,124259,123881,2216,239907411,215858404,57652744,158205660,110029973,5249381,-84676,-,458509
..National Capital Region,..Legal activities,604,7631,7449,46,13224045,7846587,2610024,5236563,8897769,326859,13789,-,-
..National Capital Region,"..Accounting, bookkeeping and auditing activities;  tax consultancy",263,24923,24923,82,27423675,22763800,6077911,16685889,11387442,213331,668,-,-
..National Capital Region,..Activities of head offices,69,3388,3388,119,60472051,60206345,3367791,56838554,24771669,543153,-48788,-,-
..National Capital Region,..Management consultancy activities,611,19915,19877,951,32473009,28478243,14530179,13948063,19861478,1687457,1898,-,-
..National Capital Region,..Architectural and engineering activities  and related technical consultancy,389,28017,27952,529,44568745,39421140,15728371,23692770,22294748,804083,-16374,-,-
..National Capital Region,..Technical testing and analysis,105,2686,2686,57,2245779,1810268,484674,1325594,1025682,154672,-1076,-,-
..National Capital Region,..Research and experimental development  on natural sciences and engineering,27,1350,1350,26,1544255,1450637,799502,651135,1116905,6898,286,-,-
..National Capital Region,..Research and experimental development  on social sciences and humanities,11,610,610,-,388079,608182,193405,414777,13032,304010,-,-,458509
..National Capital Region,..Research and experimental development  in information technology,18,2000,1994,9,2171251,2033224,1299482,733743,1606072,83635,-,-,-
..National Capital Region,..Advertising,353,18368,18282,157,38236062,36226248,8665308,27560940,12040866,556646,-23020,-,-
..National Capital Region,..Market research and public opinion polling,51,5372,5372,32,5204766,4824814,1191366,3633448,1790501,175477,-,-,-
