,,,,,,,,,,,,,,,"Summary Statistics for Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2019 Number of Establishments,2019 Total Employment a/,2019 Paid Employees a/,2019 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2019 Total Revenue,2019 Total  Expense,2019 Compensation,2019 Other Expense,2019 Gross Margin,2019 Value Added,2019 Gross Additions  to Tangible Fixed Assets,2019 Change  in Inventories,2019 Sales from E-Commerce Transactions,2019 Subsidies
PHILIPPINES,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,116704,1577053,1552065,188572,8912679243,8356087624,317879099,8038208526,1513935531,1117528592,70315021,46380681,19020015,4096774
PHILIPPINES,..Sale of motor vehicles,1452,56432,56291,5210,571372113,543160955,17262432,525898523,62217138,60486526,4139083,6699898,-,-
PHILIPPINES,..Maintenance and repair of motor vehicles,2520,26586,25731,1308,29756930,25677233,3981628,21695605,-,8989421,485655,-218951,-,-
PHILIPPINES,..Sale of motor vehicle parts and accessories,4209,53839,52900,1690,221687002,210488363,9400282,201088081,27902842,27057015,1035788,-2332402,-,-
PHILIPPINES,"..Sale, maintenance and repair of mo torcycles and related parts and accessories",7772,73948,73535,1069,273865229,260473372,12330368,248143004,33514542,28032725,998595,-1151622,-,-
PHILIPPINES,..Wholesale on a fee or contract basis,426,15343,15324,1631,65086057,52569121,4147266,48421855,-,19093010,376083,5780,-,-
PHILIPPINES,..Wholesale of agricultural raw materials and live animals,1665,28843,27916,2865,303206232,296695604,3492606,293202998,16496084,12776312,766509,-16649356,-,18117
PHILIPPINES,"..Wholesale of food, beverages and tobacco",2680,87914,87661,20046,621694192,603760963,18942073,584818890,74498648,44936971,-162293,7771780,-,233
PHILIPPINES,..Wholesale of household goods,5602,126947,126049,12968,735333330,692722485,34787311,657935173,144065027,100564455,16106003,4215084,96839,8210
PHILIPPINES,"..Wholesale of machinery, equipment and supplies",2497,51949,51696,2700,310733307,290603396,16945886,273657510,59271789,48373791,4738039,6871080,19910,3009
PHILIPPINES,..Other specialized wholesale,3649,80631,79988,5557,990312873,839688292,20830738,818857554,278553296,246600799,7945058,-3873430,-,-
PHILIPPINES,..Non-specialized wholesale trade,93,1657,1657,2,8669051,8226005,318429,7907576,1505256,871639,82584,327692,-,-
PHILIPPINES,..Retail sale in non-specialized stores,11382,295332,292928,88057,1671239295,1567498628,45509990,1521988638,300122086,188047738,8364078,2891112,14187,53570
PHILIPPINES,"..Retail sale of food, beverages and tobacco in specialized stores",9861,72876,68395,4139,229261868,205759795,9584147,196175648,58999958,37018616,568287,2544430,-,333870
PHILIPPINES,..Retail sale of automotive fuel in specialized stores,6394,73175,72816,5351,721003210,692643559,11251436,681392123,60051840,48370557,2964814,3511586,-,6902
PHILIPPINES,..Retail sale of information and communications equipment in specialized stores,5640,51724,51101,1553,301582220,286882210,10008931,276873279,37715897,29092781,779226,6420939,1955,-
PHILIPPINES,..Retail sale of other household equipment in specialized stores,14938,194349,191772,16045,676972741,635372311,29556944,605815368,127359778,86765953,7601928,9632164,326500,960737
