,,,,,,,,,,,,,,"Summary Statistics for Human Health and Social Work Activities Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number of Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions  to Tangible Fixed Assets,2020 Change  in Inventories,2020 Sales from E-Commerce Transactions,2020 Subsidies
PHILIPPINES,Human Health and Social Work Activities,7217,218465,215614,10550,252446272,212481439,53497132,158984307,119592446,25641727,-268785,-,314516
PHILIPPINES,..Hospital activities,1240,159733,158770,9287,180114937,151471727,41063736,110407991,89417676,20577080,-129083,-,216057
PHILIPPINES,..Medical and dental practice activities,5146,45153,44309,1108,54276186,46118404,9738323,36380081,22646509,3791398,-130150,-,83605
PHILIPPINES,..Other human health activities,307,3757,3575,6,2195138,1818386,468881,1349505,1083174,22996,-1893,-,20
PHILIPPINES,..Residential nursing care facilities,s,s,s,s,s,s,s,s,s,s,s,s,s
PHILIPPINES,"..Residential care activities for mental retardation,  mental health and substance abuse",78,880,774,8,338348,271369,112660,158708,210656,887,-2824,-,-
PHILIPPINES,..Residential care activities for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
PHILIPPINES,"..Other residential care activities, n.e.c.",115,2315,2257,9,2007011,1967389,661000,1306389,1004378,557774,-334,-,3991
PHILIPPINES,..Social work activities without accommodation  for the elderly and disabled,11,78,73,2,101944,91824,28186,63639,43941,-,-888,-,265
PHILIPPINES,"..Other social work activities without accommodation, n.e.c.",311,6452,5778,117,13378668,10710569,1416321,9294248,5167623,691258,-3613,-,9419
..National Capital Region,Human Health and Social Work Activities,2279,70413,69121,3557,112736229,97001339,23779663,73221676,52210936,16666981,118985,-,123951
..National Capital Region,..Hospital activities,179,41971,41624,2879,73195810,61543130,16367180,45175950,36624538,12809310,132199,-,40376
..National Capital Region,..Medical and dental practice activities,1778,21271,21000,650,27991943,25550728,5753305,19797423,11338192,2918789,-11827,-,83331
..National Capital Region,..Other human health activities,136,2341,2341,..,1254044,1089197,286245,802952,535319,-,-,-,-
..National Capital Region,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..National Capital Region,"..Residential care activities for mental retardation,  mental health and substance abuse",40,376,307,2,160047,122830,43088,79742,94936,-,-,-,-
..National Capital Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..National Capital Region,"..Other residential care activities, n.e.c.",41,1531,1526,2,1539838,1585450,526242,1059208,720757,527683,-,-,-
..National Capital Region,..Social work activities without accommodation  for the elderly and disabled,4,29,29,..,66785,60596,17753,42843,26825,-,-877,-,245
..National Capital Region,"..Other social work activities without accommodation, n.e.c.",101,2895,2295,25,8527763,7049408,785850,6263558,2870370,411199,-509,-,-
..Cordillera Administrative Region,Human Health and Social Work Activities,155,2906,2850,3,2854691,2179974,529313,1650661,1385824,39711,33966,-,187
..Cordillera Administrative Region,..Hospital activities,14,1981,1959,..,1863781,1278587,367489,911099,1070444,37154,26333,-,-
..Cordillera Administrative Region,..Medical and dental practice activities,123,771,746,..,916071,829850,131873,697977,268765,1357,9140,-,167
..Cordillera Administrative Region,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Residential nursing care facilities,c,c,c,c,c,c,c,c,c,c,c,c,c
..Cordillera Administrative Region,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Cordillera Administrative Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Cordillera Administrative Region,"..Other residential care activities, n.e.c.",5,40,40,-,19627,24194,9312,14881,12813,-,-7,-,-
..Cordillera Administrative Region,..Social work activities without accommodation  for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,"..Other social work activities without accommodation, n.e.c.",11,101,92,3,51778,44062,19235,24827,31920,1200,-1500,-,-
..Ilocos Region,Human Health and Social Work Activities,309,8176,7788,220,7369303,5677849,1513759,4164090,3639039,92044,64048,-,136587
..Ilocos Region,..Hospital activities,75,6778,6478,220,6510441,5103839,1312469,3791371,3123651,91048,42714,-,136522
..Ilocos Region,..Medical and dental practice activities,214,1277,1192,..,768615,496167,171415,324752,467807,996,24387,-,-
..Ilocos Region,..Other human health activities,12,86,86,..,44326,36190,16163,20028,29001,-,-2961,-,-
..Ilocos Region,..Residential nursing care facilities,,,,,,,,,,,,,
..Ilocos Region,"..Residential care activities for mental retardation,  mental health and substance abuse",c,c,c,c,c,c,c,c,c,c,c,c,c
..Ilocos Region,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Ilocos Region,"..Other residential care activities, n.e.c.",3,13,13,-,13968,11507,2684,8823,5543,-,-,-,-
..Ilocos Region,..Social work activities without accommodation  for the elderly and disabled,,,,,,,,,,,,,
..Ilocos Region,"..Other social work activities without accommodation, n.e.c.",5,23,20,..,31953,30145,11028,19117,13038,-,-93,-,65
..Cagayan Valley,Human Health and Social Work Activities,133,4935,4935,92,4705663,3695464,907608,2787856,2368479,52755,2019,-,-
..Cagayan Valley,..Hospital activities,36,4099,4099,92,3998375,3133141,788231,2344910,2069558,34798,6926,-,-
..Cagayan Valley,..Medical and dental practice activities,91,795,795,..,694509,550819,112923,437896,288638,17957,-4909,-,-
..Cagayan Valley,..Other human health activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Residential nursing care facilities,,,,,,,,,,,,,
..Cagayan Valley,"..Residential care activities for mental retardation,  mental health and substance abuse",,,,,,,,,,,,,
..Cagayan Valley,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Cagayan Valley,"..Other residential care activities, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,..Social work activities without accommodation  for the elderly and disabled,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cagayan Valley,"..Other social work activities without accommodation, n.e.c.",s,s,s,s,s,s,s,s,s,s,s,s,s
..Central Luzon,Human Health and Social Work Activities,801,20782,20626,1044,19535609,13861134,3799814,10061320,11012796,2194038,29383,-,1057
..Central Luzon,..Hospital activities,160,17515,17489,992,16291934,11561120,3250912,8310208,9213995,2020231,92878,-,-
..Central Luzon,..Medical and dental practice activities,578,2796,2699,52,2946177,2092840,462448,1630392,1612847,133210,-63812,-,107
..Central Luzon,..Other human health activities,15,76,76,..,31424,18735,14384,4351,28254,-,-5,-,-
..Central Luzon,..Residential nursing care facilities,,,,,,,,,,,,,
..Central Luzon,"..Residential care activities for mental retardation,  mental health and substance abuse",12,110,92,..,47343,35051,18015,17036,33303,-,322,-,-
..Central Luzon,..Residential care activities for the elderly and disabled,,,,,,,,,,,,,
..Central Luzon,"..Other residential care activities, n.e.c.",10,145,133,..,85154,34700,26601,8099,79242,25360,-,-,-
..Central Luzon,..Social work activities without accommodation  for the elderly and disabled,c,c,c,c,c,c,c,c,c,c,c,c,c
..Central Luzon,"..Other social work activities without accommodation, n.e.c.",26,141,137,-,133577,118688,27456,91233,45155,15237,-,-,950
