,,,,,,,,,,,,,,"Summary Statistics for Transportation and Storage Establishments by Geolocation, Industry Description, Year and Data Items"
Geolocation,Industry Description,2020 Number of Establishments,2020 Total Employment a/,2020 Paid Employees a/,2020 Workers on Sub-Contract Agreement  or Under Manpower Agencies/Contractors a/,2020 Total Revenue,2020 Total Expense,2020 Compensation,2020 Other Expense,2020 Value Added,2020 Gross Additions to Tangible Fixed Assets,2020 Change in Inventories,2020 Sales from E-Commerce Transactions,2020 Subsidies
PHILIPPINES,Transportation and Storage,2931,211778,206587,9914,463258011,567002883,61035604,505967279,108989966,56596907,-3311896,40121464,17922529
PHILIPPINES,..Transport via railways,s,s,s,s,s,s,s,s,s,s,s,s,s
PHILIPPINES,..Transport via buses,229,26509,21939,370,8556214,10733909,2597645,8136264,5383313,5798092,-968293,-,12046
PHILIPPINES,..Other land transport,739,24818,24521,1502,22477996,19966821,3693637,16273184,8894556,1009771,143203,-,400
PHILIPPINES,..Sea and coastal water transport,129,16747,16515,155,32836346,37488126,4669086,32819040,7827399,2719113,-172538,-,-
PHILIPPINES,..Inland water transport,29,868,856,-,761914,766449,229990,536460,437297,206395,-397,-,-
PHILIPPINES,..Passenger air transport,32,14033,14030,92,145575253,271741377,14506921,257234456,-24667653,35255737,-1537862,38306442,-
PHILIPPINES,..Warehousing and storage,206,12702,12682,1572,20059454,17697918,2981436,14716482,7414040,2470872,-64153,-,-
PHILIPPINES,..Support activities for transportation,1443,87182,87124,3261,198314561,166255328,23451205,142804123,93623672,8588931,-315122,-,12700
PHILIPPINES,..Postal activities,s,s,s,s,s,s,s,s,s,s,s,s,s
PHILIPPINES,..Courier activities,121,19000,19000,2962,30361317,29594483,5904302,23690181,8572228,547994,-10968,1815023,-
..National Capital Region,Transportation and Storage,1599,132727,128088,5560,358438623,470355040,46293259,424061781,70722829,45636288,-1876337,40121084,17918757
..National Capital Region,..Transport via railways,s,s,s,s,s,s,s,s,s,s,s,s,s
..National Capital Region,..Transport via buses,71,8463,3942,62,3033626,3833678,902639,2931040,1151510,29635,-12426,-,11426
..National Capital Region,..Other land transport,245,10498,10389,233,8100397,7049417,2011840,5037577,4442180,238825,4592,-,-
..National Capital Region,..Sea and coastal water transport,56,6762,6762,80,14075171,15028845,2123304,12905540,4395767,1899689,17788,-,-
..National Capital Region,..Inland water transport,s,s,s,s,s,s,s,s,s,s,s,s,s
..National Capital Region,..Passenger air transport,24,13837,13837,89,145493457,271603328,14465809,257137518,-24698544,35255737,-1533941,38306061,-
..National Capital Region,..Warehousing and storage,98,2124,2124,71,2188184,1930234,497558,1432677,964825,39216,-,-,-
..National Capital Region,..Support activities for transportation,1013,62383,62374,2077,150572022,128218225,17293399,110924826,74148965,7431570,44350,-,9948
..National Capital Region,..Postal activities,s,s,s,s,s,s,s,s,s,s,s,s,s
..National Capital Region,..Courier activities,87,18386,18386,2948,29968573,29224995,5792228,23432767,8422304,540887,-10931,1815023,-
..Cordillera Administrative Region,Transportation and Storage,13,193,182,6,93477,83673,14412,69260,27643,-,60,-,620
..Cordillera Administrative Region,..Transport via railways,,,,,,,,,,,,,
..Cordillera Administrative Region,..Transport via buses,5,140,136,-,8166,9777,4652,5125,5823,-,-,-,620
..Cordillera Administrative Region,..Other land transport,4,8,7,4,3546,2643,692,1951,1872,-,60,-,-
..Cordillera Administrative Region,..Sea and coastal water transport,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Inland water transport,,,,,,,,,,,,,
..Cordillera Administrative Region,..Passenger air transport,,,,,,,,,,,,,
..Cordillera Administrative Region,..Warehousing and storage,,,,,,,,,,,,,
..Cordillera Administrative Region,..Support activities for transportation,s,s,s,s,s,s,s,s,s,s,s,s,s
..Cordillera Administrative Region,..Postal activities,,,,,,,,,,,,,
..Cordillera Administrative Region,..Courier activities,,,,,,,,,,,,,
..Ilocos Region,Transportation and Storage,58,2238,2213,-,713920,615221,175391,439829,330348,32979,-1933,-,-
..Ilocos Region,..Transport via railways,,,,,,,,,,,,,
..Ilocos Region,..Transport via buses,23,1300,1278,-,71415,75659,47336,28324,56485,-,-1934,-,-
..Ilocos Region,..Other land transport,27,707,707,-,580521,492564,115731,376833,239342,32979,-,-,-
..Ilocos Region,..Sea and coastal water transport,,,,,,,,,,,,,
..Ilocos Region,..Inland water transport,,,,,,,,,,,,,
..Ilocos Region,..Passenger air transport,,,,,,,,,,,,,
..Ilocos Region,..Warehousing and storage,s,s,s,s,s,s,s,s,s,s,s,s,s
..Ilocos Region,..Support activities for transportation,4,185,185,-,49945,37015,8651,28364,28240,-,1,-,-
..Ilocos Region,..Postal activities,,,,,,,,,,,,,
..Ilocos Region,..Courier activities,s,s,s,s,s,s,s,s,s,s,s,s,s
