location_id,business_account_number,ownership_name,doing_business_as_name,business_location_street_address,business_location_city,business_location_state,business_location_zip_code,business_start_date,business_end_date,location_start_date,location_end_date,mailing_address
1259414-09-201,1117247,Hopstone,Hopstone,222 Battery Street,San Francisco,CA,94111,2020-09-04,,2020-09-04,,0000 Undeliverable Mail
1259425-09-201,1093977,Jacqueline Mykel LLC,Jacqueline Mykel,201 Spear St Ste 1100,San Francisco,CA,94105,2018-10-18,,2020-09-01,,229 Brannan St 7c Unit
1259426-09-201,1112055,Groupup Inc.,"Remotion, Inc.",548 Market St 88359,San Francisco,CA,94104,2019-01-01,,2020-06-16,,548 Market St 88359 Ste
1259428-09-201,1085143,Laxdaela Technology LLC,Laxdaela Technology,1640 Stockton St 330246,San Francisco,CA,94133,2018-03-19,,2020-09-03,,0000 Undeliverable Mail
1259429-09-201,378288,Hat World Inc,Lids 8199,2 Beach St Q215,San Francisco,CA,94133,2004-07-02,,2020-09-04,,7676 Interactive Way
1259431-09-201,1117214,Souley Vegan LLC,Souley Vegan,475 6th St Unit 12,San Francisco,CA,94103,2020-09-01,,2020-09-04,,301 Broadway Broadway
1259433-09-201,419276,Criterion Systems Inc,"Criterion Systems, Inc.",34700 Pacific Coast Highway Ste 206,Capistrano Beach,CA,92624,2007-06-25,,2020-01-01,,34700 Pacific Coast Hwy # 206ste
1259434-09-201,419276,Criterion Systems Inc,"Criterion Systems, Inc.",2400 Camino Ramon Ste 136,San Ramon,CA,94583,2007-06-25,,2020-01-01,,34700 Pacific Coast Hwy # 206ste
1259435-09-201,419276,Criterion Systems Inc,"Criterion Systems, Inc.",11601 Blocker Dr Ste 220,Auburn,CA,95603,2007-06-25,,2020-01-01,,34700 Pacific Coast Hwy # 206ste
1259438-09-201,421590,"Laurie Frankel Photography,Inc",Laurie Frankel Photography Inc.,401 D St Ste A,San Rafael,CA,94901,2007-08-01,,2020-08-24,,401 D St A Ste
1259439-09-201,402209,West Coast Leather LLC,West Coast Leather LLC,2060 Union St Ste 1,San Francisco,CA,94123,2006-10-01,,2020-08-01,,2060 Union St Ste 1
1259440-09-201,1070367,Dlr Group Inc. (A California Corporation),Dlr Group  Kwan Henmi,235 Montgomery St Ste 350,San Francisco,CA,94104,2017-05-17,,2017-05-18,,6457 Frances St 200 Ste
1259441-09-201,1070367,Dlr Group Inc. (A California Corporation),Dlr Group Inc.,235 Montgomery St Ste 350,San Francisco,CA,94104,2017-05-17,,2017-05-17,,6457 Frances St 200 Ste
1259442-09-201,1115052,Nina Rosenberg,Nina Rosenberg,499 29th St,San Francisco,CA,94131,2020-06-18,,2020-07-02,,1753 Noe St
1259443-09-201,457946,Facebook Inc,"Facebook, Inc.",250 Howard St Fl 27th,San Francisco,CA,94105,2006-07-01,,2020-09-04,,1601 Willow Rd
1259453-09-201,1117257,Checkin LLC,The Check-In,310 Otsego Ave,San Francisco,CA,94112,2020-07-13,,2020-07-13,,201 Ocean Ave
1259467-09-201,1117264,"Rbulan + Associates, Inc.",Golden Gate Furniture Co.,1 Rankin St Unit 417,San Francisco,CA,94124,2020-09-06,,2020-09-06,,1598 Custer Ave Unit 403
1259469-09-201,1117265,Green Solutions Maintenance LLC,Green Solutions Maintenance LLC,111 Sweeny St,San Francisco,CA,94134,2020-09-01,,2020-09-01,,111 Sweeny St
1259471-09-201,1117266,Laura Lewison,Baron Inc.,125 Belvedere St 4,San Francisco,CA,94117,2020-09-06,,2020-09-06,,125 Belvedere St 4
