"ttxid","certificate_number","ownership_name","dba_name","full_business_address","city","state","business_zip","dba_start_date","dba_end_date","location_start_date","location_end_date","mailing_address_1"
"1200411-09-181","0197096","Td Ameritrade Inc","Td Ameritrade, Inc.","551 Kearny St","San Francisco","CA","94108","1985-01-01T00:00:00.000",,"2018-02-26T00:00:00.000",,"200 S 108th Ave 11 Fl"
"1200413-09-181","0403644","Alexandria Real Estate Equitie","Are-Tenant, LLC","61 Bluxome St","San Francisco","CA","94107","2005-02-14T00:00:00.000",,"2018-09-12T00:00:00.000",,"26 N Euclid Ave"
"1200416-09-181","1010428","Putters & Associates A Professional Corporation","Sf Bay Area Law","22 Battery St Ste 512","San Francisco","CA","94111","2014-07-01T00:00:00.000",,"2018-09-12T00:00:00.000",,"22 Battery St Ste 512"
"1200420-09-181","0357327","Mitel Cloud Services Inc","Mitel Cloud Services Inc","1146 N Alma School Rd","Mesa","AZ","85201","2009-02-28T00:00:00.000",,"2015-05-05T00:00:00.000",,"1146 N Alma School Rd"
"1200424-09-181","0376373","The Hawthorne Grp Comml Real E","Thg Commercial Real Estate","577 2nd St #202","San Francisco","CA","94107","2004-03-18T00:00:00.000",,"2018-09-12T00:00:00.000",,"817 Carolina St"
"1200431-09-181","1084152","Refined Simplicity LLC","Bayview Pasta","1605 Jerrold Ave","San Francisco","CA","94124","2018-02-26T00:00:00.000",,"2018-02-26T00:00:00.000",,"1763 Palou Ave"
"1200432-09-181","1089876","Joceline Lacerna","Treasure Tigers","15 Ft. South Of Market @ Intersection Of Yerba Buena & Market","San Francisco","CA",,"2018-07-02T00:00:00.000",,"2018-09-12T00:00:00.000",,"575 Eddy St Apt 602"
"1200435-09-181","1092631","Hughes Network Systems LLC","Hughes Network Systems LLC","11717 Exploration Lane","Germantown","MD","20876","2018-09-01T00:00:00.000",,"2018-09-01T00:00:00.000",,"3575 Piedmont Rd Ne Bldg 15-1550"
"1200436-09-181","1026470","Mertens Lara M","Mertens Lara M","30 Sycamore St Apt 15","San Francisco","CA","94110","2015-03-09T00:00:00.000",,"2018-07-10T00:00:00.000",,"30 Sycamore St Apt 15"
"1200442-09-181","1092634","Blue Barn Arts, Inc.","Blue Barn Arts, Inc.","Chiquita Rd","Healdsburg","CA","95448","2018-09-12T00:00:00.000",,"2018-09-12T00:00:00.000",,"0000 Undeliverable Mail"
