ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0484798-01-999,484798,Bear Electrical Solutions Inc,Bear Electrical Solutions Inc,1341 Archer St,Alviso,CA,95002.0,2013-11-12T00:00:00.000,,2013-11-12T00:00:00.000,,Po Box 924
0484805-01-001,484805,Buchanan Partners LLC,Buchanan Partners LLC,3661 Buchanan St,San Francisco,CA,94123.0,2007-05-01T00:00:00.000,,2007-05-01T00:00:00.000,,3636 Buchanan St
0484812-01-001,484812,Liao Su Y,J & W Market,723 Pine St,San Francisco,CA,94108.0,2013-11-18T00:00:00.000,,2013-11-18T00:00:00.000,,723 Pine St
0484819-01-001,484819,Deliboard LLC,Deliboard,1058 Folsom St,San Francisco,CA,94103.0,2011-09-02T00:00:00.000,,2011-09-02T00:00:00.000,,1058 Folsom St
0484828-01-001,484828,Kamerger LLC,Kamerger LLC,945 Taraval St #819,San Francisco,CA,94116.0,2013-10-01T00:00:00.000,,2013-10-01T00:00:00.000,,530 Divisadero St 723
0484839-01-001,484839,Lahiry Shoma,Tola Jewelry,750 Fell St #1,San Francisco,CA,94117.0,2013-12-01T00:00:00.000,,2013-12-01T00:00:00.000,,3981a 17th St
0484842-01-001,484842,Weatherbee Corporation,Weatherbee Corporation,350 Townsend St Ste 301a,San Francisco,CA,94107.0,2013-11-01T00:00:00.000,,2013-11-01T00:00:00.000,,350 Townsend St Ste 301a
0484843-01-001,484843,Brewer-Hay Investigations,Brewer-Hay Investigations,798 Elizabeth St,San Francisco,CA,94114.0,2013-11-01T00:00:00.000,,2013-11-01T00:00:00.000,,798 Elizabeth St
0484845-01-001,484845,Bright On Presidio,Bright On Presidio,344 Presidio Ave,San Francisco,CA,94115.0,2013-11-04T00:00:00.000,,2013-11-04T00:00:00.000,,344 Presidio Ave
0484855-01-001,484855,Brar Imrinder S,7 Eleven Store #2366-22627d,5100 Geary Blvd,San Francisco,CA,94118.0,2013-12-13T00:00:00.000,,2013-12-13T00:00:00.000,,Po Box 219088
0484863-01-999,484863,Kr Commercial Interiors Inc,Kr Commercial Interiors Inc,754 N Batavia St,Orange,CA,92868.0,2013-11-19T00:00:00.000,,2013-11-19T00:00:00.000,,1011 E Lacy Ave
0484870-01-999,484870,Maximus Human Services Inc,Maximus Human Services Inc,1891 Metro Center Dr,Reston,VA,20190.0,2014-01-01T00:00:00.000,,2014-01-01T00:00:00.000,,1600 Tysons Blvd Ste 1400
0484872-02-001,484872,The House Of Kava LLC,The House Of Kava,901 Divisadero St,San Francisco,CA,94115.0,2014-01-01T00:00:00.000,,2014-01-01T00:00:00.000,,0000 Undeliverable Mail
0484875-01-999,484875,Milgard Windows & Doors,Milgard Windows & Doors,6050 88th St,Sacramento,CA,95828.0,2013-01-01T00:00:00.000,,2013-01-01T00:00:00.000,,1010 54th Ave E
