ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,dba_end_date,location_start_date,location_end_date,mailing_address_1
0059802-04-001,59802,Salvarezza Robert,1470 Bancroft Bldg,1470 Bancroft Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,1989-07-25T00:00:00.000,,110 Braemar Dr
0059802-05-001,59802,Salvarezza Robert,1480 Bancroft Bldg,1480 Bancroft Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,1989-07-25T00:00:00.000,,110 Braemar Dr
0059802-09-001,59802,Salvarezza Robert,1555 Burke Av Bldg,1555 Burke Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,1980-12-19T00:00:00.000,,110 Braemar Dr
0059845-01-999,59845,Concrete Wall Sawing Co Inc,Concrete Wall Sawing Co Inc,2419 Po Box,San Leandro,CA,94577.0,1970-09-01T00:00:00.000,,1970-09-01T00:00:00.000,,Po Box 2419
0059917-01-001,59917,Levin Henry & Grossman Mildred,428-436 11th St Bldg,428 11th St,San Francisco,CA,94103.0,1968-10-01T00:00:00.000,,2003-01-01T00:00:00.000,,39150 Fremont Blvd Fl 4
0060009-01-001,60009,Fuller Barbara,1275 Minnesota St Building,1275 Minnesota St,San Francisco,CA,94107.0,1968-10-01T00:00:00.000,,1968-10-01T00:00:00.000,,11 Birkdale Cir
0060009-02-001,60009,Fuller Barbara,1201-1225 Minnesota St Bldg,1201 Minnesota St,San Francisco,CA,94107.0,1968-10-01T00:00:00.000,,1990-01-08T00:00:00.000,,11 Birkdale Cir
0060023-01-001,60023,Carrasco Maria,Maria Carrasco,3037 Harrison St,San Francisco,CA,94110.0,1968-10-01T00:00:00.000,,1968-10-01T00:00:00.000,,685 Douglass St
0060036-01-001,60036,Robert Yick Company Inc,Robert Yick Company Inc,261 Bay Shore Blvd,San Francisco,CA,94124.0,1970-04-16T00:00:00.000,,1970-04-16T00:00:00.000,,Po Box 330069
0060058-01-001,60058,Growers Refrigeration Co Inc,Growers Refrigeration Co Inc,2050 Galvez Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,1968-10-01T00:00:00.000,,2050 Galvez Ave
0060058-02-001,60058,Growers Refrigeration Co Inc,Crooked Street Confection,2050 Galvez Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,2012-09-04T00:00:00.000,,2050 Galvez Ave
0060058-03-001,60058,Growers Refrigeration Co Inc,Crooked Street Confections,2050 Galvez Ave,San Francisco,CA,94124.0,1968-10-01T00:00:00.000,,2012-09-04T00:00:00.000,,2050 Galvez Ave
